Glottocode,language,back,elevation
kekc1242,Kekchí,5,28
kera1255,Kera,3,328
kett1243,Ket,3,176
khan1273,Kazym-Berezover-Suryskarer Khanty,6,54
khar1287,Kharia,3,376
khas1269,Khasi,4,38
khmu1256,Khmu,7,953
kiow1266,Kiowa,6,450
kirg1245,Kirghiz,5,3699
klam1254,Klamath-Modoc,7,1299
klao1243,Klao,8,66
koho1244,Koho,7,871
kohu1244,Kohumono,5,23
komi1268,Komi-Zyrian,3,125
komo1258,Komo (Sudan),4,767
konk1267,Maharashtrian Konkani,7,723
kore1280,Korean,5,154
kory1246,Koryak,3,0
kota1263,Kota (India),2,1456
koya1251,Koya,2,111
koyr1242,Koyraboro Senni Songhai,5,261
kpan1246,Kpan,5,139
kuku1273,Kuku-Yalanji,2,236
kumi1248,Tipai,6,297
kuna1268,Kunama,4,1058
kuni1267,Kunimaipa,3,1857
kups1238,Kupsabiny,4,2719
kuru1302,Kurukh,6,284
kwai1243,Kwaio,3,564
kwak1269,Kwak'wala,12,112
kwom1262,Kwoma,3,31
lahu1253,Lahu,6,1476
lakk1238,Lakkia,10,767
lakk1252,Lak,16,2018
lako1247,Lakota,4,834
lave1249,Brao,3,581
lele1264,Lelemi,6,519
lena1238,Lenakel,4,219
libe1247,Liberia Kpelle,5,285
lish1246,Lishán Didán,9,1635
lith1251,Lithuanian,5,54
lowe1415,Lower Grand Valley Dani,5,2969
lugb1240,Lugbara,6,1225
luis1253,Luiseno,5,742
luok1236,Luo (Kenya and Tanzania),5,1467
lush1252,Northern Lushootseed,8,92
lusi1240,Lusi,3,92
luuu1242,Lü,5,1101
maba1277,Maba (Chad),4,509
manc1252,Manchu,2,187
mand1415,Mandarin Chinese,3,88
mapu1245,Mapudungun,4,1538
mara1404,Maranao,1,969
marg1265,Marghi Central,2,426
masa1300,Masai,5,1187
maun1240,Mawng,2,28
maxa1247,Maxakalí,4,294
mbaa1245,Mba,4,456
mbab1239,Mbabaram,3,341
mbum1254,Mbum,4,830
mind1253,Min Dong Chinese,2,6
minn1241,Min Nan Chinese,3,35
mode1248,Modern Greek,3,190
mogh1245,Mogholi,5,942
morb1239,Mor (Bomberai Peninsula),3,27
moro1285,Moro,4,745
movi1243,Movima,3,146
muin1242,Muinane,2,177
mull1237,Mullukmulluk,2,40
mund1320,Mundari,3,50
murl1244,Murle,3,452
murr1258,Murriny Patha,2,0
naas1242,Naasioi,2,1855
nama1264,Nama (Namibia),3,1170
nana1257,Nanai,2,34
nara1262,Nara,3,788
natu1246,Natügu,7,0
nava1243,Navajo,5,2140
naxi1245,Naxi,6,3607
ndut1239,Ndut,3,35
nene1249,Tundra Nenets,3,0
newa1246,Kathmandu Valley Newari,4,288
nezp1238,Nez Perce,6,1041
ngan1291,Nganasan,2,0
ngar1284,Ngarinyin,3,511
ngas1240,Ngas,4,1130
ngiz1242,Ngizim,3,360
niel1243,Niellim,5,358
nina1238,Ninam,5,575
niva1238,Nivaclé,4,209
nobi1240,Nobiin,2,277
noon1243,Noone,8,1277
nort1550,Taos Northern Tiwa,7,2143
nort2641,Northern Kurdish,7,697
nort2690,Northern Uzbek,4,52
nort2697,North Azerbaijani,3,276
nort2735,Northern Dong,4,512
nort2745,Northern Yukaghir,5,0
nort2815,Northeastern Dinka,6,401
nort2819,Northern Bobo Madaré,6,467
nort2938,Northern Haida,11,80
nort2952,Northeast Maidu,3,1271
nort2957,Northern Puebla Nahuatl,1,1496
norw1259,Norwegian Bokmål,5,20
nucl1235,Eastern Armenian,4,1912
nucl1240,Mumuye,6,543
nucl1301,Turkish,3,1138
nucl1302,Georgian,5,1338
nucl1310,Burmese,7,711
nucl1339,Temein,4,842
nucl1347,Wolof,8,53
nucl1417,Igbo,9,8
nucl1454,Yawa,3,852
nucl1620,Wahgi,3,2160
nucl1632,Sentani,3,74
nucl1633,Nimboran,2,61
nucl1643,Japanese,4,127
nucl1649,Southern-Coastal Tsimshian,9,278
nung1283,Nung (Viet Nam),6,703
nung1290,Wubuy,2,6
nuuc1236,Nuu-chah-nulth,11,614
nyah1250,Nyahkur,12,556
nyan1313,Nyang'i,4,1369
nyis1236,Nyishi-Hill Miri,6,996
ocai1244,Ocaina,4,114
ogbi1239,Ogbia,5,21
ormu1247,Ormuri,5,2281
paco1243,Pacoh,4,757
paez1247,Páez,3,3472
paiw1248,Paiwan,2,608
papa1238,Papantla Totonac,4,89
para1301,South Wa,10,1866
para1311,Paraguayan Guaraní,4,184
pech1241,Pech,6,411
peve1243,Peve,3,328
pira1253,Pirahã,1,75
plat1254,Plateau Malagasy,2,1653
pohn1238,Pohnpeian,4,537
popt1235,Popti',5,2060
pure1242,Purepecha,3,2340
pwon1235,Pwo Northern Karen,3,1113
qaqe1238,Qaqet,3,941
qaua1234,Central Gelao-Qau,6,1275
qawa1238,Qawasqar,2,80
quil1240,Quileute,8,16
