Glottocode,language,coronal,elevation
komo1258,Komo (Sudan),10,767
konk1267,Maharashtrian Konkani,11,723
kore1280,Korean,10,154
kory1246,Koryak,7,0
kota1263,Kota (India),15,1456
koya1251,Koya,11,111
koyr1242,Koyraboro Senni Songhai,7,261
kpan1246,Kpan,10,139
kuku1273,Kuku-Yalanji,7,236
kumi1248,Tipai,14,297
kuna1268,Kunama,10,1058
kuni1267,Kunimaipa,7,1857
kups1238,Kupsabiny,8,2719
kuru1302,Kurukh,11,284
kwai1243,Kwaio,5,564
kwak1269,Kwak'wala,19,112
kwom1262,Kwoma,9,31
lahu1253,Lahu,9,1476
lakk1238,Lakkia,9,767
lakk1252,Lak,27,2018
lako1247,Lakota,14,834
lave1249,Brao,10,581
lele1264,Lelemi,9,519
lena1238,Lenakel,5,219
libe1247,Liberia Kpelle,7,285
lish1246,Lishán Didán,11,1635
lith1251,Lithuanian,22,54
lowe1415,Lower Grand Valley Dani,4,2969
lugb1240,Lugbara,10,1225
luis1253,Luiseno,7,742
luok1236,Luo (Kenya and Tanzania),12,1467
lush1252,Northern Lushootseed,13,92
lusi1240,Lusi,7,92
luuu1242,Lü,8,1101
maba1277,Maba (Chad),13,509
manc1252,Manchu,9,187
mand1415,Mandarin Chinese,16,88
mapu1245,Mapudungun,13,1538
mara1404,Maranao,5,969
marg1265,Marghi Central,16,426
masa1300,Masai,11,1187
maun1240,Mawng,11,28
maxa1247,Maxakalí,4,294
mbaa1245,Mba,10,456
mbab1239,Mbabaram,9,341
mbum1254,Mbum,12,830
mind1253,Min Dong Chinese,7,6
minn1241,Min Nan Chinese,9,35
mode1248,Modern Greek,11,190
mogh1245,Mogholi,11,942
morb1239,Mor (Bomberai Peninsula),5,27
moro1285,Moro,13,745
movi1243,Movima,8,146
muin1242,Muinane,13,177
mull1237,Mullukmulluk,8,40
mund1320,Mundari,18,50
murl1244,Murle,11,452
murr1258,Murriny Patha,13,0
naas1242,Naasioi,3,1855
nama1264,Nama (Namibia),5,1170
