,language,front,elevation
kala1399,Kalaallisut,2,0.0
kalk1246,Kalkutung,5,435.0
kama1365,Kamang,4,839.0
karo1304,Karok,6,676.0
kash1277,Kashmiri,13,1623.0
katc1249,Katcha-Kadugli-Miri,6,473.0
kawa1283,Kawaiisu,3,1560.0
kekc1242,Kekchí,3,28.0
kera1255,Kera,4,328.0
kett1243,Ket,8,176.0
khan1273,Kazym-Berezover-Suryskarer Khanty,8,54.0
khar1287,Kharia,4,376.0
khas1269,Khasi,5,38.0
khmu1256,Khmu,10,953.0
kiow1266,Kiowa,7,450.0
kirg1245,Kirghiz,5,3699.0
klam1254,Klamath-Modoc,8,1299.0
klao1243,Klao,9,66.0
koho1244,Koho,9,871.0
kohu1244,Kohumono,6,23.0
komi1268,Komi-Zyrian,11,125.0
komo1258,Komo (Sudan),4,767.0
konk1267,Maharashtrian Konkani,9,723.0
kore1280,Korean,6,154.0
kory1246,Koryak,4,0.0
kota1263,Kota (India),3,1456.0
koya1251,Koya,3,111.0
koyr1242,Koyraboro Senni Songhai,4,261.0
kpan1246,Kpan,5,139.0
kuku1273,Kuku-Yalanji,4,236.0
kumi1248,Tipai,3,297.0
kuna1268,Kunama,5,1058.0
kuni1267,Kunimaipa,2,1857.0
kups1238,Kupsabiny,5,2719.0
kuru1302,Kurukh,7,284.0
kwai1243,Kwaio,2,564.0
kwak1269,Kwak'wala,8,112.0
kwom1262,Kwoma,5,31.0
lahu1253,Lahu,4,1476.0
lakk1238,Lakkia,17,767.0
lakk1252,Lak,6,2018.0
lako1247,Lakota,4,834.0
lave1249,Brao,5,581.0
lele1264,Lelemi,7,519.0
lena1238,Lenakel,2,219.0
libe1247,Liberia Kpelle,6,285.0
lish1246,Lishán Didán,7,1635.0
lith1251,Lithuanian,23,54.0
lowe1415,Lower Grand Valley Dani,5,2969.0
lugb1240,Lugbara,6,1225.0
luis1253,Luiseno,3,742.0
luok1236,Luo (Kenya and Tanzania),6,1467.0
lush1252,Northern Lushootseed,2,92.0
lusi1240,Lusi,2,92.0
luuu1242,Lü,4,1101.0
maba1277,Maba (Chad),6,509.0
manc1252,Manchu,4,187.0
mand1415,Mandarin Chinese,7,88.0
mapu1245,Mapudungun,5,1538.0
mara1404,Maranao,1,969.0
marg1265,Marghi Central,2,426.0
masa1300,Masai,7,1187.0
maun1240,Mawng,3,28.0
maxa1247,Maxakalí,4,294.0
mbaa1245,Mba,4,456.0
mbab1239,Mbabaram,2,341.0
mbum1254,Mbum,5,830.0
mind1253,Min Dong Chinese,4,6.0
minn1241,Min Nan Chinese,2,35.0
mode1248,Modern Greek,3,190.0
mogh1245,Mogholi,3,942.0
morb1239,Mor (Bomberai Peninsula),3,27.0
moro1285,Moro,4,745.0
movi1243,Movima,3,146.0
muin1242,Muinane,7,177.0
mull1237,Mullukmulluk,4,40.0
mund1320,Mundari,3,50.0
murl1244,Murle,6,452.0
murr1258,Murriny Patha,3,0.0
naas1242,Naasioi,2,1855.0
nama1264,Nama (Namibia),3,1170.0
nana1257,Nanai,4,34.0
nara1262,Nara,3,788.0
natu1246,Natügu,11,0.0
nava1243,Navajo,9,2140.0
naxi1245,Naxi,11,3607.0
ndut1239,Ndut,8,35.0
nene1249,Tundra Nenets,14,0.0
newa1246,Kathmandu Valley Newari,2,288.0
nezp1238,Nez Perce,4,1041.0
ngan1291,Nganasan,8,0.0
ngar1284,Ngarinyin,6,511.0
ngas1240,Ngas,12,1130.0
ngiz1242,Ngizim,7,360.0
niel1243,Niellim,5,358.0
nina1238,Ninam,5,575.0
niva1238,Nivaclé,3,209.0
nobi1240,Nobiin,3,277.0
noon1243,Noone,7,1277.0
nort1550,Taos Northern Tiwa,5,2143.0
nort2641,Northern Kurdish,5,697.0
nort2690,Northern Uzbek,4,52.0
nort2697,North Azerbaijani,7,276.0
nort2735,Northern Dong,9,512.0
nort2745,Northern Yukaghir,5,0.0
nort2815,Northeastern Dinka,10,401.0
nort2819,Northern Bobo Madaré,7,467.0
nort2938,Northern Haida,7,80.0
nort2952,Northeast Maidu,5,1271.0
nort2957,Northern Puebla Nahuatl,3,1496.0
