Glottocode,language,constrictedGlottis,elevation
luok1236,Luo (Kenya and Tanzania),1,1467
lush1252,Northern Lushootseed,9,92
luuu1242,Lü,1,1101
maba1277,Maba (Chad),1,509
mara1404,Maranao,1,969
marg1265,Marghi Central,1,426
maxa1247,Maxakalí,1,294
minn1241,Min Nan Chinese,1,35
mogh1245,Mogholi,1,942
morb1239,Mor (Bomberai Peninsula),1,27
movi1243,Movima,1,146
muin1242,Muinane,1,177
mund1320,Mundari,1,50
naas1242,Naasioi,1,1855
nama1264,Nama (Namibia),1,1170
nava1243,Navajo,5,2140
ndut1239,Ndut,1,35
nene1249,Tundra Nenets,2,0
nezp1238,Nez Perce,11,1041
ngan1291,Nganasan,1,0
ngiz1242,Ngizim,3,360
niel1243,Niellim,1,358
niva1238,Nivaclé,6,209
noon1243,Noone,1,1277
nort1550,Taos Northern Tiwa,5,2143
nort2641,Northern Kurdish,1,697
nort2735,Northern Dong,1,512
nort2815,Northeastern Dinka,6,401
nort2938,Northern Haida,14,80
nort2952,Northeast Maidu,4,1271
nort2957,Northern Puebla Nahuatl,1,1496
nucl1235,Eastern Armenian,5,1912
nucl1301,Turkish,1,1138
nucl1302,Georgian,6,1338
nucl1310,Burmese,1,711
nucl1347,Wolof,1,53
nucl1649,Southern-Coastal Tsimshian,14,278
nung1283,Nung (Viet Nam),3,703
nuuc1236,Nuu-chah-nulth,14,614
nyah1250,Nyahkur,1,556
ocai1244,Ocaina,1,114
paco1243,Pacoh,4,757
paez1247,Páez,1,3472
paiw1248,Paiwan,1,608
papa1238,Papantla Totonac,1,89
para1311,Paraguayan Guaraní,1,184
pech1241,Pech,1,411
peve1243,Peve,3,328
pira1253,Pirahã,1,75
popt1235,Popti',6,2060
pure1242,Purepecha,1,2340
pwon1235,Pwo Northern Karen,1,1113
qawa1238,Qawasqar,3,80
quil1240,Quileute,9,16
quio1240,Quiotepec Chinantec,1,1441
resi1247,Resígaro,1,127
ruka1240,Rukai,1,1689
rutu1240,Rutul,14,1950
saba1265,Sa'ban,1,1002
sali1298,Sáliba,1,119
sand1273,Sandawe,5,1208
sanm1295,San Miguel El Grande Mixtec,1,2279
seda1262,Sedang,18,1287
sene1264,Seneca,1,427
sgaw1245,S'gaw Karen,1,246
shas1239,Shasta,5,1111
shua1257,Shuar,1,1256
shus1248,Shuswap,14,660
sion1247,Siona-Tetete,6,236
soma1255,Somali,2,211
soqo1240,Soqotri,7,929
sout2949,Southern Kiwai,1,37
sout2982,Southeastern Pomo,7,439
sout2985,Southern Sierra Miwok,1,780
sout2991,South Bolivian Quechua,5,4156
sout2994,Southern Nambikuára,18,687
suii1243,Sui,10,276
taca1256,Tacana,1,207
taga1270,Tagalog,1,93
tedi1235,Tedim Chin,3,1359
tehu1242,Tehuelche,6,299
tetu1245,Tetum,1,317
thai1261,Thai,1,3
ticu1245,Ticuna,1,150
tigr1270,Tigre,5,2112
timn1235,Timne,1,48
tiru1241,Tiruray,1,435
tlin1245,Tlingit,15,656
toho1245,Tohono O'odham,1,640
toll1241,Tol,5,773
tonk1249,Tonkawa,1,86
toto1305,Totontepec Mixe,1,1423
trum1247,Trumai,1,284
tsou1248,Tsou,3,989
tuni1252,Tunica,1,40
tzel1254,Tzeltal,6,2091
uppe1439,Upper Chehalis,9,35
usan1239,Usan,1,724
viet1252,Vietnamese,1,8
waim1251,Waima,1,9
wapi1253,Wapishana,4,130
wapp1239,Wappo,12,59
wayu1243,Wayuu,1,37
west2369,Western Farsi,1,2174
west2397,Western Bru,1,161
west2632,Western Keres,16,1852
west2644,Western Highland Chatino,1,1344
west2650,Western Cham,3,35
wich1260,Wichita,6,390
wikm1247,Wik-Mungkan,1,32
wint1259,Wintu,7,157
wiyo1248,Wiyot,1,449
wuch1236,Wu Chinese,1,205
yaga1260,Yagaria,1,1810
yana1271,Yana,5,25
yane1238,Yanesha',1,2474
yaqu1251,Yaqui,1,788
yuca1254,Yucatec Maya,12,86
yuch1247,Yuchi,14,247
yucu1253,Yucuna,1,164
yulu1243,Yulu,1,680
zulu1248,Zulu,4,537
zuni1245,Zuni,5,2210
