,language,continuant,elevation
kala1399,Kalaallisut,14,0.0
kalk1246,Kalkutung,11,435.0
kama1365,Kamang,19,839.0
karo1304,Karok,20,676.0
kash1277,Kashmiri,35,1623.0
katc1249,Katcha-Kadugli-Miri,11,473.0
kawa1283,Kawaiisu,19,1560.0
kekc1242,Kekchí,11,28.0
kera1255,Kera,15,328.0
kett1243,Ket,13,176.0
khan1273,Kazym-Berezover-Suryskarer Khanty,22,54.0
khar1287,Kharia,12,376.0
khas1269,Khasi,15,38.0
khmu1256,Khmu,26,953.0
kiow1266,Kiowa,24,450.0
kirg1245,Kirghiz,17,3699.0
klam1254,Klamath-Modoc,15,1299.0
klao1243,Klao,19,66.0
koho1244,Koho,15,871.0
kohu1244,Kohumono,19,23.0
komi1268,Komi-Zyrian,18,125.0
komo1258,Komo (Sudan),16,767.0
konk1267,Maharashtrian Konkani,26,723.0
kore1280,Korean,17,154.0
kory1246,Koryak,12,0.0
kota1263,Kota (India),12,1456.0
koya1251,Koya,11,111.0
koyr1242,Koyraboro Senni Songhai,16,261.0
kpan1246,Kpan,21,139.0
kuku1273,Kuku-Yalanji,8,236.0
kumi1248,Tipai,22,297.0
kuna1268,Kunama,15,1058.0
kuni1267,Kunimaipa,10,1857.0
kups1238,Kupsabiny,18,2719.0
kuru1302,Kurukh,19,284.0
kwai1243,Kwaio,11,564.0
kwak1269,Kwak'wala,19,112.0
kwom1262,Kwoma,16,31.0
lahu1253,Lahu,17,1476.0
lakk1238,Lakkia,33,767.0
lakk1252,Lak,31,2018.0
lako1247,Lakota,21,834.0
lave1249,Brao,16,581.0
lele1264,Lelemi,19,519.0
lena1238,Lenakel,13,219.0
libe1247,Liberia Kpelle,20,285.0
lish1246,Lishán Didán,28,1635.0
lith1251,Lithuanian,31,54.0
lowe1415,Lower Grand Valley Dani,17,2969.0
lugb1240,Lugbara,21,1225.0
luis1253,Luiseno,15,742.0
luok1236,Luo (Kenya and Tanzania),17,1467.0
lush1252,Northern Lushootseed,13,92.0
lusi1240,Lusi,12,92.0
luuu1242,Lü,15,1101.0
maba1277,Maba (Chad),16,509.0
manc1252,Manchu,14,187.0
mand1415,Mandarin Chinese,17,88.0
mapu1245,Mapudungun,15,1538.0
mara1404,Maranao,7,969.0
marg1265,Marghi Central,18,426.0
masa1300,Masai,16,1187.0
maun1240,Mawng,12,28.0
maxa1247,Maxakalí,11,294.0
mbaa1245,Mba,12,456.0
mbab1239,Mbabaram,9,341.0
mbum1254,Mbum,17,830.0
mind1253,Min Dong Chinese,10,6.0
minn1241,Min Nan Chinese,8,35.0
mode1248,Modern Greek,16,190.0
mogh1245,Mogholi,16,942.0
morb1239,Mor (Bomberai Peninsula),11,27.0
moro1285,Moro,15,745.0
movi1243,Movima,13,146.0
muin1242,Muinane,14,177.0
mull1237,Mullukmulluk,11,40.0
mund1320,Mundari,12,50.0
murl1244,Murle,12,452.0
murr1258,Murriny Patha,10,0.0
naas1242,Naasioi,6,1855.0
nama1264,Nama (Namibia),13,1170.0
nana1257,Nanai,12,34.0
nara1262,Nara,13,788.0
natu1246,Natügu,22,0.0
nava1243,Navajo,27,2140.0
naxi1245,Naxi,22,3607.0
ndut1239,Ndut,15,35.0
nene1249,Tundra Nenets,19,0.0
newa1246,Kathmandu Valley Newari,12,288.0
nezp1238,Nez Perce,15,1041.0
ngan1291,Nganasan,15,0.0
ngar1284,Ngarinyin,14,511.0
ngas1240,Ngas,23,1130.0
ngiz1242,Ngizim,20,360.0
niel1243,Niellim,19,358.0
nina1238,Ninam,18,575.0
niva1238,Nivaclé,14,209.0
nobi1240,Nobiin,11,277.0
noon1243,Noone,21,1277.0
nort1550,Taos Northern Tiwa,21,2143.0
nort2641,Northern Kurdish,34,697.0
nort2690,Northern Uzbek,18,52.0
nort2697,North Azerbaijani,21,276.0
nort2735,Northern Dong,14,512.0
nort2745,Northern Yukaghir,13,0.0
nort2815,Northeastern Dinka,17,401.0
nort2819,Northern Bobo Madaré,21,467.0
nort2938,Northern Haida,16,80.0
nort2952,Northeast Maidu,11,1271.0
nort2957,Northern Puebla Nahuatl,10,1496.0
norw1259,Norwegian Bokmål,34,20.0
nucl1235,Eastern Armenian,19,1912.0
nucl1240,Mumuye,22,543.0
nucl1301,Turkish,20,1138.0
nucl1302,Georgian,16,1338.0
nucl1310,Burmese,25,711.0
nucl1339,Temein,12,842.0
nucl1347,Wolof,22,53.0
nucl1417,Igbo,28,8.0
nucl1454,Yawa,10,852.0
nucl1620,Wahgi,11,2160.0
nucl1632,Sentani,11,74.0
nucl1633,Nimboran,9,61.0
nucl1643,Japanese,11,127.0
nucl1649,Southern-Coastal Tsimshian,15,278.0
nung1283,Nung (Viet Nam),18,703.0
nung1290,Wubuy,11,6.0
nuuc1236,Nuu-chah-nulth,18,614.0
nyah1250,Nyahkur,33,556.0
nyan1313,Nyang'i,13,1369.0
nyis1236,Nyishi-Hill Miri,15,996.0
ocai1244,Ocaina,17,114.0
ogbi1239,Ogbia,20,21.0
ormu1247,Ormuri,19,2281.0
paco1243,Pacoh,21,757.0
paez1247,Páez,21,3472.0
paiw1248,Paiwan,11,608.0
papa1238,Papantla Totonac,13,89.0
para1301,South Wa,53,1866.0
