Glottocode,language,round,elevation
dhuw1249,Dhuwal,3,99
dier1241,Dieri,2,19
dizi1235,Dizin,4,2094
doya1240,Doyayo,6,309
dyir1250,Dyirbal,2,858
east1436,Eastern Pahari,4,3212
east2328,Eastern Mari,4,45
east2347,Eastern Tamang,5,1864
east2379,Eastern Arrernte,2,720
east2516,East Kewa,3,1942
east2542,Eastern Ojibwa,3,213
efik1245,Efik,4,25
egyp1253,Egyptian Arabic,4,6
ejag1239,Ejagham,4,220
ekar1243,Ekari,3,1658
enap1235,Panare,5,52
epen1239,Epena,4,22
even1260,Even,4,0
ewee1241,Ewe,6,114
ewon1239,Ewondo,4,593
eyak1241,Eyak,7,0
fasu1242,Fasu,5,217
fefe1239,Fe'fe',3,1444
fiji1243,Fijian,6,151
finn1318,Finnish,4,66
fuln1247,Fulniô,5,391
furr1244,Fur,5,874
fwai1237,Fwâi,5,126
gaaa1244,Ga,10,94
gaam1241,Gaam,4,898
gads1258,Gadsup,2,1311
gali1262,Galibi Carib,4,6
gara1269,Garrwa,2,205
gbag1258,Gbagyi,3,261
gbay1287,Gbaya-Bossangoa,6,476
gily1242,Nivkh,3,365
gras1249,Grass Koiari,2,767
guah1255,Guahibo,4,88
guam1248,Guambiano,3,1725
guer1243,Guerrero Amuzgo,7,378
hadz1240,Hadza,6,1277
haka1240,Haka Chin,6,896
hakk1236,Hakka Chinese,3,365
halh1238,Halh Mongolian,7,1305
hame1242,Hamer-Banna,6,1012
haus1257,Hausa,7,600
hawa1245,Hawaiian,3,2020
hind1269,Hindi,8,416
hixk1239,Hixkaryána,3,341
hopi1249,Hopi,6,1713
huas1242,Huastec,4,69
hung1274,Hungarian,10,110
hupa1239,Hupa,6,123
iaai1238,Iaai,10,21
iban1264,Iban,3,121
igna1246,Ignaciano,2,159
ikkk1242,Ik,6,1739
indo1317,Indonesian Bajau,3,37
iran1263,Irántxe-Münkü,12,403
iraq1241,Iraqw,11,1767
irar1238,Irarutu,4,65
iris1253,Irish,15,88
isla1278,Island Carib,3,758
isok1239,Isoko,6,16
itel1242,West Itelmen,2,124
iton1250,Itonama,3,169
iumi1238,Iu Mien,5,1299
ivat1242,Itbayat,2,97
iwam1256,Iwam,3,26
izon1238,Izon,11,5
japr1238,Japrería,4,859
jaqa1244,Jaqaru,1,2766
java1254,Javanese,4,112
jebe1250,Jebero,2,242
jola1263,Jola-Fonyi,5,31
juho1239,South-Eastern Ju,28,1161
kaba1278,Kabardian,12,1234
kach1280,Southern Jinghpaw,3,147
kafa1242,Kafa,3,1743
kain1272,Kaingang,5,662
kala1377,Kala Lagaw Ya,3,137
kala1399,Kalaallisut,1,0
kalk1246,Kalkutung,2,435
kama1365,Kamang,5,839
karo1304,Karok,3,676
kash1277,Kashmiri,10,1623
katc1249,Katcha-Kadugli-Miri,3,473
kawa1283,Kawaiisu,6,1560
kekc1242,Kekchí,3,28
kera1255,Kera,3,328
kett1243,Ket,3,176
khan1273,Kazym-Berezover-Suryskarer Khanty,8,54
khar1287,Kharia,3,376
khas1269,Khasi,4,38
khmu1256,Khmu,8,953
kiow1266,Kiowa,12,450
kirg1245,Kirghiz,4,3699
klam1254,Klamath-Modoc,4,1299
klao1243,Klao,8,66
koho1244,Koho,5,871
kohu1244,Kohumono,8,23
komi1268,Komi-Zyrian,2,125
komo1258,Komo (Sudan),4,767
konk1267,Maharashtrian Konkani,7,723
kore1280,Korean,5,154
kory1246,Koryak,2,0
kota1263,Kota (India),2,1456
koya1251,Koya,2,111
koyr1242,Koyraboro Senni Songhai,5,261
kpan1246,Kpan,5,139
kuku1273,Kuku-Yalanji,2,236
kumi1248,Tipai,7,297
kuna1268,Kunama,4,1058
kuni1267,Kunimaipa,2,1857
kups1238,Kupsabiny,8,2719
kuru1302,Kurukh,5,284
kwai1243,Kwaio,6,564
kwak1269,Kwak'wala,12,112
kwom1262,Kwoma,7,31
lahu1253,Lahu,4,1476
lakk1238,Lakkia,14,767
lakk1252,Lak,23,2018
lako1247,Lakota,4,834
lave1249,Brao,2,581
lele1264,Lelemi,6,519
lena1238,Lenakel,5,219
libe1247,Liberia Kpelle,7,285
lish1246,Lishán Didán,6,1635
lith1251,Lithuanian,6,54
lowe1415,Lower Grand Valley Dani,8,2969
lugb1240,Lugbara,6,1225
luis1253,Luiseno,6,742
luok1236,Luo (Kenya and Tanzania),5,1467
lush1252,Northern Lushootseed,9,92
lusi1240,Lusi,3,92
luuu1242,Lü,5,1101
maba1277,Maba (Chad),4,509
manc1252,Manchu,4,187
mand1415,Mandarin Chinese,4,88
mapu1245,Mapudungun,3,1538
mara1404,Maranao,1,969
marg1265,Marghi Central,2,426
masa1300,Masai,5,1187
maun1240,Mawng,2,28
maxa1247,Maxakalí,2,294
mbaa1245,Mba,4,456
mbab1239,Mbabaram,5,341
mbum1254,Mbum,4,830
mind1253,Min Dong Chinese,4,6
minn1241,Min Nan Chinese,3,35
mode1248,Modern Greek,2,190
mogh1245,Mogholi,3,942
morb1239,Mor (Bomberai Peninsula),3,27
moro1285,Moro,3,745
movi1243,Movima,4,146
muin1242,Muinane,2,177
mull1237,Mullukmulluk,3,40
mund1320,Mundari,3,50
murl1244,Murle,3,452
murr1258,Murriny Patha,2,0
naas1242,Naasioi,2,1855
nama1264,Nama (Namibia),3,1170
nana1257,Nanai,2,34
nara1262,Nara,3,788
natu1246,Natügu,14,0
nava1243,Navajo,6,2140
naxi1245,Naxi,3,3607
ndut1239,Ndut,3,35
nene1249,Tundra Nenets,3,0
newa1246,Kathmandu Valley Newari,2,288
nezp1238,Nez Perce,3,1041
ngan1291,Nganasan,3,0
ngar1284,Ngarinyin,3,511
ngas1240,Ngas,4,1130
ngiz1242,Ngizim,6,360
niel1243,Niellim,5,358
nina1238,Ninam,3,575
niva1238,Nivaclé,3,209
nobi1240,Nobiin,2,277
noon1243,Noone,7,1277
nort1550,Taos Northern Tiwa,8,2143
nort2641,Northern Kurdish,9,697
nort2690,Northern Uzbek,3,52
nort2697,North Azerbaijani,4,276
nort2735,Northern Dong,6,512
nort2745,Northern Yukaghir,4,0
nort2815,Northeastern Dinka,6,401
nort2819,Northern Bobo Madaré,6,467
nort2938,Northern Haida,11,80
nort2952,Northeast Maidu,3,1271
nort2957,Northern Puebla Nahuatl,2,1496
norw1259,Norwegian Bokmål,13,20
nucl1235,Eastern Armenian,2,1912
nucl1240,Mumuye,7,543
nucl1301,Turkish,4,1138
nucl1302,Georgian,2,1338
nucl1310,Burmese,7,711
nucl1339,Temein,4,842
nucl1347,Wolof,7,53
nucl1417,Igbo,14,8
nucl1454,Yawa,3,852
nucl1620,Wahgi,3,2160
nucl1632,Sentani,3,74
nucl1643,Japanese,2,127
nucl1649,Southern-Coastal Tsimshian,6,278
nung1283,Nung (Viet Nam),4,703
nung1290,Wubuy,2,6
nuuc1236,Nuu-chah-nulth,10,614
nyah1250,Nyahkur,10,556
nyan1313,Nyang'i,4,1369
nyis1236,Nyishi-Hill Miri,3,996
ocai1244,Ocaina,2,114
ogbi1239,Ogbia,7,21
ormu1247,Ormuri,3,2281
paco1243,Pacoh,5,757
paez1247,Páez,3,3472
paiw1248,Paiwan,1,608
papa1238,Papantla Totonac,3,89
para1301,South Wa,19,1866
para1311,Paraguayan Guaraní,8,184
pech1241,Pech,7,411
peve1243,Peve,5,328
pira1253,Pirahã,1,75
plat1254,Plateau Malagasy,2,1653
pohn1238,Pohnpeian,6,537
popt1235,Popti',3,2060
pure1242,Purepecha,5,2340
pwon1235,Pwo Northern Karen,6,1113
qaqe1238,Qaqet,4,941
qaua1234,Central Gelao-Qau,6,1275
qawa1238,Qawasqar,2,80
quil1240,Quileute,8,16
quio1240,Quiotepec Chinantec,9,1441
resi1247,Resígaro,2,127
roma1327,Romanian,5,348
roto1249,Rotokas,2,283
ruka1240,Rukai,2,1689
russ1263,Russian,2,185
rutu1240,Rutul,20,1950
saba1265,Sa'ban,3,1002
sali1298,Sáliba,6,119
