Glottocode,language,dorsal,elevation
komo1258,Komo (Sudan),14,767
konk1267,Maharashtrian Konkani,22,723
kore1280,Korean,17,154
kory1246,Koryak,11,0
kota1263,Kota (India),9,1456
koya1251,Koya,8,111
koyr1242,Koyraboro Senni Songhai,14,261
kpan1246,Kpan,19,139
kuku1273,Kuku-Yalanji,9,236
kumi1248,Tipai,16,297
kuna1268,Kunama,13,1058
kuni1267,Kunimaipa,9,1857
kups1238,Kupsabiny,18,2719
kuru1302,Kurukh,18,284
kwai1243,Kwaio,12,564
kwak1269,Kwak'wala,26,112
kwom1262,Kwoma,14,31
lahu1253,Lahu,18,1476
lakk1238,Lakkia,37,767
lakk1252,Lak,35,2018
lako1247,Lakota,16,834
lave1249,Brao,15,581
lele1264,Lelemi,20,519
lena1238,Lenakel,10,219
libe1247,Liberia Kpelle,21,285
lish1246,Lishán Didán,22,1635
lith1251,Lithuanian,35,54
lowe1415,Lower Grand Valley Dani,16,2969
lugb1240,Lugbara,18,1225
luis1253,Luiseno,14,742
luok1236,Luo (Kenya and Tanzania),15,1467
lush1252,Northern Lushootseed,19,92
lusi1240,Lusi,9,92
luuu1242,Lü,15,1101
maba1277,Maba (Chad),14,509
manc1252,Manchu,12,187
mand1415,Mandarin Chinese,17,88
mapu1245,Mapudungun,12,1538
mara1404,Maranao,7,969
marg1265,Marghi Central,11,426
masa1300,Masai,16,1187
maun1240,Mawng,9,28
maxa1247,Maxakalí,12,294
mbaa1245,Mba,15,456
mbab1239,Mbabaram,12,341
mbum1254,Mbum,18,830
mind1253,Min Dong Chinese,11,6
minn1241,Min Nan Chinese,10,35
mode1248,Modern Greek,10,190
mogh1245,Mogholi,13,942
morb1239,Mor (Bomberai Peninsula),9,27
moro1285,Moro,13,745
movi1243,Movima,9,146
muin1242,Muinane,14,177
mull1237,Mullukmulluk,9,40
mund1320,Mundari,12,50
murl1244,Murle,13,452
murr1258,Murriny Patha,9,0
naas1242,Naasioi,6,1855
nama1264,Nama (Namibia),13,1170
nana1257,Nanai,12,34
nara1262,Nara,10,788
natu1246,Natügu,30,0
nava1243,Navajo,24,2140
naxi1245,Naxi,20,3607
ndut1239,Ndut,18,35
nene1249,Tundra Nenets,22,0
newa1246,Kathmandu Valley Newari,12,288
nezp1238,Nez Perce,14,1041
ngan1291,Nganasan,18,0
ngar1284,Ngarinyin,13,511
ngas1240,Ngas,24,1130
ngiz1242,Ngizim,18,360
niel1243,Niellim,18,358
nina1238,Ninam,15,575
niva1238,Nivaclé,11,209
nobi1240,Nobiin,8,277
noon1243,Noone,21,1277
nort1550,Taos Northern Tiwa,21,2143
nort2641,Northern Kurdish,27,697
nort2690,Northern Uzbek,14,52
nort2697,North Azerbaijani,16,276
nort2735,Northern Dong,20,512
nort2745,Northern Yukaghir,17,0
nort2815,Northeastern Dinka,21,401
nort2819,Northern Bobo Madaré,20,467
nort2938,Northern Haida,29,80
nort2952,Northeast Maidu,12,1271
nort2957,Northern Puebla Nahuatl,7,1496
norw1259,Norwegian Bokmål,29,20
nucl1235,Eastern Armenian,12,1912
nucl1240,Mumuye,18,543
nucl1301,Turkish,15,1138
nucl1302,Georgian,13,1338
nucl1310,Burmese,23,711
nucl1339,Temein,14,842
nucl1347,Wolof,25,53
nucl1417,Igbo,34,8
nucl1454,Yawa,10,852
nucl1620,Wahgi,12,2160
nucl1632,Sentani,10,74
nucl1633,Nimboran,9,61
nucl1643,Japanese,10,127
