Glottocode,language,tense,elevation
komo1258,Komo (Sudan),6,767
konk1267,Maharashtrian Konkani,10,723
kore1280,Korean,10,154
kory1246,Koryak,2,0
kota1263,Kota (India),3,1456
koya1251,Koya,4,111
koyr1242,Koyraboro Senni Songhai,7,261
kpan1246,Kpan,6,139
kuku1273,Kuku-Yalanji,4,236
kumi1248,Tipai,4,297
kuna1268,Kunama,4,1058
kuni1267,Kunimaipa,3,1857
kups1238,Kupsabiny,8,2719
kuru1302,Kurukh,6,284
kwai1243,Kwaio,3,564
kwak1269,Kwak'wala,6,112
kwom1262,Kwoma,6,31
lahu1253,Lahu,8,1476
lakk1238,Lakkia,17,767
lakk1252,Lak,6,2018
lako1247,Lakota,7,834
lave1249,Brao,7,581
lele1264,Lelemi,8,519
lena1238,Lenakel,4,219
libe1247,Liberia Kpelle,5,285
lish1246,Lishán Didán,9,1635
lith1251,Lithuanian,11,54
lowe1415,Lower Grand Valley Dani,9,2969
lugb1240,Lugbara,8,1225
luis1253,Luiseno,2,742
luok1236,Luo (Kenya and Tanzania),4,1467
lush1252,Northern Lushootseed,2,92
lusi1240,Lusi,3,92
luuu1242,Lü,7,1101
maba1277,Maba (Chad),6,509
manc1252,Manchu,4,187
mand1415,Mandarin Chinese,7,88
mapu1245,Mapudungun,5,1538
mara1404,Maranao,2,969
marg1265,Marghi Central,3,426
masa1300,Masai,6,1187
maun1240,Mawng,3,28
maxa1247,Maxakalí,4,294
mbaa1245,Mba,6,456
mbab1239,Mbabaram,5,341
mbum1254,Mbum,6,830
mind1253,Min Dong Chinese,3,6
minn1241,Min Nan Chinese,4,35
mode1248,Modern Greek,3,190
mogh1245,Mogholi,3,942
morb1239,Mor (Bomberai Peninsula),4,27
moro1285,Moro,8,745
movi1243,Movima,4,146
muin1242,Muinane,3,177
mull1237,Mullukmulluk,4,40
mund1320,Mundari,2,50
murl1244,Murle,4,452
murr1258,Murriny Patha,3,0
naas1242,Naasioi,3,1855
nama1264,Nama (Namibia),6,1170
nana1257,Nanai,4,34
nara1262,Nara,4,788
natu1246,Natügu,8,0
nava1243,Navajo,6,2140
naxi1245,Naxi,5,3607
ndut1239,Ndut,6,35
nene1249,Tundra Nenets,5,0
newa1246,Kathmandu Valley Newari,4,288
nezp1238,Nez Perce,5,1041
ngan1291,Nganasan,5,0
ngar1284,Ngarinyin,3,511
ngas1240,Ngas,8,1130
ngiz1242,Ngizim,4,360
niel1243,Niellim,7,358
nina1238,Ninam,6,575
niva1238,Nivaclé,4,209
nobi1240,Nobiin,2,277
noon1243,Noone,8,1277
nort1550,Taos Northern Tiwa,10,2143
nort2641,Northern Kurdish,11,697
nort2690,Northern Uzbek,5,52
nort2697,North Azerbaijani,4,276
nort2735,Northern Dong,4,512
nort2745,Northern Yukaghir,3,0
nort2815,Northeastern Dinka,9,401
nort2819,Northern Bobo Madaré,8,467
nort2938,Northern Haida,5,80
nort2952,Northeast Maidu,5,1271
nort2957,Northern Puebla Nahuatl,2,1496
norw1259,Norwegian Bokmål,11,20
nucl1235,Eastern Armenian,4,1912
nucl1240,Mumuye,6,543
nucl1301,Turkish,1,1138
nucl1310,Burmese,9,711
nucl1339,Temein,6,842
nucl1347,Wolof,10,53
nucl1417,Igbo,10,8
nucl1454,Yawa,4,852
nucl1620,Wahgi,4,2160
nucl1632,Sentani,5,74
nucl1633,Nimboran,3,61
nucl1643,Japanese,4,127
nucl1649,Southern-Coastal Tsimshian,8,278
nung1283,Nung (Viet Nam),6,703
nung1290,Wubuy,2,6
nuuc1236,Nuu-chah-nulth,6,614
nyah1250,Nyahkur,15,556
nyan1313,Nyang'i,6,1369
nyis1236,Nyishi-Hill Miri,6,996
ocai1244,Ocaina,6,114
ogbi1239,Ogbia,6,21
ormu1247,Ormuri,3,2281
paco1243,Pacoh,7,757
paez1247,Páez,6,3472
paiw1248,Paiwan,3,608
papa1238,Papantla Totonac,6,89
para1301,South Wa,33,1866
para1311,Paraguayan Guaraní,10,184
pech1241,Pech,7,411
peve1243,Peve,7,328
pira1253,Pirahã,1,75
plat1254,Plateau Malagasy,4,1653
pohn1238,Pohnpeian,4,537
popt1235,Popti',5,2060
pure1242,Purepecha,6,2340
pwon1235,Pwo Northern Karen,9,1113
qaqe1238,Qaqet,5,941
qaua1234,Central Gelao-Qau,6,1275
qawa1238,Qawasqar,2,80
quil1240,Quileute,4,16
quio1240,Quiotepec Chinantec,10,1441
resi1247,Resígaro,4,127
roma1327,Romanian,7,348
roto1249,Rotokas,2,283
ruka1240,Rukai,5,1689
russ1263,Russian,3,185
rutu1240,Rutul,4,1950
saba1265,Sa'ban,5,1002
sali1298,Sáliba,4,119
sand1273,Sandawe,6,1208
sang1328,Sango,7,503
sanm1287,San Mateo del Mar Huave,5,5
sanm1295,San Miguel El Grande Mixtec,4,2279
savo1255,Savosavo,2,365
seda1262,Sedang,14,1287
sele1250,Selepet,5,759
selk1253,Selkup,7,71
sene1264,Seneca,5,427
sgaw1245,S'gaw Karen,7,246
shas1239,Shasta,4,1111
shua1257,Shuar,8,1256
shus1248,Shuswap,8,660
sinh1246,Sinhala,5,51
sion1247,Siona-Tetete,8,236
siri1273,Sirionó,12,182
soma1255,Somali,3,211
soqo1240,Soqotri,4,929
sout2674,South Saami,4,141
sout2949,Southern Kiwai,5,37
sout2982,Southeastern Pomo,2,439
sout2985,Southern Sierra Miwok,5,780
sout2991,South Bolivian Quechua,2,4156
sout2994,Southern Nambikuára,8,687
stan1288,Spanish,4,1202
stan1290,French,10,124
stan1295,German,9,368
suen1241,Suena,4,68
suii1243,Sui,6,276
taca1256,Tacana,3,207
