,language,dorsal,elevation
kala1399,Kalaallisut,11,0.0
kalk1246,Kalkutung,10,435.0
kama1365,Kamang,16,839.0
karo1304,Karok,14,676.0
kash1277,Kashmiri,37,1623.0
katc1249,Katcha-Kadugli-Miri,13,473.0
kawa1283,Kawaiisu,13,1560.0
kekc1242,Kekchí,12,28.0
kera1255,Kera,12,328.0
kett1243,Ket,17,176.0
khan1273,Kazym-Berezover-Suryskarer Khanty,21,54.0
khar1287,Kharia,13,376.0
khas1269,Khasi,14,38.0
khmu1256,Khmu,28,953.0
kiow1266,Kiowa,25,450.0
kirg1245,Kirghiz,15,3699.0
klam1254,Klamath-Modoc,19,1299.0
klao1243,Klao,21,66.0
koho1244,Koho,21,871.0
kohu1244,Kohumono,21,23.0
komi1268,Komi-Zyrian,18,125.0
komo1258,Komo (Sudan),14,767.0
konk1267,Maharashtrian Konkani,22,723.0
kore1280,Korean,17,154.0
kory1246,Koryak,11,0.0
kota1263,Kota (India),9,1456.0
koya1251,Koya,8,111.0
koyr1242,Koyraboro Senni Songhai,14,261.0
kpan1246,Kpan,19,139.0
kuku1273,Kuku-Yalanji,9,236.0
kumi1248,Tipai,16,297.0
kuna1268,Kunama,13,1058.0
kuni1267,Kunimaipa,9,1857.0
kups1238,Kupsabiny,18,2719.0
kuru1302,Kurukh,18,284.0
kwai1243,Kwaio,12,564.0
kwak1269,Kwak'wala,26,112.0
kwom1262,Kwoma,14,31.0
lahu1253,Lahu,18,1476.0
lakk1238,Lakkia,37,767.0
lakk1252,Lak,35,2018.0
lako1247,Lakota,16,834.0
lave1249,Brao,15,581.0
lele1264,Lelemi,20,519.0
lena1238,Lenakel,10,219.0
libe1247,Liberia Kpelle,21,285.0
lish1246,Lishán Didán,22,1635.0
lith1251,Lithuanian,35,54.0
lowe1415,Lower Grand Valley Dani,16,2969.0
lugb1240,Lugbara,18,1225.0
luis1253,Luiseno,14,742.0
luok1236,Luo (Kenya and Tanzania),15,1467.0
lush1252,Northern Lushootseed,19,92.0
lusi1240,Lusi,9,92.0
luuu1242,Lü,15,1101.0
maba1277,Maba (Chad),14,509.0
manc1252,Manchu,12,187.0
mand1415,Mandarin Chinese,17,88.0
mapu1245,Mapudungun,12,1538.0
mara1404,Maranao,7,969.0
marg1265,Marghi Central,11,426.0
masa1300,Masai,16,1187.0
maun1240,Mawng,9,28.0
maxa1247,Maxakalí,12,294.0
mbaa1245,Mba,15,456.0
mbab1239,Mbabaram,12,341.0
mbum1254,Mbum,18,830.0
mind1253,Min Dong Chinese,11,6.0
minn1241,Min Nan Chinese,10,35.0
mode1248,Modern Greek,10,190.0
mogh1245,Mogholi,13,942.0
morb1239,Mor (Bomberai Peninsula),9,27.0
moro1285,Moro,13,745.0
movi1243,Movima,9,146.0
muin1242,Muinane,14,177.0
mull1237,Mullukmulluk,9,40.0
mund1320,Mundari,12,50.0
murl1244,Murle,13,452.0
murr1258,Murriny Patha,9,0.0
naas1242,Naasioi,6,1855.0
nama1264,Nama (Namibia),13,1170.0
nana1257,Nanai,12,34.0
nara1262,Nara,10,788.0
natu1246,Natügu,30,0.0
nava1243,Navajo,24,2140.0
naxi1245,Naxi,20,3607.0
ndut1239,Ndut,18,35.0
nene1249,Tundra Nenets,22,0.0
newa1246,Kathmandu Valley Newari,12,288.0
nezp1238,Nez Perce,14,1041.0
ngan1291,Nganasan,18,0.0
ngar1284,Ngarinyin,13,511.0
ngas1240,Ngas,24,1130.0
ngiz1242,Ngizim,18,360.0
niel1243,Niellim,18,358.0
nina1238,Ninam,15,575.0
niva1238,Nivaclé,11,209.0
nobi1240,Nobiin,8,277.0
noon1243,Noone,21,1277.0
nort1550,Taos Northern Tiwa,21,2143.0
nort2641,Northern Kurdish,27,697.0
nort2690,Northern Uzbek,14,52.0
nort2697,North Azerbaijani,16,276.0
nort2735,Northern Dong,20,512.0
nort2745,Northern Yukaghir,17,0.0
nort2815,Northeastern Dinka,21,401.0
nort2819,Northern Bobo Madaré,20,467.0
nort2938,Northern Haida,29,80.0
nort2952,Northeast Maidu,12,1271.0
nort2957,Northern Puebla Nahuatl,7,1496.0
norw1259,Norwegian Bokmål,29,20.0
nucl1235,Eastern Armenian,12,1912.0
nucl1240,Mumuye,18,543.0
nucl1301,Turkish,15,1138.0
nucl1302,Georgian,13,1338.0
nucl1310,Burmese,23,711.0
nucl1339,Temein,14,842.0
nucl1347,Wolof,25,53.0
nucl1417,Igbo,34,8.0
nucl1454,Yawa,10,852.0
nucl1620,Wahgi,12,2160.0
nucl1632,Sentani,10,74.0
nucl1633,Nimboran,9,61.0
nucl1643,Japanese,10,127.0
nucl1649,Southern-Coastal Tsimshian,22,278.0
nung1283,Nung (Viet Nam),16,703.0
nung1290,Wubuy,8,6.0
nuuc1236,Nuu-chah-nulth,22,614.0
nyah1250,Nyahkur,34,556.0
nyan1313,Nyang'i,15,1369.0
nyis1236,Nyishi-Hill Miri,14,996.0
ocai1244,Ocaina,16,114.0
ogbi1239,Ogbia,18,21.0
ormu1247,Ormuri,12,2281.0
paco1243,Pacoh,18,757.0
paez1247,Páez,19,3472.0
paiw1248,Paiwan,12,608.0
papa1238,Papantla Totonac,10,89.0
para1301,South Wa,49,1866.0
para1311,Paraguayan Guaraní,22,184.0
pech1241,Pech,16,411.0
peve1243,Peve,14,328.0
pira1253,Pirahã,5,75.0
plat1254,Plateau Malagasy,8,1653.0
pohn1238,Pohnpeian,10,537.0
popt1235,Popti',12,2060.0
pure1242,Purepecha,16,2340.0
pwon1235,Pwo Northern Karen,19,1113.0
qaqe1238,Qaqet,13,941.0
qaua1234,Central Gelao-Qau,23,1275.0
qawa1238,Qawasqar,8,80.0
quil1240,Quileute,19,16.0
quio1240,Quiotepec Chinantec,23,1441.0
resi1247,Resígaro,14,127.0
roma1327,Romanian,14,348.0
roto1249,Rotokas,7,283.0
ruka1240,Rukai,9,1689.0
russ1263,Russian,25,185.0
rutu1240,Rutul,36,1950.0
saba1265,Sa'ban,13,1002.0
sali1298,Sáliba,15,119.0
sand1273,Sandawe,15,1208.0
sang1328,Sango,19,503.0
sanm1287,San Mateo del Mar Huave,13,5.0
sanm1295,San Miguel El Grande Mixtec,13,2279.0
savo1255,Savosavo,11,365.0
seda1262,Sedang,29,1287.0
sele1250,Selepet,11,759.0
selk1253,Selkup,25,71.0
sene1264,Seneca,11,427.0
sgaw1245,S'gaw Karen,19,246.0
shas1239,Shasta,9,1111.0
shua1257,Shuar,12,1256.0
shus1248,Shuswap,28,660.0
sinh1246,Sinhala,21,51.0
sion1247,Siona-Tetete,18,236.0
siri1273,Sirionó,17,182.0
soma1255,Somali,18,211.0
soqo1240,Soqotri,13,929.0
sout2674,South Saami,28,141.0
sout2949,Southern Kiwai,10,37.0
sout2982,Southeastern Pomo,13,439.0
sout2985,Southern Sierra Miwok,10,780.0
sout2991,South Bolivian Quechua,16,4156.0
sout2994,Southern Nambikuára,26,687.0
stan1288,Spanish,12,1202.0
stan1290,French,24,124.0
stan1295,German,25,368.0
suen1241,Suena,9,68.0
suii1243,Sui,29,276.0
taca1256,Tacana,7,207.0
tach1250,Tachelhit,12,904.0
taga1270,Tagalog,10,93.0
taha1241,Tahaggart Tamahaq,21,760.0
talo1250,Tasomi-Tata,13,486.0
tama1331,Tama (Chad),17,1045.0
tamn1235,Tamnim Citak,9,19.0
tamp1252,Tampulma,19,129.0
taro1263,Tarok,13,210.0
tedi1235,Tedim Chin,10,1359.0
tehu1242,Tehuelche,14,299.0
teke1280,Teke-Kukuya,13,530.0
telu1262,Telugu,17,440.0
tera1251,Tera,30,363.0
tetu1245,Tetum,7,317.0
thai1261,Thai,14,3.0
ticu1245,Ticuna,17,150.0
tiga1245,Tigak,8,44.0
tigr1270,Tigre,14,2112.0
timn1235,Timne,12,48.0
tiru1241,Tiruray,11,435.0
tiwi1244,Tiwi,10,74.0
tlin1245,Tlingit,27,656.0
toar1246,Toaripi,7,7.0
toho1245,Tohono O'odham,9,640.0
toll1241,Tol,12,773.0
tonk1249,Tonkawa,16,86.0
toro1252,Toro So Dogon,17,279.0
tosk1239,Northern Tosk Albanian,13,88.0
toto1305,Totontepec Mixe,12,1423.0
trum1247,Trumai,10,284.0
tsou1248,Tsou,8,989.0
tulu1258,Tulu,19,86.0
tuni1252,Tunica,11,40.0
tuuu1240,Tu,12,2746.0
tuvi1240,Tuvinian,13,613.0
twee1234,Tweed-Albert,8,51.0
tzel1254,Tzeltal,10,2091.0
uppe1439,Upper Chehalis,17,35.0
usan1239,Usan,10,724.0
vani1248,Vanimo,16,197.0
viet1252,Vietnamese,22,8.0
waim1251,Waima,6,9.0
waim1255,Waimaha,16,167.0
wame1240,Wamey,27,79.0
wang1291,Ngiyambaa,7,153.0
want1252,Wantoat,13,1967.0
waor1240,Waorani,15,259.0
wapi1253,Wapishana,11,130.0
wapp1239,Wappo,10,59.0
wara1290,Warray,13,29.0
wara1303,Warao,13,26.0
wari1266,Waris,14,640.0
wayu1243,Wayuu,15,37.0
west2369,Western Farsi,12,2174.0
west2397,Western Bru,28,161.0
west2600,West Makian,9,392.0
west2632,Western Keres,23,1852.0
west2644,Western Highland Chatino,13,1344.0
west2650,Western Cham,19,35.0
wich1260,Wichita,15,390.0
wikm1247,Wik-Mungkan,9,32.0
wint1259,Wintu,13,157.0
wiyo1248,Wiyot,12,449.0
wuch1236,Wu Chinese,14,205.0
yaga1260,Yagaria,13,1810.0
yagu1244,Yagua,15,97.0
yaku1245,Sakha,19,875.0
yana1271,Yana,14,25.0
yane1238,Yanesha',13,2474.0
yany1243,Yanyuwa,11,57.0
yaqu1251,Yaqui,9,788.0
yare1248,Yareba,9,223.0
yess1239,Yessan-Mayo,10,21.0
yidi1250,Yidiñ,9,7.0
yoru1245,Yoruba,17,105.0
yuca1254,Yucatec Maya,14,86.0
yuch1247,Yuchi,16,247.0
yucu1253,Yucuna,8,164.0
yuec1235,Yue Chinese,12,-3.0
yulu1243,Yulu,21,680.0
zand1248,Zande,23,638.0
zulu1248,Zulu,11,537.0
zuni1245,Zuni,11,2210.0
