Glottocode,language,periodicGlottalSource,elevation
komi1268,Komi-Zyrian,24,125
komo1258,Komo (Sudan),20,767
konk1267,Maharashtrian Konkani,29,723
kore1280,Korean,17,154
kory1246,Koryak,15,0
kota1263,Kota (India),21,1456
koya1251,Koya,17,111
koyr1242,Koyraboro Senni Songhai,20,261
kpan1246,Kpan,25,139
kuku1273,Kuku-Yalanji,12,236
kumi1248,Tipai,21,297
kuna1268,Kunama,19,1058
kuni1267,Kunimaipa,16,1857
kups1238,Kupsabiny,21,2719
kuru1302,Kurukh,23,284
kwai1243,Kwaio,15,564
kwak1269,Kwak'wala,24,112
kwom1262,Kwoma,21,31
lahu1253,Lahu,21,1476
lakk1238,Lakkia,33,767
lakk1252,Lak,22,2018
lako1247,Lakota,17,834
lave1249,Brao,21,581
lele1264,Lelemi,26,519
lena1238,Lenakel,14,219
libe1247,Liberia Kpelle,27,285
lish1246,Lishán Didán,29,1635
lith1251,Lithuanian,38,54
lowe1415,Lower Grand Valley Dani,17,2969
lugb1240,Lugbara,27,1225
luis1253,Luiseno,13,742
luok1236,Luo (Kenya and Tanzania),22,1467
lush1252,Northern Lushootseed,12,92
lusi1240,Lusi,15,92
luuu1242,Lü,17,1101
maba1277,Maba (Chad),22,509
manc1252,Manchu,17,187
mand1415,Mandarin Chinese,15,88
mapu1245,Mapudungun,17,1538
mara1404,Maranao,12,969
marg1265,Marghi Central,23,426
masa1300,Masai,21,1187
maun1240,Mawng,17,28
maxa1247,Maxakalí,14,294
mbaa1245,Mba,25,456
mbab1239,Mbabaram,24,341
mbum1254,Mbum,31,830
mind1253,Min Dong Chinese,11,6
minn1241,Min Nan Chinese,14,35
mode1248,Modern Greek,18,190
mogh1245,Mogholi,18,942
morb1239,Mor (Bomberai Peninsula),14,27
moro1285,Moro,22,745
movi1243,Movima,14,146
muin1242,Muinane,18,177
mull1237,Mullukmulluk,15,40
mund1320,Mundari,24,50
murl1244,Murle,19,452
murr1258,Murriny Patha,20,0
naas1242,Naasioi,9,1855
nama1264,Nama (Namibia),12,1170
nana1257,Nanai,18,34
nara1262,Nara,16,788
natu1246,Natügu,34,0
nava1243,Navajo,25,2140
naxi1245,Naxi,32,3607
ndut1239,Ndut,26,35
nene1249,Tundra Nenets,24,0
newa1246,Kathmandu Valley Newari,23,288
nezp1238,Nez Perce,15,1041
ngan1291,Nganasan,22,0
ngar1284,Ngarinyin,19,511
ngas1240,Ngas,33,1130
ngiz1242,Ngizim,30,360
niel1243,Niellim,29,358
nina1238,Ninam,17,575
niva1238,Nivaclé,11,209
nobi1240,Nobiin,14,277
noon1243,Noone,26,1277
nort1550,Taos Northern Tiwa,21,2143
nort2641,Northern Kurdish,35,697
nort2690,Northern Uzbek,19,52
nort2697,North Azerbaijani,23,276
nort2735,Northern Dong,17,512
nort2745,Northern Yukaghir,20,0
nort2815,Northeastern Dinka,27,401
nort2819,Northern Bobo Madaré,26,467
nort2938,Northern Haida,16,80
nort2952,Northeast Maidu,13,1271
nort2957,Northern Puebla Nahuatl,9,1496
norw1259,Norwegian Bokmål,37,20
nucl1235,Eastern Armenian,16,1912
nucl1240,Mumuye,26,543
nucl1301,Turkish,23,1138
nucl1302,Georgian,14,1338
nucl1310,Burmese,26,711
nucl1339,Temein,20,842
nucl1347,Wolof,31,53
nucl1417,Igbo,42,8
nucl1454,Yawa,14,852
nucl1620,Wahgi,16,2160
nucl1632,Sentani,12,74
nucl1633,Nimboran,13,61
nucl1643,Japanese,15,127
nucl1649,Southern-Coastal Tsimshian,22,278
nung1283,Nung (Viet Nam),19,703
nung1290,Wubuy,17,6
nuuc1236,Nuu-chah-nulth,13,614
nyah1250,Nyahkur,34,556
nyan1313,Nyang'i,19,1369
nyis1236,Nyishi-Hill Miri,17,996
ocai1244,Ocaina,22,114
ogbi1239,Ogbia,28,21
ormu1247,Ormuri,20,2281
paco1243,Pacoh,26,757
paez1247,Páez,24,3472
paiw1248,Paiwan,18,608
papa1238,Papantla Totonac,11,89
para1301,South Wa,67,1866
para1311,Paraguayan Guaraní,25,184
pech1241,Pech,20,411
peve1243,Peve,29,328
pira1253,Pirahã,5,75
plat1254,Plateau Malagasy,17,1653
pohn1238,Pohnpeian,14,537
popt1235,Popti',13,2060
pure1242,Purepecha,19,2340
pwon1235,Pwo Northern Karen,23,1113
qaqe1238,Qaqet,18,941
qaua1234,Central Gelao-Qau,21,1275
qawa1238,Qawasqar,9,80
quil1240,Quileute,10,16
quio1240,Quiotepec Chinantec,26,1441
resi1247,Resígaro,16,127
roma1327,Romanian,23,348
roto1249,Rotokas,8,283
ruka1240,Rukai,18,1689
russ1263,Russian,24,185
rutu1240,Rutul,28,1950
saba1265,Sa'ban,19,1002
sali1298,Sáliba,22,119
sand1273,Sandawe,17,1208
sang1328,Sango,30,503
sanm1287,San Mateo del Mar Huave,21,5
sanm1295,San Miguel El Grande Mixtec,16,2279
savo1255,Savosavo,18,365
seda1262,Sedang,36,1287
sele1250,Selepet,16,759
selk1253,Selkup,26,71
sene1264,Seneca,14,427
sgaw1245,S'gaw Karen,22,246
shas1239,Shasta,9,1111
shua1257,Shuar,14,1256
shus1248,Shuswap,22,660
sinh1246,Sinhala,28,51
sion1247,Siona-Tetete,16,236
siri1273,Sirionó,20,182
soma1255,Somali,22,211
soqo1240,Soqotri,21,929
sout2674,South Saami,29,141
sout2949,Southern Kiwai,14,37
sout2982,Southeastern Pomo,13,439
sout2985,Southern Sierra Miwok,12,780
sout2991,South Bolivian Quechua,17,4156
sout2994,Southern Nambikuára,26,687
stan1288,Spanish,17,1202
stan1290,French,31,124
stan1295,German,31,368
suen1241,Suena,14,68
suii1243,Sui,29,276
taca1256,Tacana,14,207
tach1250,Tachelhit,20,904
taga1270,Tagalog,15,93
taha1241,Tahaggart Tamahaq,28,760
talo1250,Tasomi-Tata,20,486
tama1331,Tama (Chad),24,1045
tamn1235,Tamnim Citak,11,19
tamp1252,Tampulma,25,129
taro1263,Tarok,23,210
tedi1235,Tedim Chin,16,1359
tehu1242,Tehuelche,15,299
teke1280,Teke-Kukuya,20,530
telu1262,Telugu,30,440
tera1251,Tera,36,363
tetu1245,Tetum,12,317
thai1261,Thai,18,3
ticu1245,Ticuna,21,150
tiga1245,Tigak,13,44
tigr1270,Tigre,20,2112
timn1235,Timne,17,48
tiru1241,Tiruray,16,435
tiwi1244,Tiwi,16,74
tlin1245,Tlingit,17,656
toar1246,Toaripi,8,7
toho1245,Tohono O'odham,16,640
toll1241,Tol,13,773
tonk1249,Tonkawa,15,86
toro1252,Toro So Dogon,23,279
tosk1239,Northern Tosk Albanian,24,88
toto1305,Totontepec Mixe,16,1423
trum1247,Trumai,11,284
tsou1248,Tsou,13,989
