Glottocode,language,high,elevation
komo1258,Komo (Sudan),8,767
konk1267,Maharashtrian Konkani,10,723
kore1280,Korean,11,154
kory1246,Koryak,7,0
kota1263,Kota (India),6,1456
koya1251,Koya,5,111
koyr1242,Koyraboro Senni Songhai,8,261
kpan1246,Kpan,13,139
kuku1273,Kuku-Yalanji,8,236
kumi1248,Tipai,8,297
kuna1268,Kunama,10,1058
kuni1267,Kunimaipa,6,1857
kups1238,Kupsabiny,10,2719
kuru1302,Kurukh,10,284
kwai1243,Kwaio,9,564
kwak1269,Kwak'wala,14,112
kwom1262,Kwoma,10,31
lahu1253,Lahu,10,1476
lakk1238,Lakkia,22,767
lakk1252,Lak,17,2018
lako1247,Lakota,12,834
lave1249,Brao,8,581
lele1264,Lelemi,12,519
lena1238,Lenakel,6,219
libe1247,Liberia Kpelle,15,285
lish1246,Lishán Didán,11,1635
lith1251,Lithuanian,24,54
lowe1415,Lower Grand Valley Dani,8,2969
lugb1240,Lugbara,12,1225
luis1253,Luiseno,9,742
luok1236,Luo (Kenya and Tanzania),10,1467
lush1252,Northern Lushootseed,11,92
lusi1240,Lusi,6,92
luuu1242,Lü,9,1101
maba1277,Maba (Chad),9,509
manc1252,Manchu,7,187
mand1415,Mandarin Chinese,12,88
mapu1245,Mapudungun,9,1538
mara1404,Maranao,5,969
marg1265,Marghi Central,8,426
masa1300,Masai,11,1187
maun1240,Mawng,6,28
maxa1247,Maxakalí,6,294
mbaa1245,Mba,10,456
mbab1239,Mbabaram,11,341
mbum1254,Mbum,14,830
mind1253,Min Dong Chinese,7,6
minn1241,Min Nan Chinese,6,35
mode1248,Modern Greek,7,190
mogh1245,Mogholi,8,942
morb1239,Mor (Bomberai Peninsula),6,27
moro1285,Moro,8,745
movi1243,Movima,6,146
muin1242,Muinane,11,177
mull1237,Mullukmulluk,6,40
mund1320,Mundari,9,50
murl1244,Murle,10,452
murr1258,Murriny Patha,7,0
naas1242,Naasioi,3,1855
nama1264,Nama (Namibia),27,1170
nana1257,Nanai,9,34
nara1262,Nara,7,788
natu1246,Natügu,18,0
nava1243,Navajo,12,2140
naxi1245,Naxi,17,3607
ndut1239,Ndut,13,35
nene1249,Tundra Nenets,18,0
newa1246,Kathmandu Valley Newari,8,288
nezp1238,Nez Perce,9,1041
ngan1291,Nganasan,13,0
ngar1284,Ngarinyin,10,511
ngas1240,Ngas,18,1130
ngiz1242,Ngizim,14,360
niel1243,Niellim,10,358
nina1238,Ninam,7,575
niva1238,Nivaclé,9,209
nobi1240,Nobiin,5,277
noon1243,Noone,11,1277
nort1550,Taos Northern Tiwa,13,2143
nort2641,Northern Kurdish,13,697
nort2690,Northern Uzbek,7,52
nort2697,North Azerbaijani,10,276
nort2735,Northern Dong,14,512
nort2745,Northern Yukaghir,11,0
nort2815,Northeastern Dinka,11,401
nort2819,Northern Bobo Madaré,12,467
nort2938,Northern Haida,20,80
nort2952,Northeast Maidu,9,1271
nort2957,Northern Puebla Nahuatl,4,1496
norw1259,Norwegian Bokmål,13,20
nucl1235,Eastern Armenian,6,1912
nucl1240,Mumuye,11,543
nucl1301,Turkish,11,1138
nucl1302,Georgian,6,1338
nucl1310,Burmese,14,711
nucl1339,Temein,9,842
nucl1347,Wolof,13,53
nucl1417,Igbo,25,8
nucl1454,Yawa,7,852
nucl1620,Wahgi,9,2160
nucl1632,Sentani,5,74
nucl1633,Nimboran,6,61
nucl1643,Japanese,6,127
nucl1649,Southern-Coastal Tsimshian,17,278
nung1283,Nung (Viet Nam),11,703
nung1290,Wubuy,6,6
nuuc1236,Nuu-chah-nulth,11,614
nyah1250,Nyahkur,16,556
nyan1313,Nyang'i,10,1369
nyis1236,Nyishi-Hill Miri,10,996
ocai1244,Ocaina,11,114
ogbi1239,Ogbia,12,21
ormu1247,Ormuri,6,2281
paco1243,Pacoh,6,757
paez1247,Páez,16,3472
paiw1248,Paiwan,9,608
papa1238,Papantla Totonac,7,89
para1301,South Wa,18,1866
para1311,Paraguayan Guaraní,16,184
pech1241,Pech,10,411
peve1243,Peve,8,328
pira1253,Pirahã,3,75
plat1254,Plateau Malagasy,5,1653
pohn1238,Pohnpeian,6,537
popt1235,Popti',7,2060
pure1242,Purepecha,13,2340
pwon1235,Pwo Northern Karen,10,1113
