Glottocode,language,sonorant,elevation
komo1258,Komo (Sudan),15,767
konk1267,Maharashtrian Konkani,24,723
kore1280,Korean,17,154
kory1246,Koryak,12,0
kota1263,Kota (India),14,1456
koya1251,Koya,12,111
koyr1242,Koyraboro Senni Songhai,16,261
kpan1246,Kpan,13,139
kuku1273,Kuku-Yalanji,12,236
kumi1248,Tipai,19,297
kuna1268,Kunama,15,1058
kuni1267,Kunimaipa,11,1857
kups1238,Kupsabiny,21,2719
kuru1302,Kurukh,18,284
kwai1243,Kwaio,11,564
kwak1269,Kwak'wala,16,112
kwom1262,Kwoma,14,31
lahu1253,Lahu,15,1476
lakk1238,Lakkia,37,767
lakk1252,Lak,15,2018
lako1247,Lakota,13,834
lave1249,Brao,17,581
lele1264,Lelemi,19,519
lena1238,Lenakel,14,219
libe1247,Liberia Kpelle,18,285
lish1246,Lishán Didán,21,1635
lith1251,Lithuanian,25,54
lowe1415,Lower Grand Valley Dani,17,2969
lugb1240,Lugbara,18,1225
luis1253,Luiseno,12,742
luok1236,Luo (Kenya and Tanzania),17,1467
lush1252,Northern Lushootseed,6,92
lusi1240,Lusi,11,92
luuu1242,Lü,14,1101
maba1277,Maba (Chad),15,509
manc1252,Manchu,13,187
mand1415,Mandarin Chinese,14,88
mapu1245,Mapudungun,16,1538
mara1404,Maranao,9,969
marg1265,Marghi Central,11,426
masa1300,Masai,18,1187
maun1240,Mawng,16,28
maxa1247,Maxakalí,10,294
mbaa1245,Mba,12,456
mbab1239,Mbabaram,14,341
mbum1254,Mbum,16,830
mind1253,Min Dong Chinese,11,6
minn1241,Min Nan Chinese,9,35
mode1248,Modern Greek,10,190
mogh1245,Mogholi,12,942
morb1239,Mor (Bomberai Peninsula),10,27
moro1285,Moro,16,745
movi1243,Movima,11,146
muin1242,Muinane,11,177
mull1237,Mullukmulluk,15,40
mund1320,Mundari,14,50
murl1244,Murle,13,452
murr1258,Murriny Patha,15,0
naas1242,Naasioi,8,1855
nama1264,Nama (Namibia),12,1170
nana1257,Nanai,12,34
nara1262,Nara,12,788
natu1246,Natügu,27,0
nava1243,Navajo,21,2140
naxi1245,Naxi,15,3607
ndut1239,Ndut,15,35
nene1249,Tundra Nenets,18,0
newa1246,Kathmandu Valley Newari,14,288
nezp1238,Nez Perce,15,1041
ngan1291,Nganasan,17,0
ngar1284,Ngarinyin,19,511
ngas1240,Ngas,20,1130
ngiz1242,Ngizim,14,360
niel1243,Niellim,19,358
nina1238,Ninam,17,575
niva1238,Nivaclé,11,209
nobi1240,Nobiin,10,277
noon1243,Noone,22,1277
nort1550,Taos Northern Tiwa,18,2143
nort2641,Northern Kurdish,26,697
nort2690,Northern Uzbek,13,52
nort2697,North Azerbaijani,14,276
nort2735,Northern Dong,17,512
nort2745,Northern Yukaghir,15,0
nort2815,Northeastern Dinka,22,401
nort2819,Northern Bobo Madaré,20,467
nort2938,Northern Haida,15,80
nort2952,Northeast Maidu,11,1271
nort2957,Northern Puebla Nahuatl,9,1496
norw1259,Norwegian Bokmål,33,20
nucl1235,Eastern Armenian,12,1912
nucl1240,Mumuye,18,543
nucl1301,Turkish,14,1138
nucl1302,Georgian,10,1338
nucl1310,Burmese,25,711
nucl1339,Temein,15,842
nucl1347,Wolof,25,53
nucl1417,Igbo,26,8
nucl1454,Yawa,11,852
nucl1620,Wahgi,13,2160
nucl1632,Sentani,11,74
nucl1633,Nimboran,10,61
nucl1643,Japanese,11,127
nucl1649,Southern-Coastal Tsimshian,15,278
nung1283,Nung (Viet Nam),17,703
nung1290,Wubuy,17,6
nuuc1236,Nuu-chah-nulth,13,614
nyah1250,Nyahkur,36,556
nyan1313,Nyang'i,15,1369
nyis1236,Nyishi-Hill Miri,15,996
ocai1244,Ocaina,16,114
ogbi1239,Ogbia,18,21
ormu1247,Ormuri,12,2281
paco1243,Pacoh,23,757
paez1247,Páez,16,3472
paiw1248,Paiwan,11,608
papa1238,Papantla Totonac,11,89
para1301,South Wa,55,1866
para1311,Paraguayan Guaraní,21,184
pech1241,Pech,19,411
peve1243,Peve,15,328
pira1253,Pirahã,3,75
plat1254,Plateau Malagasy,10,1653
pohn1238,Pohnpeian,14,537
popt1235,Popti',12,2060
pure1242,Purepecha,16,2340
pwon1235,Pwo Northern Karen,18,1113
qaqe1238,Qaqet,14,941
qaua1234,Central Gelao-Qau,18,1275
qawa1238,Qawasqar,9,80
quil1240,Quileute,7,16
quio1240,Quiotepec Chinantec,27,1441
resi1247,Resígaro,13,127
roma1327,Romanian,16,348
roto1249,Rotokas,6,283
ruka1240,Rukai,12,1689
russ1263,Russian,14,185
rutu1240,Rutul,11,1950
saba1265,Sa'ban,15,1002
sali1298,Sáliba,16,119
sand1273,Sandawe,14,1208
sang1328,Sango,17,503
sanm1287,San Mateo del Mar Huave,13,5
sanm1295,San Miguel El Grande Mixtec,13,2279
savo1255,Savosavo,11,365
seda1262,Sedang,37,1287
sele1250,Selepet,13,759
selk1253,Selkup,25,71
sene1264,Seneca,12,427
sgaw1245,S'gaw Karen,16,246
shas1239,Shasta,9,1111
shua1257,Shuar,14,1256
shus1248,Shuswap,22,660
sinh1246,Sinhala,22,51
sion1247,Siona-Tetete,16,236
siri1273,Sirionó,15,182
soma1255,Somali,16,211
soqo1240,Soqotri,14,929
sout2674,South Saami,20,141
sout2949,Southern Kiwai,11,37
sout2982,Southeastern Pomo,11,439
sout2985,Southern Sierra Miwok,12,780
sout2991,South Bolivian Quechua,14,4156
sout2994,Southern Nambikuára,24,687
stan1288,Spanish,14,1202
stan1290,French,25,124
stan1295,German,25,368
suen1241,Suena,10,68
suii1243,Sui,26,276
taca1256,Tacana,10,207
tach1250,Tachelhit,11,904
taga1270,Tagalog,12,93
taha1241,Tahaggart Tamahaq,19,760
talo1250,Tasomi-Tata,15,486
tama1331,Tama (Chad),18,1045
tamn1235,Tamnim Citak,10,19
tamp1252,Tampulma,18,129
taro1263,Tarok,13,210
tedi1235,Tedim Chin,11,1359
tehu1242,Tehuelche,14,299
teke1280,Teke-Kukuya,15,530
telu1262,Telugu,20,440
tera1251,Tera,14,363
tetu1245,Tetum,10,317
thai1261,Thai,16,3
ticu1245,Ticuna,17,150
tiga1245,Tigak,9,44
tigr1270,Tigre,13,2112
timn1235,Timne,14,48
tiru1241,Tiruray,13,435
tiwi1244,Tiwi,15,74
tlin1245,Tlingit,8,656
toar1246,Toaripi,8,7
toho1245,Tohono O'odham,11,640
toll1241,Tol,12,773
tonk1249,Tonkawa,15,86
toro1252,Toro So Dogon,19,279
tosk1239,Northern Tosk Albanian,14,88
toto1305,Totontepec Mixe,12,1423
trum1247,Trumai,12,284
tsou1248,Tsou,10,989
tulu1258,Tulu,23,86
tuni1252,Tunica,13,40
tuuu1240,Tu,10,2746
tuvi1240,Tuvinian,15,613
twee1234,Tweed-Albert,12,51
tzel1254,Tzeltal,11,2091
uppe1439,Upper Chehalis,9,35
usan1239,Usan,10,724
vani1248,Vanimo,20,197
viet1252,Vietnamese,21,8
waim1251,Waima,8,9
waim1255,Waimaha,15,167
wame1240,Wamey,20,79
wang1291,Ngiyambaa,13,153
want1252,Wantoat,11,1967
waor1240,Waorani,15,259
wapi1253,Wapishana,12,130
wapp1239,Wappo,15,59
wara1290,Warray,13,29
wara1303,Warao,15,26
wari1266,Waris,13,640
wayu1243,Wayuu,18,37
west2369,Western Farsi,12,2174
west2397,Western Bru,30,161
west2600,West Makian,12,392
west2632,Western Keres,22,1852
west2644,Western Highland Chatino,15,1344
west2650,Western Cham,19,35
wich1260,Wichita,13,390
wikm1247,Wik-Mungkan,13,32
wint1259,Wintu,10,157
wiyo1248,Wiyot,13,449
wuch1236,Wu Chinese,15,205
yaga1260,Yagaria,13,1810
yagu1244,Yagua,17,97
yaku1245,Sakha,20,875
yana1271,Yana,14,25
yane1238,Yanesha',11,2474
yany1243,Yanyuwa,18,57
yaqu1251,Yaqui,11,788
yare1248,Yareba,10,223
yess1239,Yessan-Mayo,10,21
yidi1250,Yidiñ,12,7
yoru1245,Yoruba,17,105
yuca1254,Yucatec Maya,15,86
yuch1247,Yuchi,16,247
yucu1253,Yucuna,12,164
yuec1235,Yue Chinese,12,-3
yulu1243,Yulu,15,680
zand1248,Zande,22,638
zulu1248,Zulu,12,537
zuni1245,Zuni,10,2210
