,language,back,elevation
kala1399,Kalaallisut,4,0.0
kalk1246,Kalkutung,2,435.0
kama1365,Kamang,4,839.0
karo1304,Karok,3,676.0
kash1277,Kashmiri,10,1623.0
katc1249,Katcha-Kadugli-Miri,3,473.0
kawa1283,Kawaiisu,4,1560.0
kekc1242,Kekchí,5,28.0
kera1255,Kera,3,328.0
kett1243,Ket,3,176.0
khan1273,Kazym-Berezover-Suryskarer Khanty,6,54.0
khar1287,Kharia,3,376.0
khas1269,Khasi,4,38.0
khmu1256,Khmu,7,953.0
kiow1266,Kiowa,6,450.0
kirg1245,Kirghiz,5,3699.0
klam1254,Klamath-Modoc,7,1299.0
klao1243,Klao,8,66.0
koho1244,Koho,7,871.0
kohu1244,Kohumono,5,23.0
komi1268,Komi-Zyrian,3,125.0
komo1258,Komo (Sudan),4,767.0
konk1267,Maharashtrian Konkani,7,723.0
kore1280,Korean,5,154.0
kory1246,Koryak,3,0.0
kota1263,Kota (India),2,1456.0
koya1251,Koya,2,111.0
koyr1242,Koyraboro Senni Songhai,5,261.0
kpan1246,Kpan,5,139.0
kuku1273,Kuku-Yalanji,2,236.0
kumi1248,Tipai,6,297.0
kuna1268,Kunama,4,1058.0
kuni1267,Kunimaipa,3,1857.0
kups1238,Kupsabiny,4,2719.0
kuru1302,Kurukh,6,284.0
kwai1243,Kwaio,3,564.0
kwak1269,Kwak'wala,12,112.0
kwom1262,Kwoma,3,31.0
lahu1253,Lahu,6,1476.0
lakk1238,Lakkia,10,767.0
lakk1252,Lak,16,2018.0
lako1247,Lakota,4,834.0
lave1249,Brao,3,581.0
lele1264,Lelemi,6,519.0
lena1238,Lenakel,4,219.0
libe1247,Liberia Kpelle,5,285.0
lish1246,Lishán Didán,9,1635.0
lith1251,Lithuanian,5,54.0
lowe1415,Lower Grand Valley Dani,5,2969.0
lugb1240,Lugbara,6,1225.0
luis1253,Luiseno,5,742.0
luok1236,Luo (Kenya and Tanzania),5,1467.0
lush1252,Northern Lushootseed,8,92.0
lusi1240,Lusi,3,92.0
luuu1242,Lü,5,1101.0
maba1277,Maba (Chad),4,509.0
manc1252,Manchu,2,187.0
mand1415,Mandarin Chinese,3,88.0
mapu1245,Mapudungun,4,1538.0
mara1404,Maranao,1,969.0
marg1265,Marghi Central,2,426.0
masa1300,Masai,5,1187.0
maun1240,Mawng,2,28.0
maxa1247,Maxakalí,4,294.0
mbaa1245,Mba,4,456.0
mbab1239,Mbabaram,3,341.0
mbum1254,Mbum,4,830.0
mind1253,Min Dong Chinese,2,6.0
minn1241,Min Nan Chinese,3,35.0
mode1248,Modern Greek,3,190.0
mogh1245,Mogholi,5,942.0
morb1239,Mor (Bomberai Peninsula),3,27.0
moro1285,Moro,4,745.0
movi1243,Movima,3,146.0
muin1242,Muinane,2,177.0
mull1237,Mullukmulluk,2,40.0
mund1320,Mundari,3,50.0
murl1244,Murle,3,452.0
murr1258,Murriny Patha,2,0.0
naas1242,Naasioi,2,1855.0
nama1264,Nama (Namibia),3,1170.0
nana1257,Nanai,2,34.0
nara1262,Nara,3,788.0
natu1246,Natügu,7,0.0
nava1243,Navajo,5,2140.0
naxi1245,Naxi,6,3607.0
ndut1239,Ndut,3,35.0
nene1249,Tundra Nenets,3,0.0
newa1246,Kathmandu Valley Newari,4,288.0
nezp1238,Nez Perce,6,1041.0
ngan1291,Nganasan,2,0.0
ngar1284,Ngarinyin,3,511.0
ngas1240,Ngas,4,1130.0
ngiz1242,Ngizim,3,360.0
niel1243,Niellim,5,358.0
nina1238,Ninam,5,575.0
niva1238,Nivaclé,4,209.0
nobi1240,Nobiin,2,277.0
noon1243,Noone,8,1277.0
nort1550,Taos Northern Tiwa,7,2143.0
nort2641,Northern Kurdish,7,697.0
nort2690,Northern Uzbek,4,52.0
nort2697,North Azerbaijani,3,276.0
nort2735,Northern Dong,4,512.0
nort2745,Northern Yukaghir,5,0.0
nort2815,Northeastern Dinka,6,401.0
nort2819,Northern Bobo Madaré,6,467.0
nort2938,Northern Haida,11,80.0
nort2952,Northeast Maidu,3,1271.0
nort2957,Northern Puebla Nahuatl,1,1496.0
norw1259,Norwegian Bokmål,5,20.0
nucl1235,Eastern Armenian,4,1912.0
nucl1240,Mumuye,6,543.0
nucl1301,Turkish,3,1138.0
nucl1302,Georgian,5,1338.0
nucl1310,Burmese,7,711.0
nucl1339,Temein,4,842.0
nucl1347,Wolof,8,53.0
nucl1417,Igbo,9,8.0
nucl1454,Yawa,3,852.0
nucl1620,Wahgi,3,2160.0
nucl1632,Sentani,3,74.0
nucl1633,Nimboran,2,61.0
nucl1643,Japanese,4,127.0
nucl1649,Southern-Coastal Tsimshian,9,278.0
nung1283,Nung (Viet Nam),6,703.0
nung1290,Wubuy,2,6.0
nuuc1236,Nuu-chah-nulth,11,614.0
nyah1250,Nyahkur,12,556.0
nyan1313,Nyang'i,4,1369.0
nyis1236,Nyishi-Hill Miri,6,996.0
ocai1244,Ocaina,4,114.0
ogbi1239,Ogbia,5,21.0
ormu1247,Ormuri,5,2281.0
paco1243,Pacoh,4,757.0
paez1247,Páez,3,3472.0
paiw1248,Paiwan,2,608.0
papa1238,Papantla Totonac,4,89.0
para1301,South Wa,10,1866.0
para1311,Paraguayan Guaraní,4,184.0
pech1241,Pech,6,411.0
peve1243,Peve,3,328.0
pira1253,Pirahã,1,75.0
plat1254,Plateau Malagasy,2,1653.0
pohn1238,Pohnpeian,4,537.0
popt1235,Popti',5,2060.0
pure1242,Purepecha,3,2340.0
pwon1235,Pwo Northern Karen,3,1113.0
qaqe1238,Qaqet,3,941.0
qaua1234,Central Gelao-Qau,6,1275.0
qawa1238,Qawasqar,2,80.0
quil1240,Quileute,8,16.0
quio1240,Quiotepec Chinantec,7,1441.0
resi1247,Resígaro,3,127.0
roma1327,Romanian,3,348.0
roto1249,Rotokas,2,283.0
ruka1240,Rukai,3,1689.0
russ1263,Russian,2,185.0
rutu1240,Rutul,22,1950.0
saba1265,Sa'ban,3,1002.0
sali1298,Sáliba,4,119.0
sand1273,Sandawe,4,1208.0
sang1328,Sango,6,503.0
sanm1287,San Mateo del Mar Huave,4,5.0
sanm1295,San Miguel El Grande Mixtec,4,2279.0
savo1255,Savosavo,2,365.0
seda1262,Sedang,9,1287.0
sele1250,Selepet,4,759.0
selk1253,Selkup,8,71.0
sene1264,Seneca,4,427.0
sgaw1245,S'gaw Karen,4,246.0
shas1239,Shasta,2,1111.0
shua1257,Shuar,5,1256.0
shus1248,Shuswap,16,660.0
sinh1246,Sinhala,5,51.0
sion1247,Siona-Tetete,5,236.0
siri1273,Sirionó,5,182.0
soma1255,Somali,6,211.0
soqo1240,Soqotri,5,929.0
sout2674,South Saami,2,141.0
sout2949,Southern Kiwai,4,37.0
sout2982,Southeastern Pomo,6,439.0
sout2985,Southern Sierra Miwok,3,780.0
sout2991,South Bolivian Quechua,6,4156.0
sout2994,Southern Nambikuára,7,687.0
stan1288,Spanish,3,1202.0
stan1290,French,8,124.0
stan1295,German,5,368.0
suen1241,Suena,3,68.0
suii1243,Sui,7,276.0
taca1256,Tacana,2,207.0
tach1250,Tachelhit,4,904.0
taga1270,Tagalog,3,93.0
taha1241,Tahaggart Tamahaq,8,760.0
talo1250,Tasomi-Tata,4,486.0
tama1331,Tama (Chad),6,1045.0
tamn1235,Tamnim Citak,3,19.0
tamp1252,Tampulma,5,129.0
