,language,trill,elevation
46,Burarra,0,36
47,Qaqet,0,941
48,Bribri,0,706
49,Caddo,0,377
50,Nivaclé,0,209
51,Galibi Carib,0,6
52,Cha'palaa,0,122
53,Nyahkur,0,556
54,Kakua,0,155
55,Min Dong Chinese,0,6
56,Chamorro,0,69
57,Quiotepec Chinantec,0,1441
58,Cherokee,0,1159
59,Western Cham,0,35
60,Upper Chehalis,0,35
61,Chuave,0,2050
62,Chukchi,0,0
63,Mandarin Chinese,0,88
64,Haka Chin,0,896
65,Asháninka,0,497
66,Cofán,0,342
67,Chuanqiandian Cluster Miao,0,1077
68,Island Carib,0,758
69,Tedim Chin,0,1359
70,Western Highland Chatino,0,1344
71,Cubeo,0,192
72,Cayubaba,0,141
73,Dan,0,324
74,Dagbani,0,181
75,Dahalo,0,20
76,Lower Grand Valley Dani,0,2969
77,Northern Dong,0,512
78,Doyayo,0,309
79,Dagur,0,167
80,Toro So Dogon,0,279
81,Jola-Fonyi,0,31
82,Efik,0,25
83,Ekari,0,1658
84,Modern Greek,0,190
85,Central Siberian Yupik,0,0
86,Ejagham,0,220
87,Ewe,0,114
88,Ewondo,0,593
89,Eyak,0,0
90,Fasu,0,217
91,Fe'fe',0,1444
92,Fulniô,0,391
93,Fwâi,0,126
94,Gadsup,0,1311
95,Gbaya-Bossangoa,0,476
96,Gbagyi,0,261
97,Central Gelao-Qau,0,1275
98,Irish,0,88
99,Dawro,0,1936
100,Guambiano,0,1725
101,Aché,0,158
102,Kuku-Yalanji,0,236
103,Hakka Chinese,0,365
104,Hawaiian,0,2020
105,Northern Haida,0,80
106,Hixkaryána,0,341
107,Hopi,0,1713
108,Hadza,0,1277
109,Hupa,0,123
110,Huastec,0,69
111,Iaai,0,21
112,Igbo,0,8
113,Ignaciano,0,159
114,Izon,0,5
115,Irarutu,0,65
116,Iraqw,0,1767
117,Irántxe-Münkü,0,403
118,Itonama,0,169
119,Iu Mien,0,1299
120,Iwam,0,26
121,Popti',0,2060
122,Jebero,0,242
123,Tol,0,773
124,Shuar,0,1256
125,Japanese,0,127
126,Jaqaru,0,2766
127,Japrería,0,859
128,Southern Jinghpaw,0,147
129,Kalaallisut,0,0
130,Camsá,0,2387
131,Grass Koiari,0,767
132,Kafa,0,1743
133,Dera (Indonesia),0,332
134,Kekchí,0,28
135,Ket,0,176
136,Koya,0,111
137,Kaingang,0,662
138,Lü,0,1101
139,Central Khmer,0,26
140,Kharia,0,376
141,Kiowa,0,450
142,Southern Kiwai,0,37
