,language,high,elevation
kala1399,Kalaallisut,7,0.0
kalk1246,Kalkutung,9,435.0
kama1365,Kamang,8,839.0
karo1304,Karok,8,676.0
kash1277,Kashmiri,20,1623.0
katc1249,Katcha-Kadugli-Miri,10,473.0
kawa1283,Kawaiisu,10,1560.0
kekc1242,Kekchí,7,28.0
kera1255,Kera,8,328.0
kett1243,Ket,12,176.0
khan1273,Kazym-Berezover-Suryskarer Khanty,12,54.0
khar1287,Kharia,10,376.0
khas1269,Khasi,8,38.0
khmu1256,Khmu,15,953.0
kiow1266,Kiowa,11,450.0
kirg1245,Kirghiz,9,3699.0
klam1254,Klamath-Modoc,13,1299.0
klao1243,Klao,9,66.0
koho1244,Koho,14,871.0
kohu1244,Kohumono,15,23.0
komi1268,Komi-Zyrian,14,125.0
komo1258,Komo (Sudan),8,767.0
konk1267,Maharashtrian Konkani,10,723.0
kore1280,Korean,11,154.0
kory1246,Koryak,7,0.0
kota1263,Kota (India),6,1456.0
koya1251,Koya,5,111.0
koyr1242,Koyraboro Senni Songhai,8,261.0
kpan1246,Kpan,13,139.0
kuku1273,Kuku-Yalanji,8,236.0
kumi1248,Tipai,8,297.0
kuna1268,Kunama,10,1058.0
kuni1267,Kunimaipa,6,1857.0
kups1238,Kupsabiny,10,2719.0
kuru1302,Kurukh,10,284.0
kwai1243,Kwaio,9,564.0
kwak1269,Kwak'wala,14,112.0
kwom1262,Kwoma,10,31.0
lahu1253,Lahu,10,1476.0
lakk1238,Lakkia,22,767.0
lakk1252,Lak,17,2018.0
lako1247,Lakota,12,834.0
lave1249,Brao,8,581.0
lele1264,Lelemi,12,519.0
lena1238,Lenakel,6,219.0
libe1247,Liberia Kpelle,15,285.0
lish1246,Lishán Didán,11,1635.0
lith1251,Lithuanian,24,54.0
lowe1415,Lower Grand Valley Dani,8,2969.0
lugb1240,Lugbara,12,1225.0
luis1253,Luiseno,9,742.0
luok1236,Luo (Kenya and Tanzania),10,1467.0
lush1252,Northern Lushootseed,11,92.0
lusi1240,Lusi,6,92.0
luuu1242,Lü,9,1101.0
maba1277,Maba (Chad),9,509.0
manc1252,Manchu,7,187.0
mand1415,Mandarin Chinese,12,88.0
mapu1245,Mapudungun,9,1538.0
mara1404,Maranao,5,969.0
marg1265,Marghi Central,8,426.0
masa1300,Masai,11,1187.0
maun1240,Mawng,6,28.0
maxa1247,Maxakalí,6,294.0
