Glottocode,language,consonantal,elevation
komo1258,Komo (Sudan),20,767
konk1267,Maharashtrian Konkani,16,723
kore1280,Korean,18,154
kory1246,Koryak,15,0
kota1263,Kota (India),22,1456
koya1251,Koya,16,111
koyr1242,Koyraboro Senni Songhai,13,261
kpan1246,Kpan,22,139
kuku1273,Kuku-Yalanji,11,236
kumi1248,Tipai,22,297
kuna1268,Kunama,16,1058
kuni1267,Kunimaipa,14,1857
kups1238,Kupsabiny,12,2719
kuru1302,Kurukh,18,284
kwai1243,Kwaio,15,564
kwak1269,Kwak'wala,37,112
kwom1262,Kwoma,21,31
lahu1253,Lahu,23,1476
lakk1238,Lakkia,26,767
lakk1252,Lak,57,2018
lako1247,Lakota,25,834
lave1249,Brao,20,581
lele1264,Lelemi,19,519
lena1238,Lenakel,12,219
libe1247,Liberia Kpelle,21,285
lish1246,Lishán Didán,22,1635
lith1251,Lithuanian,35,54
lowe1415,Lower Grand Valley Dani,9,2969
lugb1240,Lugbara,21,1225
luis1253,Luiseno,18,742
luok1236,Luo (Kenya and Tanzania),20,1467
lush1252,Northern Lushootseed,30,92
lusi1240,Lusi,14,92
luuu1242,Lü,20,1101
maba1277,Maba (Chad),20,509
manc1252,Manchu,17,187
mand1415,Mandarin Chinese,22,88
mapu1245,Mapudungun,18,1538
mara1404,Maranao,12,969
marg1265,Marghi Central,28,426
masa1300,Masai,17,1187
maun1240,Mawng,15,28
maxa1247,Maxakalí,9,294
mbaa1245,Mba,22,456
mbab1239,Mbabaram,18,341
mbum1254,Mbum,27,830
mind1253,Min Dong Chinese,14,6
minn1241,Min Nan Chinese,18,35
mode1248,Modern Greek,20,190
mogh1245,Mogholi,22,942
morb1239,Mor (Bomberai Peninsula),11,27
moro1285,Moro,20,745
movi1243,Movima,15,146
muin1242,Muinane,22,177
mull1237,Mullukmulluk,11,40
mund1320,Mundari,29,50
murl1244,Murle,18,452
murr1258,Murriny Patha,19,0
naas1242,Naasioi,8,1855
nama1264,Nama (Namibia),31,1170
nana1257,Nanai,18,34
nara1262,Nara,14,788
natu1246,Natügu,28,0
nava1243,Navajo,28,2140
naxi1245,Naxi,38,3607
ndut1239,Ndut,24,35
nene1249,Tundra Nenets,26,0
newa1246,Kathmandu Valley Newari,23,288
nezp1238,Nez Perce,20,1041
ngan1291,Nganasan,19,0
ngar1284,Ngarinyin,16,511
ngas1240,Ngas,29,1130
ngiz1242,Ngizim,31,360
niel1243,Niellim,20,358
nina1238,Ninam,10,575
niva1238,Nivaclé,20,209
nobi1240,Nobiin,15,277
noon1243,Noone,16,1277
nort1550,Taos Northern Tiwa,23,2143
nort2641,Northern Kurdish,28,697
nort2690,Northern Uzbek,21,52
nort2697,North Azerbaijani,22,276
nort2735,Northern Dong,18,512
nort2745,Northern Yukaghir,18,0
nort2815,Northeastern Dinka,17,401
nort2819,Northern Bobo Madaré,18,467
nort2938,Northern Haida,41,80
nort2952,Northeast Maidu,14,1271
nort2957,Northern Puebla Nahuatl,14,1496
norw1259,Norwegian Bokmål,19,20
nucl1235,Eastern Armenian,27,1912
nucl1240,Mumuye,20,543
nucl1301,Turkish,23,1138
nucl1302,Georgian,27,1338
nucl1310,Burmese,29,711
nucl1339,Temein,16,842
nucl1347,Wolof,24,53
nucl1417,Igbo,39,8
nucl1454,Yawa,12,852
nucl1620,Wahgi,15,2160
nucl1632,Sentani,7,74
nucl1633,Nimboran,11,61
nucl1643,Japanese,12,127
nucl1649,Southern-Coastal Tsimshian,31,278
nung1283,Nung (Viet Nam),18,703
nung1290,Wubuy,17,6
nuuc1236,Nuu-chah-nulth,32,614
nyah1250,Nyahkur,22,556
nyan1313,Nyang'i,16,1369
nyis1236,Nyishi-Hill Miri,13,996
ocai1244,Ocaina,24,114
ogbi1239,Ogbia,22,21
ormu1247,Ormuri,22,2281
paco1243,Pacoh,15,757
paez1247,Páez,26,3472
paiw1248,Paiwan,21,608
papa1238,Papantla Totonac,13,89
para1301,South Wa,34,1866
para1311,Paraguayan Guaraní,24,184
pech1241,Pech,14,411
peve1243,Peve,26,328
pira1253,Pirahã,7,75
plat1254,Plateau Malagasy,17,1653
pohn1238,Pohnpeian,12,537
popt1235,Popti',24,2060
pure1242,Purepecha,29,2340
pwon1235,Pwo Northern Karen,24,1113
qaqe1238,Qaqet,13,941
qaua1234,Central Gelao-Qau,29,1275
qawa1238,Qawasqar,14,80
quil1240,Quileute,30,16
quio1240,Quiotepec Chinantec,24,1441
resi1247,Resígaro,27,127
roma1327,Romanian,19,348
roto1249,Rotokas,6,283
ruka1240,Rukai,20,1689
russ1263,Russian,32,185
rutu1240,Rutul,56,1950
saba1265,Sa'ban,16,1002
sali1298,Sáliba,21,119
sand1273,Sandawe,44,1208
sang1328,Sango,23,503
sanm1287,San Mateo del Mar Huave,20,5
sanm1295,San Miguel El Grande Mixtec,14,2279
savo1255,Savosavo,17,365
seda1262,Sedang,34,1287
sele1250,Selepet,12,759
selk1253,Selkup,16,71
sene1264,Seneca,8,427
sgaw1245,S'gaw Karen,24,246
shas1239,Shasta,14,1111
shua1257,Shuar,13,1256
shus1248,Shuswap,27,660
sinh1246,Sinhala,19,51
sion1247,Siona-Tetete,14,236
siri1273,Sirionó,13,182
soma1255,Somali,19,211
soqo1240,Soqotri,25,929
sout2674,South Saami,34,141
sout2949,Southern Kiwai,11,37
sout2982,Southeastern Pomo,24,439
sout2985,Southern Sierra Miwok,12,780
sout2991,South Bolivian Quechua,28,4156
sout2994,Southern Nambikuára,21,687
stan1288,Spanish,18,1202
stan1290,French,18,124
stan1295,German,20,368
suen1241,Suena,11,68
suii1243,Sui,42,276
taca1256,Tacana,16,207
tach1250,Tachelhit,25,904
taga1270,Tagalog,15,93
taha1241,Tahaggart Tamahaq,22,760
talo1250,Tasomi-Tata,12,486
tama1331,Tama (Chad),18,1045
tamn1235,Tamnim Citak,10,19
tamp1252,Tampulma,21,129
taro1263,Tarok,23,210
tedi1235,Tedim Chin,19,1359
tehu1242,Tehuelche,25,299
teke1280,Teke-Kukuya,18,530
telu1262,Telugu,28,440
tera1251,Tera,40,363
tetu1245,Tetum,12,317
thai1261,Thai,18,3
ticu1245,Ticuna,17,150
tiga1245,Tigak,12,44
tigr1270,Tigre,23,2112
timn1235,Timne,14,48
tiru1241,Tiruray,13,435
tiwi1244,Tiwi,20,74
tlin1245,Tlingit,41,656
toar1246,Toaripi,7,7
toho1245,Tohono O'odham,16,640
toll1241,Tol,19,773
tonk1249,Tonkawa,12,86
toro1252,Toro So Dogon,13,279
tosk1239,Northern Tosk Albanian,26,88
toto1305,Totontepec Mixe,13,1423
trum1247,Trumai,15,284
tsou1248,Tsou,14,989
tulu1258,Tulu,22,86
tuni1252,Tunica,14,40
tuuu1240,Tu,22,2746
tuvi1240,Tuvinian,19,613
twee1234,Tweed-Albert,10,51
tzel1254,Tzeltal,20,2091
uppe1439,Upper Chehalis,27,35
usan1239,Usan,12,724
vani1248,Vanimo,11,197
viet1252,Vietnamese,19,8
waim1251,Waima,8,9
waim1255,Waimaha,8,167
wame1240,Wamey,35,79
wang1291,Ngiyambaa,13,153
want1252,Wantoat,14,1967
waor1240,Waorani,10,259
wapi1253,Wapishana,15,130
wapp1239,Wappo,27,59
wara1290,Warray,14,29
wara1303,Warao,8,26
wari1266,Waris,11,640
wayu1243,Wayuu,11,37
west2369,Western Farsi,21,2174
west2397,Western Bru,17,161
west2600,West Makian,16,392
west2632,Western Keres,34,1852
west2644,Western Highland Chatino,13,1344
west2650,Western Cham,18,35
wich1260,Wichita,18,390
wikm1247,Wik-Mungkan,11,32
wint1259,Wintu,26,157
wiyo1248,Wiyot,20,449
wuch1236,Wu Chinese,18,205
yaga1260,Yagaria,12,1810
yagu1244,Yagua,8,97
yaku1245,Sakha,20,875
yana1271,Yana,19,25
yane1238,Yanesha',21,2474
yany1243,Yanyuwa,27,57
yaqu1251,Yaqui,14,788
yare1248,Yareba,11,223
yess1239,Yessan-Mayo,13,21
yidi1250,Yidiñ,11,7
yoru1245,Yoruba,15,105
yuca1254,Yucatec Maya,17,86
yuch1247,Yuchi,33,247
yucu1253,Yucuna,13,164
yuec1235,Yue Chinese,17,-3
yulu1243,Yulu,32,680
zand1248,Zande,16,638
zulu1248,Zulu,28,537
zuni1245,Zuni,17,2210
