,language,syllabic,elevation
kala1399,Kalaallisut,3,0.0
kalk1246,Kalkutung,3,435.0
kama1365,Kamang,12,839.0
karo1304,Karok,11,676.0
kash1277,Kashmiri,28,1623.0
katc1249,Katcha-Kadugli-Miri,5,473.0
kawa1283,Kawaiisu,6,1560.0
kekc1242,Kekchí,5,28.0
kera1255,Kera,6,328.0
kett1243,Ket,7,176.0
khan1273,Kazym-Berezover-Suryskarer Khanty,13,54.0
khar1287,Kharia,5,376.0
khas1269,Khasi,8,38.0
khmu1256,Khmu,18,953.0
kiow1266,Kiowa,20,450.0
kirg1245,Kirghiz,8,3699.0
klam1254,Klamath-Modoc,4,1299.0
klao1243,Klao,16,66.0
koho1244,Koho,10,871.0
kohu1244,Kohumono,10,23.0
komi1268,Komi-Zyrian,7,125.0
komo1258,Komo (Sudan),8,767.0
konk1267,Maharashtrian Konkani,18,723.0
kore1280,Korean,11,154.0
kory1246,Koryak,5,0.0
kota1263,Kota (India),5,1456.0
koya1251,Koya,5,111.0
koyr1242,Koyraboro Senni Songhai,9,261.0
kpan1246,Kpan,10,139.0
kuku1273,Kuku-Yalanji,3,236.0
kumi1248,Tipai,9,297.0
kuna1268,Kunama,7,1058.0
kuni1267,Kunimaipa,5,1857.0
kups1238,Kupsabiny,12,2719.0
kuru1302,Kurukh,11,284.0
kwai1243,Kwaio,5,564.0
kwak1269,Kwak'wala,6,112.0
kwom1262,Kwoma,7,31.0
lahu1253,Lahu,9,1476.0
lakk1238,Lakkia,22,767.0
lakk1252,Lak,9,2018.0
lako1247,Lakota,8,834.0
lave1249,Brao,9,581.0
lele1264,Lelemi,12,519.0
lena1238,Lenakel,6,219.0
libe1247,Liberia Kpelle,12,285.0
lish1246,Lishán Didán,16,1635.0
lith1251,Lithuanian,16,54.0
lowe1415,Lower Grand Valley Dani,12,2969.0
lugb1240,Lugbara,10,1225.0
luis1253,Luiseno,5,742.0
luok1236,Luo (Kenya and Tanzania),9,1467.0
lush1252,Northern Lushootseed,4,92.0
lusi1240,Lusi,5,92.0
luuu1242,Lü,9,1101.0
maba1277,Maba (Chad),7,509.0
manc1252,Manchu,7,187.0
mand1415,Mandarin Chinese,7,88.0
mapu1245,Mapudungun,6,1538.0
mara1404,Maranao,4,969.0
marg1265,Marghi Central,4,426.0
masa1300,Masai,9,1187.0
maun1240,Mawng,5,28.0
maxa1247,Maxakalí,10,294.0
mbaa1245,Mba,7,456.0
mbab1239,Mbabaram,4,341.0
mbum1254,Mbum,8,830.0
mind1253,Min Dong Chinese,7,6.0
minn1241,Min Nan Chinese,6,35.0
mode1248,Modern Greek,5,190.0
mogh1245,Mogholi,5,942.0
morb1239,Mor (Bomberai Peninsula),5,27.0
moro1285,Moro,7,745.0
movi1243,Movima,5,146.0
muin1242,Muinane,6,177.0
mull1237,Mullukmulluk,5,40.0
mund1320,Mundari,5,50.0
murl1244,Murle,5,452.0
murr1258,Murriny Patha,4,0.0
naas1242,Naasioi,5,1855.0
nama1264,Nama (Namibia),9,1170.0
nana1257,Nanai,6,34.0
nara1262,Nara,5,788.0
natu1246,Natügu,17,0.0
nava1243,Navajo,16,2140.0
naxi1245,Naxi,11,3607.0
ndut1239,Ndut,7,35.0
nene1249,Tundra Nenets,8,0.0
newa1246,Kathmandu Valley Newari,8,288.0
nezp1238,Nez Perce,5,1041.0
ngan1291,Nganasan,9,0.0
ngar1284,Ngarinyin,6,511.0
ngas1240,Ngas,11,1130.0
ngiz1242,Ngizim,6,360.0
niel1243,Niellim,13,358.0
nina1238,Ninam,12,575.0
niva1238,Nivaclé,6,209.0
nobi1240,Nobiin,5,277.0
noon1243,Noone,14,1277.0
nort1550,Taos Northern Tiwa,12,2143.0
nort2641,Northern Kurdish,17,697.0
nort2690,Northern Uzbek,6,52.0
nort2697,North Azerbaijani,9,276.0
nort2735,Northern Dong,7,512.0
nort2745,Northern Yukaghir,6,0.0
nort2815,Northeastern Dinka,13,401.0
nort2819,Northern Bobo Madaré,12,467.0
nort2938,Northern Haida,3,80.0
nort2952,Northeast Maidu,6,1271.0
nort2957,Northern Puebla Nahuatl,4,1496.0
norw1259,Norwegian Bokmål,24,20.0
nucl1235,Eastern Armenian,6,1912.0
nucl1240,Mumuye,11,543.0
nucl1301,Turkish,8,1138.0
nucl1302,Georgian,6,1338.0
nucl1310,Burmese,13,711.0
nucl1339,Temein,7,842.0
nucl1347,Wolof,14,53.0
nucl1417,Igbo,16,8.0
nucl1454,Yawa,5,852.0
nucl1620,Wahgi,6,2160.0
nucl1632,Sentani,7,74.0
nucl1633,Nimboran,6,61.0
nucl1643,Japanese,5,127.0
nucl1649,Southern-Coastal Tsimshian,3,278.0
nung1283,Nung (Viet Nam),11,703.0
nung1290,Wubuy,4,6.0
nuuc1236,Nuu-chah-nulth,5,614.0
nyah1250,Nyahkur,24,556.0
nyan1313,Nyang'i,7,1369.0
nyis1236,Nyishi-Hill Miri,9,996.0
ocai1244,Ocaina,9,114.0
ogbi1239,Ogbia,10,21.0
ormu1247,Ormuri,6,2281.0
paco1243,Pacoh,15,757.0
paez1247,Páez,8,3472.0
paiw1248,Paiwan,4,608.0
papa1238,Papantla Totonac,6,89.0
para1301,South Wa,43,1866.0
para1311,Paraguayan Guaraní,12,184.0
pech1241,Pech,10,411.0
peve1243,Peve,8,328.0
pira1253,Pirahã,3,75.0
plat1254,Plateau Malagasy,4,1653.0
pohn1238,Pohnpeian,6,537.0
popt1235,Popti',5,2060.0
pure1242,Purepecha,6,2340.0
pwon1235,Pwo Northern Karen,12,1113.0
qaqe1238,Qaqet,8,941.0
qaua1234,Central Gelao-Qau,12,1275.0
qawa1238,Qawasqar,3,80.0
quil1240,Quileute,4,16.0
quio1240,Quiotepec Chinantec,15,1441.0
resi1247,Resígaro,5,127.0
roma1327,Romanian,10,348.0
roto1249,Rotokas,5,283.0
ruka1240,Rukai,4,1689.0
russ1263,Russian,5,185.0
rutu1240,Rutul,5,1950.0
saba1265,Sa'ban,7,1002.0
sali1298,Sáliba,10,119.0
sand1273,Sandawe,7,1208.0
sang1328,Sango,11,503.0
sanm1287,San Mateo del Mar Huave,6,5.0
sanm1295,San Miguel El Grande Mixtec,10,2279.0
savo1255,Savosavo,5,365.0
seda1262,Sedang,14,1287.0
sele1250,Selepet,6,759.0
selk1253,Selkup,16,71.0
sene1264,Seneca,8,427.0
sgaw1245,S'gaw Karen,9,246.0
shas1239,Shasta,4,1111.0
shua1257,Shuar,8,1256.0
shus1248,Shuswap,7,660.0
sinh1246,Sinhala,14,51.0
sion1247,Siona-Tetete,12,236.0
siri1273,Sirionó,12,182.0
soma1255,Somali,10,211.0
soqo1240,Soqotri,6,929.0
sout2674,South Saami,6,141.0
sout2949,Southern Kiwai,7,37.0
sout2982,Southeastern Pomo,5,439.0
sout2985,Southern Sierra Miwok,6,780.0
sout2991,South Bolivian Quechua,5,4156.0
sout2994,Southern Nambikuára,18,687.0
stan1288,Spanish,5,1202.0
stan1290,French,16,124.0
stan1295,German,19,368.0
suen1241,Suena,5,68.0
suii1243,Sui,7,276.0
taca1256,Tacana,4,207.0
tach1250,Tachelhit,3,904.0
taga1270,Tagalog,5,93.0
taha1241,Tahaggart Tamahaq,12,760.0
talo1250,Tasomi-Tata,7,486.0
tama1331,Tama (Chad),9,1045.0
tamn1235,Tamnim Citak,6,19.0
tamp1252,Tampulma,9,129.0
taro1263,Tarok,6,210.0
tedi1235,Tedim Chin,5,1359.0
tehu1242,Tehuelche,7,299.0
teke1280,Teke-Kukuya,7,530.0
telu1262,Telugu,11,440.0
tera1251,Tera,6,363.0
tetu1245,Tetum,5,317.0
thai1261,Thai,9,3.0
ticu1245,Ticuna,11,150.0
tiga1245,Tigak,5,44.0
tigr1270,Tigre,7,2112.0
timn1235,Timne,8,48.0
tiru1241,Tiruray,6,435.0
tiwi1244,Tiwi,4,74.0
tlin1245,Tlingit,5,656.0
toar1246,Toaripi,6,7.0
toho1245,Tohono O'odham,5,640.0
toll1241,Tol,6,773.0
tonk1249,Tonkawa,10,86.0
toro1252,Toro So Dogon,12,279.0
tosk1239,Northern Tosk Albanian,7,88.0
toto1305,Totontepec Mixe,9,1423.0
trum1247,Trumai,6,284.0
tsou1248,Tsou,6,989.0
tulu1258,Tulu,13,86.0
tuni1252,Tunica,7,40.0
tuuu1240,Tu,5,2746.0
tuvi1240,Tuvinian,9,613.0
twee1234,Tweed-Albert,4,51.0
tzel1254,Tzeltal,6,2091.0
uppe1439,Upper Chehalis,4,35.0
usan1239,Usan,6,724.0
vani1248,Vanimo,16,197.0
viet1252,Vietnamese,14,8.0
waim1251,Waima,5,9.0
waim1255,Waimaha,12,167.0
wame1240,Wamey,7,79.0
wang1291,Ngiyambaa,3,153.0
want1252,Wantoat,7,1967.0
waor1240,Waorani,10,259.0
wapi1253,Wapishana,8,130.0
wapp1239,Wappo,5,59.0
wara1290,Warray,5,29.0
wara1303,Warao,10,26.0
wari1266,Waris,9,640.0
wayu1243,Wayuu,12,37.0
west2369,Western Farsi,6,2174.0
west2397,Western Bru,22,161.0
west2600,West Makian,6,392.0
west2632,Western Keres,12,1852.0
west2644,Western Highland Chatino,9,1344.0
west2650,Western Cham,11,35.0
wich1260,Wichita,8,390.0
wikm1247,Wik-Mungkan,5,32.0
wint1259,Wintu,5,157.0
wiyo1248,Wiyot,5,449.0
wuch1236,Wu Chinese,9,205.0
yaga1260,Yagaria,9,1810.0
yagu1244,Yagua,12,97.0
yaku1245,Sakha,12,875.0
yana1271,Yana,8,25.0
yane1238,Yanesha',3,2474.0
yany1243,Yanyuwa,3,57.0
yaqu1251,Yaqui,5,788.0
yare1248,Yareba,5,223.0
yess1239,Yessan-Mayo,4,21.0
yidi1250,Yidiñ,3,7.0
yoru1245,Yoruba,11,105.0
yuca1254,Yucatec Maya,10,86.0
yuch1247,Yuchi,8,247.0
yucu1253,Yucuna,5,164.0
yuec1235,Yue Chinese,5,-3.0
yulu1243,Yulu,7,680.0
zand1248,Zande,16,638.0
zulu1248,Zulu,5,537.0
zuni1245,Zuni,5,2210.0
