,language,periodicGlottalSource,elevation
kuni1267,Kunimaipa,16,1857.0
kups1238,Kupsabiny,21,2719.0
kuru1302,Kurukh,23,284.0
kwai1243,Kwaio,15,564.0
kwak1269,Kwak'wala,24,112.0
kwom1262,Kwoma,21,31.0
lahu1253,Lahu,21,1476.0
lakk1238,Lakkia,33,767.0
lakk1252,Lak,22,2018.0
lako1247,Lakota,17,834.0
lave1249,Brao,21,581.0
lele1264,Lelemi,26,519.0
lena1238,Lenakel,14,219.0
libe1247,Liberia Kpelle,27,285.0
lish1246,Lishán Didán,29,1635.0
lith1251,Lithuanian,38,54.0
lowe1415,Lower Grand Valley Dani,17,2969.0
lugb1240,Lugbara,27,1225.0
luis1253,Luiseno,13,742.0
luok1236,Luo (Kenya and Tanzania),22,1467.0
lush1252,Northern Lushootseed,12,92.0
lusi1240,Lusi,15,92.0
luuu1242,Lü,17,1101.0
maba1277,Maba (Chad),22,509.0
manc1252,Manchu,17,187.0
mand1415,Mandarin Chinese,15,88.0
mapu1245,Mapudungun,17,1538.0
mara1404,Maranao,12,969.0
marg1265,Marghi Central,23,426.0
masa1300,Masai,21,1187.0
maun1240,Mawng,17,28.0
maxa1247,Maxakalí,14,294.0
mbaa1245,Mba,25,456.0
mbab1239,Mbabaram,24,341.0
mbum1254,Mbum,31,830.0
mind1253,Min Dong Chinese,11,6.0
minn1241,Min Nan Chinese,14,35.0
mode1248,Modern Greek,18,190.0
mogh1245,Mogholi,18,942.0
morb1239,Mor (Bomberai Peninsula),14,27.0
moro1285,Moro,22,745.0
movi1243,Movima,14,146.0
muin1242,Muinane,18,177.0
mull1237,Mullukmulluk,15,40.0
mund1320,Mundari,24,50.0
murl1244,Murle,19,452.0
murr1258,Murriny Patha,20,0.0
naas1242,Naasioi,9,1855.0
nama1264,Nama (Namibia),12,1170.0
nana1257,Nanai,18,34.0
nara1262,Nara,16,788.0
natu1246,Natügu,34,0.0
nava1243,Navajo,25,2140.0
naxi1245,Naxi,32,3607.0
ndut1239,Ndut,26,35.0
nene1249,Tundra Nenets,24,0.0
newa1246,Kathmandu Valley Newari,23,288.0
nezp1238,Nez Perce,15,1041.0
ngan1291,Nganasan,22,0.0
ngar1284,Ngarinyin,19,511.0
ngas1240,Ngas,33,1130.0
ngiz1242,Ngizim,30,360.0
niel1243,Niellim,29,358.0
nina1238,Ninam,17,575.0
niva1238,Nivaclé,11,209.0
nobi1240,Nobiin,14,277.0
noon1243,Noone,26,1277.0
nort1550,Taos Northern Tiwa,21,2143.0
nort2641,Northern Kurdish,35,697.0
nort2690,Northern Uzbek,19,52.0
nort2697,North Azerbaijani,23,276.0
nort2735,Northern Dong,17,512.0
nort2745,Northern Yukaghir,20,0.0
nort2815,Northeastern Dinka,27,401.0
nort2819,Northern Bobo Madaré,26,467.0
