,language,consonantal,elevation
kala1399,Kalaallisut,19,0.0
kalk1246,Kalkutung,18,435.0
kama1365,Kamang,13,839.0
karo1304,Karok,13,676.0
kash1277,Kashmiri,24,1623.0
katc1249,Katcha-Kadugli-Miri,20,473.0
kawa1283,Kawaiisu,21,1560.0
kekc1242,Kekchí,19,28.0
kera1255,Kera,21,328.0
kett1243,Ket,17,176.0
khan1273,Kazym-Berezover-Suryskarer Khanty,17,54.0
khar1287,Kharia,28,376.0
khas1269,Khasi,18,38.0
khmu1256,Khmu,18,953.0
kiow1266,Kiowa,20,450.0
kirg1245,Kirghiz,21,3699.0
klam1254,Klamath-Modoc,26,1299.0
klao1243,Klao,10,66.0
koho1244,Koho,24,871.0
kohu1244,Kohumono,25,23.0
komi1268,Komi-Zyrian,25,125.0
komo1258,Komo (Sudan),20,767.0
konk1267,Maharashtrian Konkani,16,723.0
kore1280,Korean,18,154.0
kory1246,Koryak,15,0.0
kota1263,Kota (India),22,1456.0
koya1251,Koya,16,111.0
koyr1242,Koyraboro Senni Songhai,13,261.0
kpan1246,Kpan,22,139.0
kuku1273,Kuku-Yalanji,11,236.0
kumi1248,Tipai,22,297.0
kuna1268,Kunama,16,1058.0
kuni1267,Kunimaipa,14,1857.0
kups1238,Kupsabiny,12,2719.0
kuru1302,Kurukh,18,284.0
kwai1243,Kwaio,15,564.0
kwak1269,Kwak'wala,37,112.0
kwom1262,Kwoma,21,31.0
lahu1253,Lahu,23,1476.0
lakk1238,Lakkia,26,767.0
lakk1252,Lak,57,2018.0
lako1247,Lakota,25,834.0
lave1249,Brao,20,581.0
lele1264,Lelemi,19,519.0
lena1238,Lenakel,12,219.0
libe1247,Liberia Kpelle,21,285.0
lish1246,Lishán Didán,22,1635.0
lith1251,Lithuanian,35,54.0
lowe1415,Lower Grand Valley Dani,9,2969.0
lugb1240,Lugbara,21,1225.0
luis1253,Luiseno,18,742.0
luok1236,Luo (Kenya and Tanzania),20,1467.0
lush1252,Northern Lushootseed,30,92.0
lusi1240,Lusi,14,92.0
luuu1242,Lü,20,1101.0
maba1277,Maba (Chad),20,509.0
manc1252,Manchu,17,187.0
mand1415,Mandarin Chinese,22,88.0
mapu1245,Mapudungun,18,1538.0
mara1404,Maranao,12,969.0
marg1265,Marghi Central,28,426.0
masa1300,Masai,17,1187.0
maun1240,Mawng,15,28.0
maxa1247,Maxakalí,9,294.0
mbaa1245,Mba,22,456.0
mbab1239,Mbabaram,18,341.0
mbum1254,Mbum,27,830.0
mind1253,Min Dong Chinese,14,6.0
minn1241,Min Nan Chinese,18,35.0
mode1248,Modern Greek,20,190.0
mogh1245,Mogholi,22,942.0
morb1239,Mor (Bomberai Peninsula),11,27.0
moro1285,Moro,20,745.0
movi1243,Movima,15,146.0
muin1242,Muinane,22,177.0
mull1237,Mullukmulluk,11,40.0
mund1320,Mundari,29,50.0
murl1244,Murle,18,452.0
murr1258,Murriny Patha,19,0.0
naas1242,Naasioi,8,1855.0
nama1264,Nama (Namibia),31,1170.0
nana1257,Nanai,18,34.0
nara1262,Nara,14,788.0
natu1246,Natügu,28,0.0
nava1243,Navajo,28,2140.0
naxi1245,Naxi,38,3607.0
ndut1239,Ndut,24,35.0
nene1249,Tundra Nenets,26,0.0
newa1246,Kathmandu Valley Newari,23,288.0
nezp1238,Nez Perce,20,1041.0
ngan1291,Nganasan,19,0.0
ngar1284,Ngarinyin,16,511.0
ngas1240,Ngas,29,1130.0
ngiz1242,Ngizim,31,360.0
niel1243,Niellim,20,358.0
nina1238,Ninam,10,575.0
niva1238,Nivaclé,20,209.0
nobi1240,Nobiin,15,277.0
noon1243,Noone,16,1277.0
nort1550,Taos Northern Tiwa,23,2143.0
nort2641,Northern Kurdish,28,697.0
nort2690,Northern Uzbek,21,52.0
nort2697,North Azerbaijani,22,276.0
nort2735,Northern Dong,18,512.0
nort2745,Northern Yukaghir,18,0.0
nort2815,Northeastern Dinka,17,401.0
nort2819,Northern Bobo Madaré,18,467.0
nort2938,Northern Haida,41,80.0
nort2952,Northeast Maidu,14,1271.0
nort2957,Northern Puebla Nahuatl,14,1496.0
norw1259,Norwegian Bokmål,19,20.0
nucl1235,Eastern Armenian,27,1912.0
nucl1240,Mumuye,20,543.0
nucl1301,Turkish,23,1138.0
nucl1302,Georgian,27,1338.0
nucl1310,Burmese,29,711.0
nucl1339,Temein,16,842.0
nucl1347,Wolof,24,53.0
nucl1417,Igbo,39,8.0
nucl1454,Yawa,12,852.0
nucl1620,Wahgi,15,2160.0
nucl1632,Sentani,7,74.0
nucl1633,Nimboran,11,61.0
nucl1643,Japanese,12,127.0
nucl1649,Southern-Coastal Tsimshian,31,278.0
nung1283,Nung (Viet Nam),18,703.0
nung1290,Wubuy,17,6.0
nuuc1236,Nuu-chah-nulth,32,614.0
nyah1250,Nyahkur,22,556.0
nyan1313,Nyang'i,16,1369.0
nyis1236,Nyishi-Hill Miri,13,996.0
ocai1244,Ocaina,24,114.0
ogbi1239,Ogbia,22,21.0
ormu1247,Ormuri,22,2281.0
paco1243,Pacoh,15,757.0
paez1247,Páez,26,3472.0
paiw1248,Paiwan,21,608.0
papa1238,Papantla Totonac,13,89.0
para1301,South Wa,34,1866.0
para1311,Paraguayan Guaraní,24,184.0
pech1241,Pech,14,411.0
peve1243,Peve,26,328.0
pira1253,Pirahã,7,75.0
plat1254,Plateau Malagasy,17,1653.0
pohn1238,Pohnpeian,12,537.0
popt1235,Popti',24,2060.0
pure1242,Purepecha,29,2340.0
pwon1235,Pwo Northern Karen,24,1113.0
qaqe1238,Qaqet,13,941.0
qaua1234,Central Gelao-Qau,29,1275.0
qawa1238,Qawasqar,14,80.0
quil1240,Quileute,30,16.0
quio1240,Quiotepec Chinantec,24,1441.0
resi1247,Resígaro,27,127.0
roma1327,Romanian,19,348.0
roto1249,Rotokas,6,283.0
ruka1240,Rukai,20,1689.0
russ1263,Russian,32,185.0
rutu1240,Rutul,56,1950.0
saba1265,Sa'ban,16,1002.0
sali1298,Sáliba,21,119.0
sand1273,Sandawe,44,1208.0
sang1328,Sango,23,503.0
sanm1287,San Mateo del Mar Huave,20,5.0
sanm1295,San Miguel El Grande Mixtec,14,2279.0
savo1255,Savosavo,17,365.0
seda1262,Sedang,34,1287.0
sele1250,Selepet,12,759.0
selk1253,Selkup,16,71.0
sene1264,Seneca,8,427.0
sgaw1245,S'gaw Karen,24,246.0
shas1239,Shasta,14,1111.0
shua1257,Shuar,13,1256.0
shus1248,Shuswap,27,660.0
