Glottocode,language,labial,elevation
komo1258,Komo (Sudan),9,767
konk1267,Maharashtrian Konkani,10,723
kore1280,Korean,9,154
kory1246,Koryak,6,0
kota1263,Kota (India),6,1456
koya1251,Koya,6,111
koyr1242,Koyraboro Senni Songhai,8,261
kpan1246,Kpan,12,139
kuku1273,Kuku-Yalanji,4,236
kumi1248,Tipai,10,297
kuna1268,Kunama,7,1058
kuni1267,Kunimaipa,6,1857
kups1238,Kupsabiny,10,2719
kuru1302,Kurukh,8,284
kwai1243,Kwaio,8,564
kwak1269,Kwak'wala,17,112
kwom1262,Kwoma,11,31
lahu1253,Lahu,10,1476
lakk1238,Lakkia,21,767
lakk1252,Lak,28,2018
lako1247,Lakota,9,834
lave1249,Brao,8,581
lele1264,Lelemi,13,519
lena1238,Lenakel,8,219
libe1247,Liberia Kpelle,15,285
lish1246,Lishán Didán,11,1635
lith1251,Lithuanian,12,54
lowe1415,Lower Grand Valley Dani,8,2969
lugb1240,Lugbara,14,1225
luis1253,Luiseno,9,742
luok1236,Luo (Kenya and Tanzania),9,1467
lush1252,Northern Lushootseed,12,92
lusi1240,Lusi,7,92
luuu1242,Lü,11,1101
maba1277,Maba (Chad),7,509
manc1252,Manchu,8,187
mand1415,Mandarin Chinese,8,88
mapu1245,Mapudungun,6,1538
mara1404,Maranao,4,969
marg1265,Marghi Central,8,426
masa1300,Masai,8,1187
maun1240,Mawng,4,28
maxa1247,Maxakalí,4,294
mbaa1245,Mba,13,456
mbab1239,Mbabaram,7,341
mbum1254,Mbum,16,830
mind1253,Min Dong Chinese,7,6
minn1241,Min Nan Chinese,7,35
mode1248,Modern Greek,7,190
mogh1245,Mogholi,7,942
morb1239,Mor (Bomberai Peninsula),6,27
moro1285,Moro,7,745
movi1243,Movima,8,146
muin1242,Muinane,7,177
mull1237,Mullukmulluk,5,40
mund1320,Mundari,8,50
murl1244,Murle,7,452
murr1258,Murriny Patha,5,0
naas1242,Naasioi,5,1855
nama1264,Nama (Namibia),5,1170
nana1257,Nanai,6,34
nara1262,Nara,6,788
natu1246,Natügu,19,0
nava1243,Navajo,8,2140
naxi1245,Naxi,10,3607
ndut1239,Ndut,9,35
nene1249,Tundra Nenets,10,0
newa1246,Kathmandu Valley Newari,8,288
nezp1238,Nez Perce,7,1041
ngan1291,Nganasan,6,0
ngar1284,Ngarinyin,5,511
ngas1240,Ngas,13,1130
ngiz1242,Ngizim,12,360
niel1243,Niellim,10,358
nina1238,Ninam,5,575
niva1238,Nivaclé,7,209
nobi1240,Nobiin,5,277
noon1243,Noone,10,1277
nort1550,Taos Northern Tiwa,13,2143
nort2641,Northern Kurdish,9,697
nort2690,Northern Uzbek,9,52
nort2697,North Azerbaijani,9,276
nort2735,Northern Dong,10,512
nort2745,Northern Yukaghir,7,0
nort2815,Northeastern Dinka,9,401
nort2819,Northern Bobo Madaré,13,467
nort2938,Northern Haida,15,80
nort2952,Northeast Maidu,7,1271
nort2957,Northern Puebla Nahuatl,6,1496
norw1259,Norwegian Bokmål,17,20
nucl1235,Eastern Armenian,8,1912
nucl1240,Mumuye,15,543
nucl1301,Turkish,9,1138
nucl1302,Georgian,7,1338
nucl1310,Burmese,12,711
nucl1339,Temein,7,842
nucl1347,Wolof,13,53
nucl1417,Igbo,27,8
nucl1454,Yawa,6,852
nucl1620,Wahgi,6,2160
nucl1632,Sentani,6,74
nucl1633,Nimboran,3,61
nucl1643,Japanese,5,127
nucl1649,Southern-Coastal Tsimshian,11,278
nung1283,Nung (Viet Nam),9,703
nung1290,Wubuy,4,6
nuuc1236,Nuu-chah-nulth,14,614
nyah1250,Nyahkur,13,556
nyan1313,Nyang'i,7,1369
nyis1236,Nyishi-Hill Miri,6,996
ocai1244,Ocaina,8,114
ogbi1239,Ogbia,16,21
ormu1247,Ormuri,8,2281
paco1243,Pacoh,8,757
paez1247,Páez,8,3472
paiw1248,Paiwan,5,608
papa1238,Papantla Totonac,5,89
para1301,South Wa,15,1866
para1311,Paraguayan Guaraní,12,184
pech1241,Pech,10,411
peve1243,Peve,10,328
pira1253,Pirahã,3,75
plat1254,Plateau Malagasy,7,1653
pohn1238,Pohnpeian,8,537
popt1235,Popti',7,2060
pure1242,Purepecha,11,2340
pwon1235,Pwo Northern Karen,9,1113
qaqe1238,Qaqet,6,941
qaua1234,Central Gelao-Qau,10,1275
qawa1238,Qawasqar,5,80
quil1240,Quileute,11,16
quio1240,Quiotepec Chinantec,13,1441
resi1247,Resígaro,8,127
roma1327,Romanian,8,348
roto1249,Rotokas,4,283
ruka1240,Rukai,6,1689
russ1263,Russian,12,185
rutu1240,Rutul,25,1950
saba1265,Sa'ban,6,1002
sali1298,Sáliba,11,119
sand1273,Sandawe,10,1208
sang1328,Sango,17,503
sanm1287,San Mateo del Mar Huave,9,5
sanm1295,San Miguel El Grande Mixtec,7,2279
savo1255,Savosavo,6,365
seda1262,Sedang,16,1287
sele1250,Selepet,6,759
selk1253,Selkup,10,71
sene1264,Seneca,6,427
sgaw1245,S'gaw Karen,8,246
shas1239,Shasta,5,1111
shua1257,Shuar,5,1256
shus1248,Shuswap,16,660
sinh1246,Sinhala,9,51
sion1247,Siona-Tetete,11,236
siri1273,Sirionó,8,182
soma1255,Somali,8,211
soqo1240,Soqotri,6,929
sout2674,South Saami,12,141
sout2949,Southern Kiwai,7,37
sout2982,Southeastern Pomo,8,439
sout2985,Southern Sierra Miwok,5,780
