Glottocode,language,continuant,elevation
komo1258,Komo (Sudan),16,767
konk1267,Maharashtrian Konkani,26,723
kore1280,Korean,17,154
kory1246,Koryak,12,0
kota1263,Kota (India),12,1456
koya1251,Koya,11,111
koyr1242,Koyraboro Senni Songhai,16,261
kpan1246,Kpan,21,139
kuku1273,Kuku-Yalanji,8,236
kumi1248,Tipai,22,297
kuna1268,Kunama,15,1058
kuni1267,Kunimaipa,10,1857
kups1238,Kupsabiny,18,2719
kuru1302,Kurukh,19,284
kwai1243,Kwaio,11,564
kwak1269,Kwak'wala,19,112
kwom1262,Kwoma,16,31
lahu1253,Lahu,17,1476
lakk1238,Lakkia,33,767
lakk1252,Lak,31,2018
lako1247,Lakota,21,834
lave1249,Brao,16,581
lele1264,Lelemi,19,519
lena1238,Lenakel,13,219
libe1247,Liberia Kpelle,20,285
lish1246,Lishán Didán,28,1635
lith1251,Lithuanian,31,54
lowe1415,Lower Grand Valley Dani,17,2969
lugb1240,Lugbara,21,1225
luis1253,Luiseno,15,742
luok1236,Luo (Kenya and Tanzania),17,1467
lush1252,Northern Lushootseed,13,92
lusi1240,Lusi,12,92
luuu1242,Lü,15,1101
maba1277,Maba (Chad),16,509
manc1252,Manchu,14,187
mand1415,Mandarin Chinese,17,88
mapu1245,Mapudungun,15,1538
mara1404,Maranao,7,969
marg1265,Marghi Central,18,426
masa1300,Masai,16,1187
maun1240,Mawng,12,28
maxa1247,Maxakalí,11,294
mbaa1245,Mba,12,456
mbab1239,Mbabaram,9,341
mbum1254,Mbum,17,830
mind1253,Min Dong Chinese,10,6
minn1241,Min Nan Chinese,8,35
mode1248,Modern Greek,16,190
mogh1245,Mogholi,16,942
morb1239,Mor (Bomberai Peninsula),11,27
moro1285,Moro,15,745
movi1243,Movima,13,146
muin1242,Muinane,14,177
mull1237,Mullukmulluk,11,40
mund1320,Mundari,12,50
murl1244,Murle,12,452
murr1258,Murriny Patha,10,0
naas1242,Naasioi,6,1855
nama1264,Nama (Namibia),13,1170
nana1257,Nanai,12,34
nara1262,Nara,13,788
natu1246,Natügu,22,0
nava1243,Navajo,27,2140
naxi1245,Naxi,22,3607
ndut1239,Ndut,15,35
nene1249,Tundra Nenets,19,0
newa1246,Kathmandu Valley Newari,12,288
nezp1238,Nez Perce,15,1041
ngan1291,Nganasan,15,0
ngar1284,Ngarinyin,14,511
ngas1240,Ngas,23,1130
ngiz1242,Ngizim,20,360
niel1243,Niellim,19,358
nina1238,Ninam,18,575
niva1238,Nivaclé,14,209
nobi1240,Nobiin,11,277
noon1243,Noone,21,1277
nort1550,Taos Northern Tiwa,21,2143
nort2641,Northern Kurdish,34,697
nort2690,Northern Uzbek,18,52
nort2697,North Azerbaijani,21,276
nort2735,Northern Dong,14,512
nort2745,Northern Yukaghir,13,0
nort2815,Northeastern Dinka,17,401
nort2819,Northern Bobo Madaré,21,467
nort2938,Northern Haida,16,80
nort2952,Northeast Maidu,11,1271
nort2957,Northern Puebla Nahuatl,10,1496
norw1259,Norwegian Bokmål,34,20
nucl1235,Eastern Armenian,19,1912
nucl1240,Mumuye,22,543
nucl1301,Turkish,20,1138
nucl1302,Georgian,16,1338
nucl1310,Burmese,25,711
nucl1339,Temein,12,842
nucl1347,Wolof,22,53
nucl1417,Igbo,28,8
nucl1454,Yawa,10,852
nucl1620,Wahgi,11,2160
nucl1632,Sentani,11,74
nucl1633,Nimboran,9,61
nucl1643,Japanese,11,127
nucl1649,Southern-Coastal Tsimshian,15,278
nung1283,Nung (Viet Nam),18,703
nung1290,Wubuy,11,6
nuuc1236,Nuu-chah-nulth,18,614
nyah1250,Nyahkur,33,556
nyan1313,Nyang'i,13,1369
nyis1236,Nyishi-Hill Miri,15,996
ocai1244,Ocaina,17,114
ogbi1239,Ogbia,20,21
ormu1247,Ormuri,19,2281
paco1243,Pacoh,21,757
paez1247,Páez,21,3472
paiw1248,Paiwan,11,608
papa1238,Papantla Totonac,13,89
para1301,South Wa,53,1866
para1311,Paraguayan Guaraní,25,184
pech1241,Pech,19,411
peve1243,Peve,20,328
pira1253,Pirahã,5,75
plat1254,Plateau Malagasy,13,1653
pohn1238,Pohnpeian,11,537
popt1235,Popti',15,2060
pure1242,Purepecha,19,2340
pwon1235,Pwo Northern Karen,22,1113
qaqe1238,Qaqet,13,941
qaua1234,Central Gelao-Qau,22,1275
qawa1238,Qawasqar,10,80
quil1240,Quileute,15,16
quio1240,Quiotepec Chinantec,25,1441
resi1247,Resígaro,11,127
roma1327,Romanian,21,348
roto1249,Rotokas,7,283
ruka1240,Rukai,14,1689
russ1263,Russian,21,185
rutu1240,Rutul,26,1950
saba1265,Sa'ban,13,1002
sali1298,Sáliba,18,119
sand1273,Sandawe,16,1208
sang1328,Sango,20,503
sanm1287,San Mateo del Mar Huave,16,5
sanm1295,San Miguel El Grande Mixtec,18,2279
savo1255,Savosavo,11,365
seda1262,Sedang,29,1287
sele1250,Selepet,12,759
selk1253,Selkup,24,71
sene1264,Seneca,12,427
sgaw1245,S'gaw Karen,21,246
shas1239,Shasta,10,1111
shua1257,Shuar,14,1256
shus1248,Shuswap,25,660
sinh1246,Sinhala,22,51
sion1247,Siona-Tetete,18,236
siri1273,Sirionó,18,182
soma1255,Somali,21,211
soqo1240,Soqotri,24,929
sout2674,South Saami,20,141
sout2949,Southern Kiwai,10,37
sout2982,Southeastern Pomo,15,439
sout2985,Southern Sierra Miwok,12,780
sout2991,South Bolivian Quechua,18,4156
sout2994,Southern Nambikuára,26,687
stan1288,Spanish,18,1202
stan1290,French,27,124
stan1295,German,30,368
suen1241,Suena,9,68
suii1243,Sui,21,276
taca1256,Tacana,12,207
tach1250,Tachelhit,21,904
taga1270,Tagalog,12,93
taha1241,Tahaggart Tamahaq,25,760
talo1250,Tasomi-Tata,12,486
tama1331,Tama (Chad),18,1045
tamn1235,Tamnim Citak,11,19
tamp1252,Tampulma,18,129
taro1263,Tarok,17,210
tedi1235,Tedim Chin,13,1359
tehu1242,Tehuelche,17,299
teke1280,Teke-Kukuya,13,530
telu1262,Telugu,22,440
tera1251,Tera,23,363
tetu1245,Tetum,11,317
thai1261,Thai,16,3
ticu1245,Ticuna,15,150
tiga1245,Tigak,9,44
tigr1270,Tigre,19,2112
timn1235,Timne,15,48
tiru1241,Tiruray,13,435
tiwi1244,Tiwi,11,74
tlin1245,Tlingit,19,656
toar1246,Toaripi,10,7
toho1245,Tohono O'odham,11,640
toll1241,Tol,12,773
tonk1249,Tonkawa,17,86
toro1252,Toro So Dogon,18,279
tosk1239,Northern Tosk Albanian,20,88
toto1305,Totontepec Mixe,14,1423
trum1247,Trumai,15,284
tsou1248,Tsou,12,989
tulu1258,Tulu,22,86
tuni1252,Tunica,14,40
tuuu1240,Tu,14,2746
tuvi1240,Tuvinian,16,613
twee1234,Tweed-Albert,8,51
tzel1254,Tzeltal,12,2091
uppe1439,Upper Chehalis,14,35
usan1239,Usan,9,724
vani1248,Vanimo,20,197
viet1252,Vietnamese,24,8
waim1251,Waima,7,9
waim1255,Waimaha,17,167
wame1240,Wamey,20,79
wang1291,Ngiyambaa,8,153
want1252,Wantoat,8,1967
waor1240,Waorani,11,259
wapi1253,Wapishana,14,130
wapp1239,Wappo,15,59
wara1290,Warray,9,29
wara1303,Warao,15,26
wari1266,Waris,16,640
wayu1243,Wayuu,19,37
west2369,Western Farsi,18,2174
west2397,Western Bru,28,161
west2600,West Makian,11,392
west2632,Western Keres,25,1852
west2644,Western Highland Chatino,16,1344
west2650,Western Cham,17,35
wich1260,Wichita,15,390
wikm1247,Wik-Mungkan,9,32
wint1259,Wintu,14,157
wiyo1248,Wiyot,14,449
wuch1236,Wu Chinese,18,205
yaga1260,Yagaria,14,1810
yagu1244,Yagua,16,97
yaku1245,Sakha,22,875
yana1271,Yana,15,25
yane1238,Yanesha',13,2474
yany1243,Yanyuwa,11,57
yaqu1251,Yaqui,12,788
yare1248,Yareba,10,223
yess1239,Yessan-Mayo,11,21
yidi1250,Yidiñ,8,7
yoru1245,Yoruba,19,105
yuca1254,Yucatec Maya,16,86
yuch1247,Yuchi,23,247
yucu1253,Yucuna,11,164
yuec1235,Yue Chinese,12,-3
yulu1243,Yulu,16,680
zand1248,Zande,24,638
zulu1248,Zulu,18,537
zuni1245,Zuni,12,2210
