,language,labial,elevation
nucl1302,Georgian,7,1338.0
nucl1310,Burmese,12,711.0
nucl1339,Temein,7,842.0
nucl1347,Wolof,13,53.0
nucl1417,Igbo,27,8.0
nucl1454,Yawa,6,852.0
nucl1620,Wahgi,6,2160.0
nucl1632,Sentani,6,74.0
nucl1633,Nimboran,3,61.0
nucl1643,Japanese,5,127.0
nucl1649,Southern-Coastal Tsimshian,11,278.0
nung1283,Nung (Viet Nam),9,703.0
nung1290,Wubuy,4,6.0
nuuc1236,Nuu-chah-nulth,14,614.0
nyah1250,Nyahkur,13,556.0
nyan1313,Nyang'i,7,1369.0
nyis1236,Nyishi-Hill Miri,6,996.0
ocai1244,Ocaina,8,114.0
ogbi1239,Ogbia,16,21.0
ormu1247,Ormuri,8,2281.0
paco1243,Pacoh,8,757.0
paez1247,Páez,8,3472.0
paiw1248,Paiwan,5,608.0
papa1238,Papantla Totonac,5,89.0
para1301,South Wa,15,1866.0
para1311,Paraguayan Guaraní,12,184.0
pech1241,Pech,10,411.0
peve1243,Peve,10,328.0
pira1253,Pirahã,3,75.0
plat1254,Plateau Malagasy,7,1653.0
pohn1238,Pohnpeian,8,537.0
popt1235,Popti',7,2060.0
pure1242,Purepecha,11,2340.0
pwon1235,Pwo Northern Karen,9,1113.0
qaqe1238,Qaqet,6,941.0
qaua1234,Central Gelao-Qau,10,1275.0
qawa1238,Qawasqar,5,80.0
quil1240,Quileute,11,16.0
quio1240,Quiotepec Chinantec,13,1441.0
resi1247,Resígaro,8,127.0
roma1327,Romanian,8,348.0
roto1249,Rotokas,4,283.0
ruka1240,Rukai,6,1689.0
russ1263,Russian,12,185.0
rutu1240,Rutul,25,1950.0
saba1265,Sa'ban,6,1002.0
sali1298,Sáliba,11,119.0
sand1273,Sandawe,10,1208.0
sang1328,Sango,17,503.0
sanm1287,San Mateo del Mar Huave,9,5.0
sanm1295,San Miguel El Grande Mixtec,7,2279.0
savo1255,Savosavo,6,365.0
seda1262,Sedang,16,1287.0
sele1250,Selepet,6,759.0
selk1253,Selkup,10,71.0
sene1264,Seneca,6,427.0
sgaw1245,S'gaw Karen,8,246.0
shas1239,Shasta,5,1111.0
shua1257,Shuar,5,1256.0
shus1248,Shuswap,16,660.0
sinh1246,Sinhala,9,51.0
sion1247,Siona-Tetete,11,236.0
siri1273,Sirionó,8,182.0
soma1255,Somali,8,211.0
soqo1240,Soqotri,6,929.0
sout2674,South Saami,12,141.0
sout2949,Southern Kiwai,7,37.0
sout2982,Southeastern Pomo,8,439.0
sout2985,Southern Sierra Miwok,5,780.0
sout2991,South Bolivian Quechua,9,4156.0
sout2994,Southern Nambikuára,14,687.0
stan1288,Spanish,7,1202.0
stan1290,French,17,124.0
stan1295,German,15,368.0
suen1241,Suena,6,68.0
suii1243,Sui,16,276.0
taca1256,Tacana,6,207.0
tach1250,Tachelhit,5,904.0
taga1270,Tagalog,7,93.0
taha1241,Tahaggart Tamahaq,9,760.0
talo1250,Tasomi-Tata,6,486.0
tama1331,Tama (Chad),9,1045.0
tamn1235,Tamnim Citak,6,19.0
tamp1252,Tampulma,12,129.0
taro1263,Tarok,11,210.0
tedi1235,Tedim Chin,8,1359.0
tehu1242,Tehuelche,7,299.0
teke1280,Teke-Kukuya,11,530.0
telu1262,Telugu,12,440.0
tera1251,Tera,17,363.0
tetu1245,Tetum,7,317.0
thai1261,Thai,9,3.0
ticu1245,Ticuna,10,150.0
tiga1245,Tigak,7,44.0
tigr1270,Tigre,6,2112.0
timn1235,Timne,9,48.0
tiru1241,Tiruray,6,435.0
tiwi1244,Tiwi,6,74.0
tlin1245,Tlingit,16,656.0
toar1246,Toaripi,6,7.0
toho1245,Tohono O'odham,6,640.0
toll1241,Tol,8,773.0
tonk1249,Tonkawa,9,86.0
toro1252,Toro So Dogon,9,279.0
tosk1239,Northern Tosk Albanian,8,88.0
toto1305,Totontepec Mixe,6,1423.0
trum1247,Trumai,6,284.0
tsou1248,Tsou,8,989.0
tulu1258,Tulu,9,86.0
tuni1252,Tunica,7,40.0
tuuu1240,Tu,6,2746.0
tuvi1240,Tuvinian,9,613.0
twee1234,Tweed-Albert,4,51.0
tzel1254,Tzeltal,8,2091.0
uppe1439,Upper Chehalis,11,35.0
usan1239,Usan,7,724.0
vani1248,Vanimo,12,197.0
viet1252,Vietnamese,10,8.0
waim1251,Waima,5,9.0
waim1255,Waimaha,7,167.0
wame1240,Wamey,16,79.0
wang1291,Ngiyambaa,4,153.0
want1252,Wantoat,7,1967.0
waor1240,Waorani,6,259.0
wapi1253,Wapishana,6,130.0
wapp1239,Wappo,8,59.0
wara1290,Warray,6,29.0
wara1303,Warao,8,26.0
wari1266,Waris,7,640.0
wayu1243,Wayuu,7,37.0
west2369,Western Farsi,8,2174.0
west2397,Western Bru,13,161.0
west2600,West Makian,6,392.0
west2632,Western Keres,8,1852.0
west2644,Western Highland Chatino,8,1344.0
west2650,Western Cham,8,35.0
wich1260,Wichita,8,390.0
wikm1247,Wik-Mungkan,5,32.0
wint1259,Wintu,9,157.0
wiyo1248,Wiyot,8,449.0
wuch1236,Wu Chinese,10,205.0
yaga1260,Yagaria,7,1810.0
yagu1244,Yagua,7,97.0
yaku1245,Sakha,11,875.0
yana1271,Yana,7,25.0
yane1238,Yanesha',7,2474.0
yany1243,Yanyuwa,5,57.0
yaqu1251,Yaqui,7,788.0
yare1248,Yareba,6,223.0
yess1239,Yessan-Mayo,6,21.0
yidi1250,Yidiñ,4,7.0
yoru1245,Yoruba,11,105.0
yuca1254,Yucatec Maya,9,86.0
yuch1247,Yuchi,11,247.0
yucu1253,Yucuna,6,164.0
yuec1235,Yue Chinese,9,-3.0
yulu1243,Yulu,15,680.0
zand1248,Zande,14,638.0
zulu1248,Zulu,10,537.0
zuni1245,Zuni,7,2210.0
