Glottocode,language,approximant,elevation
komo1258,Komo (Sudan),12,767
konk1267,Maharashtrian Konkani,23,723
kore1280,Korean,14,154
kory1246,Koryak,9,0
kota1263,Kota (India),10,1456
koya1251,Koya,9,111
koyr1242,Koyraboro Senni Songhai,13,261
kpan1246,Kpan,13,139
kuku1273,Kuku-Yalanji,8,236
kumi1248,Tipai,15,297
kuna1268,Kunama,11,1058
kuni1267,Kunimaipa,8,1857
kups1238,Kupsabiny,17,2719
kuru1302,Kurukh,16,284
kwai1243,Kwaio,7,564
kwak1269,Kwak'wala,12,112
kwom1262,Kwoma,10,31
lahu1253,Lahu,12,1476
lakk1238,Lakkia,29,767
lakk1252,Lak,13,2018
lako1247,Lakota,11,834
lave1249,Brao,13,581
lele1264,Lelemi,15,519
lena1238,Lenakel,10,219
libe1247,Liberia Kpelle,15,285
lish1246,Lishán Didán,19,1635
lith1251,Lithuanian,21,54
lowe1415,Lower Grand Valley Dani,15,2969
lugb1240,Lugbara,16,1225
luis1253,Luiseno,9,742
luok1236,Luo (Kenya and Tanzania),13,1467
lush1252,Northern Lushootseed,6,92
lusi1240,Lusi,8,92
luuu1242,Lü,11,1101
maba1277,Maba (Chad),11,509
manc1252,Manchu,10,187
mand1415,Mandarin Chinese,11,88
mapu1245,Mapudungun,11,1538
mara1404,Maranao,6,969
marg1265,Marghi Central,8,426
masa1300,Masai,14,1187
maun1240,Mawng,11,28
maxa1247,Maxakalí,10,294
mbaa1245,Mba,10,456
mbab1239,Mbabaram,9,341
mbum1254,Mbum,12,830
mind1253,Min Dong Chinese,8,6
minn1241,Min Nan Chinese,6,35
mode1248,Modern Greek,8,190
mogh1245,Mogholi,9,942
morb1239,Mor (Bomberai Peninsula),8,27
moro1285,Moro,12,745
movi1243,Movima,9,146
muin1242,Muinane,8,177
mull1237,Mullukmulluk,11,40
mund1320,Mundari,10,50
murl1244,Murle,9,452
murr1258,Murriny Patha,10,0
naas1242,Naasioi,6,1855
nama1264,Nama (Namibia),10,1170
nana1257,Nanai,8,34
nara1262,Nara,9,788
natu1246,Natügu,20,0
nava1243,Navajo,19,2140
naxi1245,Naxi,12,3607
ndut1239,Ndut,11,35
nene1249,Tundra Nenets,13,0
newa1246,Kathmandu Valley Newari,10,288
nezp1238,Nez Perce,11,1041
ngan1291,Nganasan,13,0
ngar1284,Ngarinyin,14,511
ngas1240,Ngas,15,1130
ngiz1242,Ngizim,11,360
niel1243,Niellim,17,358
nina1238,Ninam,15,575
niva1238,Nivaclé,9,209
nobi1240,Nobiin,7,277
noon1243,Noone,18,1277
nort1550,Taos Northern Tiwa,16,2143
nort2641,Northern Kurdish,23,697
nort2690,Northern Uzbek,10,52
nort2697,North Azerbaijani,12,276
nort2735,Northern Dong,11,512
nort2745,Northern Yukaghir,11,0
nort2815,Northeastern Dinka,17,401
nort2819,Northern Bobo Madaré,16,467
nort2938,Northern Haida,9,80
nort2952,Northeast Maidu,9,1271
nort2957,Northern Puebla Nahuatl,8,1496
norw1259,Norwegian Bokmål,29,20
nucl1235,Eastern Armenian,10,1912
nucl1240,Mumuye,15,543
nucl1301,Turkish,12,1138
nucl1302,Georgian,8,1338
nucl1310,Burmese,17,711
nucl1339,Temein,11,842
nucl1347,Wolof,19,53
nucl1417,Igbo,21,8
nucl1454,Yawa,8,852
nucl1620,Wahgi,9,2160
