Glottocode,language,front,elevation
kekc1242,Kekchí,3,28
kera1255,Kera,4,328
kett1243,Ket,8,176
khan1273,Kazym-Berezover-Suryskarer Khanty,8,54
khar1287,Kharia,4,376
khas1269,Khasi,5,38
khmu1256,Khmu,10,953
kiow1266,Kiowa,7,450
kirg1245,Kirghiz,5,3699
klam1254,Klamath-Modoc,8,1299
klao1243,Klao,9,66
koho1244,Koho,9,871
kohu1244,Kohumono,6,23
komi1268,Komi-Zyrian,11,125
komo1258,Komo (Sudan),4,767
konk1267,Maharashtrian Konkani,9,723
kore1280,Korean,6,154
kory1246,Koryak,4,0
kota1263,Kota (India),3,1456
koya1251,Koya,3,111
koyr1242,Koyraboro Senni Songhai,4,261
kpan1246,Kpan,5,139
kuku1273,Kuku-Yalanji,4,236
kumi1248,Tipai,3,297
kuna1268,Kunama,5,1058
kuni1267,Kunimaipa,2,1857
kups1238,Kupsabiny,5,2719
kuru1302,Kurukh,7,284
kwai1243,Kwaio,2,564
kwak1269,Kwak'wala,8,112
kwom1262,Kwoma,5,31
lahu1253,Lahu,4,1476
lakk1238,Lakkia,17,767
lakk1252,Lak,6,2018
lako1247,Lakota,4,834
lave1249,Brao,5,581
lele1264,Lelemi,7,519
lena1238,Lenakel,2,219
libe1247,Liberia Kpelle,6,285
lish1246,Lishán Didán,7,1635
lith1251,Lithuanian,23,54
lowe1415,Lower Grand Valley Dani,5,2969
lugb1240,Lugbara,6,1225
luis1253,Luiseno,3,742
luok1236,Luo (Kenya and Tanzania),6,1467
lush1252,Northern Lushootseed,2,92
lusi1240,Lusi,2,92
luuu1242,Lü,4,1101
maba1277,Maba (Chad),6,509
manc1252,Manchu,4,187
mand1415,Mandarin Chinese,7,88
mapu1245,Mapudungun,5,1538
mara1404,Maranao,1,969
marg1265,Marghi Central,2,426
masa1300,Masai,7,1187
maun1240,Mawng,3,28
maxa1247,Maxakalí,4,294
mbaa1245,Mba,4,456
mbab1239,Mbabaram,2,341
mbum1254,Mbum,5,830
mind1253,Min Dong Chinese,4,6
minn1241,Min Nan Chinese,2,35
mode1248,Modern Greek,3,190
mogh1245,Mogholi,3,942
morb1239,Mor (Bomberai Peninsula),3,27
moro1285,Moro,4,745
movi1243,Movima,3,146
muin1242,Muinane,7,177
mull1237,Mullukmulluk,4,40
mund1320,Mundari,3,50
murl1244,Murle,6,452
murr1258,Murriny Patha,3,0
naas1242,Naasioi,2,1855
nama1264,Nama (Namibia),3,1170
nana1257,Nanai,4,34
nara1262,Nara,3,788
natu1246,Natügu,11,0
nava1243,Navajo,9,2140
naxi1245,Naxi,11,3607
ndut1239,Ndut,8,35
nene1249,Tundra Nenets,14,0
newa1246,Kathmandu Valley Newari,2,288
nezp1238,Nez Perce,4,1041
ngan1291,Nganasan,8,0
ngar1284,Ngarinyin,6,511
ngas1240,Ngas,12,1130
ngiz1242,Ngizim,7,360
niel1243,Niellim,5,358
nina1238,Ninam,5,575
niva1238,Nivaclé,3,209
nobi1240,Nobiin,3,277
noon1243,Noone,7,1277
nort1550,Taos Northern Tiwa,5,2143
nort2641,Northern Kurdish,5,697
nort2690,Northern Uzbek,4,52
nort2697,North Azerbaijani,7,276
nort2735,Northern Dong,9,512
nort2745,Northern Yukaghir,5,0
nort2815,Northeastern Dinka,10,401
nort2819,Northern Bobo Madaré,7,467
nort2938,Northern Haida,7,80
nort2952,Northeast Maidu,5,1271
nort2957,Northern Puebla Nahuatl,3,1496
norw1259,Norwegian Bokmål,14,20
nucl1235,Eastern Armenian,4,1912
nucl1240,Mumuye,5,543
nucl1301,Turkish,8,1138
nucl1302,Georgian,2,1338
nucl1310,Burmese,9,711
nucl1339,Temein,6,842
nucl1347,Wolof,12,53
nucl1417,Igbo,13,8
nucl1454,Yawa,5,852
nucl1620,Wahgi,4,2160
nucl1632,Sentani,4,74
nucl1633,Nimboran,2,61
nucl1643,Japanese,3,127
nucl1649,Southern-Coastal Tsimshian,6,278
nung1283,Nung (Viet Nam),4,703
nung1290,Wubuy,2,6
nuuc1236,Nuu-chah-nulth,4,614
nyah1250,Nyahkur,11,556
nyan1313,Nyang'i,7,1369
nyis1236,Nyishi-Hill Miri,4,996
ocai1244,Ocaina,7,114
ogbi1239,Ogbia,6,21
ormu1247,Ormuri,3,2281
paco1243,Pacoh,5,757
paez1247,Páez,12,3472
paiw1248,Paiwan,5,608
papa1238,Papantla Totonac,4,89
para1301,South Wa,8,1866
para1311,Paraguayan Guaraní,6,184
pech1241,Pech,6,411
peve1243,Peve,3,328
pira1253,Pirahã,1,75
plat1254,Plateau Malagasy,3,1653
pohn1238,Pohnpeian,3,537
popt1235,Popti',3,2060
pure1242,Purepecha,4,2340
pwon1235,Pwo Northern Karen,4,1113
qaqe1238,Qaqet,3,941
qaua1234,Central Gelao-Qau,9,1275
qawa1238,Qawasqar,1,80
quil1240,Quileute,3,16
quio1240,Quiotepec Chinantec,9,1441
resi1247,Resígaro,7,127
roma1327,Romanian,3,348
roto1249,Rotokas,2,283
ruka1240,Rukai,2,1689
russ1263,Russian,16,185
rutu1240,Rutul,3,1950
saba1265,Sa'ban,4,1002
sali1298,Sáliba,4,119
sand1273,Sandawe,4,1208
sang1328,Sango,5,503
sanm1287,San Mateo del Mar Huave,3,5
sanm1295,San Miguel El Grande Mixtec,4,2279
savo1255,Savosavo,4,365
seda1262,Sedang,12,1287
sele1250,Selepet,3,759
selk1253,Selkup,10,71
sene1264,Seneca,5,427
sgaw1245,S'gaw Karen,8,246
shas1239,Shasta,3,1111
shua1257,Shuar,3,1256
shus1248,Shuswap,4,660
sinh1246,Sinhala,9,51
sion1247,Siona-Tetete,5,236
siri1273,Sirionó,6,182
soma1255,Somali,6,211
soqo1240,Soqotri,3,929
sout2674,South Saami,21,141
sout2949,Southern Kiwai,2,37
sout2982,Southeastern Pomo,3,439
sout2985,Southern Sierra Miwok,3,780
sout2991,South Bolivian Quechua,5,4156
sout2994,Southern Nambikuára,9,687
stan1288,Spanish,5,1202
stan1290,French,12,124
stan1295,German,10,368
suen1241,Suena,3,68
suii1243,Sui,7,276
taca1256,Tacana,3,207
tach1250,Tachelhit,3,904
taga1270,Tagalog,3,93
taha1241,Tahaggart Tamahaq,9,760
talo1250,Tasomi-Tata,6,486
tama1331,Tama (Chad),7,1045
tamn1235,Tamnim Citak,3,19
tamp1252,Tampulma,8,129
taro1263,Tarok,3,210
tedi1235,Tedim Chin,2,1359
tehu1242,Tehuelche,6,299
teke1280,Teke-Kukuya,5,530
telu1262,Telugu,8,440
tera1251,Tera,13,363
tetu1245,Tetum,2,317
thai1261,Thai,4,3
ticu1245,Ticuna,4,150
tiga1245,Tigak,2,44
tigr1270,Tigre,3,2112
timn1235,Timne,4,48
tiru1241,Tiruray,3,435
tiwi1244,Tiwi,2,74
tlin1245,Tlingit,3,656
toar1246,Toaripi,2,7
toho1245,Tohono O'odham,2,640
toll1241,Tol,3,773
