,language,continuant,elevation
kupa1239,Kupang Malay,12,369
kura1250,Kuranko,35,474
kuwa1246,Kuwaataay,21,5
kwam1249,Kwama,13,1286
kwam1250,Kwami,19,708
kwam1251,Kwambi,18,1091
kwan1273,Kwangali,15,1124
kwan1276,Kwanja,25,1014
kway1241,Kwaya,16,1152
kwes1244,Kwese,13,795
kyen1242,Kyenga,21,203
lagw1237,Lagwan,22,300
lama1288,Lamang,18,1015
lang1322,Lango (Sudan),14,776
lang1324,Lango (Uganda),26,1052
lara1260,Larantuka Malay,12,757
lega1249,Lega-Shabunda,21,633
legb1242,Legbo,23,29
lele1266,Lele (Guinea),15,925
lele1276,Lele (Chad),16,399
leng1258,Lengola,13,468
lese1243,Lese,21,973
leti1246,Leti (Indonesia),16,252
libe1240,Kru Pidgin English,22,42
lika1243,Liko,19,763
limb1268,Limbum,77,1057
logb1245,Logba,17,157
logo1259,Logo,17,901
loma1260,Loma (Liberia),37,474
long1387,Longto,13,441
lumu1239,Lumun,22,728
luwo1239,Luwo,14,496
maay1238,Maay,18,496
maba1273,Mabaan,28,428
mach1266,Machame,20,1072
mada1282,Mada (Nigeria),23,470
maka1311,Makasar,11,0
mala1481,Manado Malay,12,41
mamb1296,Mambwe-Lungu,17,1249
mamp1244,Mampruli,19,152
mann1248,Mann,21,244
many1261,Manya,14,568
masa1299,Masaaba,28,1666
matu1259,Matumbi,9,257
mawa1270,Mawa (Chad),14,544
mayo1261,Mayogo,20,760
mbal1255,Mbalanhu,15,1310
mbay1241,Mbay,26,460
mbee1249,Mbe,15,124
mbee1250,Mbe',22,754
mboc1235,Mbo (Cameroon),43,835
mbuk1240,Mbukushu,17,1010
mbuk1243,Mbuko,20,480
mbuu1238,Ajumbu,21,771
meen1242,Me'en,22,1009
mere1246,Merey,20,787
meru1245,Meru,18,1254
mesq1240,Mesqan,21,2134
mfum1238,Southern Mfumte,28,662
mina1268,Minangkabau,20,10
mmaa1238,Mmaala,14,484
moch1256,Mochi,12,892
mofu1248,Mofu-Gudur,18,730
moke1242,Moken,21,0
mokl1243,Moklen,30,17
mokp1239,Mokpwe,14,2301
molo1266,Moloko,22,454
mong1338,Mongo,19,381
mono1269,Mono (Cameroon),36,233
mori1268,Mori Bawah,10,541
mori1278,Morisyen,18,464
moro1284,Morokodo,21,574
moru1253,Moru,16,651
mpad1242,Mpade,15,290
mund1325,Mundang,41,390
mund1328,Mundabli,19,730
muya1243,Muyang,25,410
mwal1237,Mwali Comorian,10,257
mwan1247,Mwani,14,18
myen1241,Myene,16,26
nari1240,Narim,16,578
nate1242,Nateni,29,454
nawu1242,Nawuri,18,120
ncan1245,Ncane,24,960
ndai1238,Ndai,33,636
ndal1241,Ndali,20,1134
ndam1239,Ndamba,13,280
ndog1248,Ndogo,15,460
ndon1254,Ndonga,67,1095
ndzw1235,Ndzwani Comorian,17,547
ngan1300,Ngandyera,17,1079
ngas1238,Ngasa,20,1807
ngaz1238,Ngazidja Comorian,17,475
ngie1241,Ngiemboon,15,1797
ngit1239,Ngiti,15,1617
ngom1272,Ngomba,15,1454
ngwe1238,Ngwe,23,992
nias1242,Nias,14,0
niel1243,Niellim,37,358
nige1253,Hausa States Fulfulde,38,363
njeb1242,Njebi,16,728
njye1238,Njyem,27,595
nkon1248,Nkonya,21,95
nort2795,Zimbabwean Ndebele,19,1179
