Glottocode,language,tense,elevation
kupa1239,Kupang Malay,6,369
kura1250,Kuranko,18,474
kuwa1246,Kuwaataay,10,5
kwam1249,Kwama,6,1286
kwam1250,Kwami,8,708
kwam1251,Kwambi,4,1091
kwan1273,Kwangali,2,1124
kwan1276,Kwanja,13,1014
kway1241,Kwaya,10,1152
kwes1244,Kwese,6,795
kyen1242,Kyenga,8,203
lagw1237,Lagwan,6,300
lama1288,Lamang,5,1015
lang1322,Lango (Sudan),6,776
lang1324,Lango (Uganda),10,1052
lara1260,Larantuka Malay,6,757
lega1249,Lega-Shabunda,9,633
legb1242,Legbo,10,29
lele1266,Lele (Guinea),6,925
lele1276,Lele (Chad),10,399
leng1258,Lengola,6,468
lese1243,Lese,6,973
leti1246,Leti (Indonesia),8,252
libe1240,Kru Pidgin English,8,42
lika1243,Liko,5,763
limb1268,Limbum,32,1057
logb1245,Logba,6,157
logo1259,Logo,6,901
loma1260,Loma (Liberia),18,474
long1387,Longto,4,441
lumu1239,Lumun,6,728
luwo1239,Luwo,6,496
maay1238,Maay,10,496
maba1273,Mabaan,12,428
mach1266,Machame,10,1072
mada1282,Mada (Nigeria),9,470
maka1311,Makasar,6,0
mala1481,Manado Malay,6,41
mamb1296,Mambwe-Lungu,10,1249
mamp1244,Mampruli,10,152
mann1248,Mann,10,244
many1261,Manya,6,568
masa1299,Masaaba,10,1666
matu1259,Matumbi,6,257
mawa1270,Mawa (Chad),8,544
mayo1261,Mayogo,7,760
mbal1255,Mbalanhu,4,1310
mbay1241,Mbay,14,460
mbee1249,Mbe,6,124
mbee1250,Mbe',7,754
mboc1235,Mbo (Cameroon),18,835
mbuk1240,Mbukushu,6,1010
mbuk1243,Mbuko,7,480
mbuu1238,Ajumbu,9,771
meen1242,Me'en,10,1009
mere1246,Merey,5,787
meru1245,Meru,10,1254
mesq1240,Mesqan,6,2134
mfum1238,Southern Mfumte,10,662
mina1268,Minangkabau,9,10
mmaa1238,Mmaala,6,484
moch1256,Mochi,6,892
mofu1248,Mofu-Gudur,4,730
moke1242,Moken,12,0
mokl1243,Moklen,16,17
mokp1239,Mokpwe,6,2301
molo1266,Moloko,5,454
mong1338,Mongo,7,381
mono1269,Mono (Cameroon),19,233
mori1268,Mori Bawah,4,541
mori1278,Morisyen,7,464
moro1284,Morokodo,6,574
moru1253,Moru,6,651
mpad1242,Mpade,7,290
mund1325,Mundang,15,390
mund1328,Mundabli,8,730
muya1243,Muyang,8,410
mwal1237,Mwali Comorian,6,257
mwan1247,Mwani,6,18
myen1241,Myene,6,26
nari1240,Narim,6,578
nate1242,Nateni,14,454
nawu1242,Nawuri,6,120
ncan1245,Ncane,11,960
ndai1238,Ndai,16,636
ndal1241,Ndali,10,1134
ndam1239,Ndamba,6,280
ndog1248,Ndogo,2,460
ndon1254,Ndonga,18,1095
ndzw1235,Ndzwani Comorian,6,547
ngan1300,Ngandyera,4,1079
ngas1238,Ngasa,8,1807
ngaz1238,Ngazidja Comorian,6,475
ngie1241,Ngiemboon,8,1797
ngit1239,Ngiti,6,1617
ngom1272,Ngomba,5,1454
ngwe1238,Ngwe,9,992
nias1242,Nias,7,0
niel1243,Niellim,25,358
nige1253,Hausa States Fulfulde,17,363
njeb1242,Njebi,5,728
njye1238,Njyem,10,595
nkon1248,Nkonya,10,95
nort2795,Zimbabwean Ndebele,6,1179
nort2819,Northern Bobo Madaré,10,467
nort2828,North Moluccan Malay,6,79
nort3047,North Giziga,4,488
ntch1242,Ntcham,21,243
ntom1248,Ntomba,6,292
nucl1440,Masalit,8,815
nucl1460,Madurese,6,108
nucl1683,Daba,5,813
nucl1696,Tangale,11,565
nuer1246,Nuer,14,409
nugu1242,Nugunu (Cameroon),6,481
nyam1277,Nyambo,10,1513
nyam1285,Nyam,10,244
nyol1238,Nyole,10,1066
nzim1238,Nzima,8,19
olub1238,Olu'bo,6,721
opuu1239,T'apo,6,419
orma1241,Orma,10,141
otor1240,Otoro,10,752
otuh1238,Otuho,12,809
palo1243,Palor,15,100
pamp1243,Pampanga,5,29
pang1287,Pangwa,9,1313
pang1290,Pangasinan,6,15
pero1241,Pero,10,319
piny1238,Pinyin,10,1841
poko1263,Pökoot,13,1866
prin1242,Principense,6,469
reel1238,Reel,24,431
reun1238,Réunion Creole French,10,1722
rong1268,Ronga,7,69
saam1283,Saamia,10,1194
sand1273,Sandawe,14,1208
saot1239,Sãotomense,10,1073
saxw1241,Saxwe Gbe,8,76
saya1246,Saya,11,596
seba1251,Sebat Bet Gurage,19,2272
sekp1241,Sekpele,7,301
sele1249,Selee,8,364
shan1282,Shanga,8,156
sher1258,Sherbro,3,13
shil1265,Shilluk,13,399
shwa1239,Shwai,6,721
