,language,anterior,elevation
kupa1239,Kupang Malay,6,369
kura1250,Kuranko,7,474
kuwa1246,Kuwaataay,6,5
kwam1249,Kwama,8,1286
kwam1250,Kwami,9,708
kwam1251,Kwambi,11,1091
kwan1273,Kwangali,6,1124
kwan1276,Kwanja,5,1014
kway1241,Kwaya,5,1152
kwes1244,Kwese,6,795
kyen1242,Kyenga,7,203
lagw1237,Lagwan,12,300
lama1288,Lamang,15,1015
lang1322,Lango (Sudan),7,776
lang1324,Lango (Uganda),7,1052
lara1260,Larantuka Malay,6,757
lega1249,Lega-Shabunda,5,633
legb1242,Legbo,11,29
lele1266,Lele (Guinea),6,925
lele1276,Lele (Chad),8,399
leng1258,Lengola,6,468
lese1243,Lese,9,973
leti1246,Leti (Indonesia),6,252
libe1240,Kru Pidgin English,7,42
lika1243,Liko,9,763
limb1268,Limbum,25,1057
logb1245,Logba,9,157
logo1259,Logo,11,901
loma1260,Loma (Liberia),6,474
long1387,Longto,4,441
lumu1239,Lumun,6,728
luwo1239,Luwo,8,496
maay1238,Maay,7,496
maba1273,Mabaan,7,428
mach1266,Machame,11,1072
mada1282,Mada (Nigeria),9,470
maka1311,Makasar,6,0
mala1481,Manado Malay,6,41
mamb1296,Mambwe-Lungu,5,1249
mamp1244,Mampruli,7,152
mann1248,Mann,6,244
many1261,Manya,5,568
masa1299,Masaaba,19,1666
matu1259,Matumbi,5,257
mawa1270,Mawa (Chad),8,544
mayo1261,Mayogo,10,760
mbal1255,Mbalanhu,8,1310
mbay1241,Mbay,9,460
mbee1249,Mbe,8,124
mbee1250,Mbe',16,754
mboc1235,Mbo (Cameroon),12,835
mbuk1240,Mbukushu,7,1010
mbuk1243,Mbuko,14,480
mbuu1238,Ajumbu,8,771
meen1242,Me'en,9,1009
mere1246,Merey,14,787
meru1245,Meru,6,1254
mesq1240,Mesqan,8,2134
mfum1238,Southern Mfumte,14,662
mina1268,Minangkabau,7,10
mmaa1238,Mmaala,7,484
moch1256,Mochi,6,892
mofu1248,Mofu-Gudur,11,730
moke1242,Moken,5,0
mokl1243,Moklen,5,17
mokp1239,Mokpwe,4,2301
molo1266,Moloko,14,454
mong1338,Mongo,14,381
mono1269,Mono (Cameroon),10,233
mori1268,Mori Bawah,9,541
mori1278,Morisyen,8,464
moro1284,Morokodo,17,574
moru1253,Moru,10,651
mpad1242,Mpade,10,290
mund1325,Mundang,10,390
mund1328,Mundabli,7,730
muya1243,Muyang,14,410
mwal1237,Mwali Comorian,6,257
mwan1247,Mwani,7,18
myen1241,Myene,9,26
nari1240,Narim,6,578
nate1242,Nateni,3,454
nawu1242,Nawuri,7,120
ncan1245,Ncane,5,960
ndai1238,Ndai,9,636
ndal1241,Ndali,4,1134
ndam1239,Ndamba,5,280
ndog1248,Ndogo,11,460
ndon1254,Ndonga,45,1095
ndzw1235,Ndzwani Comorian,11,547
ngan1300,Ngandyera,12,1079
ngas1238,Ngasa,7,1807
ngaz1238,Ngazidja Comorian,15,475
ngie1241,Ngiemboon,6,1797
ngit1239,Ngiti,13,1617
ngom1272,Ngomba,6,1454
ngwe1238,Ngwe,7,992
nias1242,Nias,5,0
niel1243,Niellim,8,358
nige1253,Hausa States Fulfulde,23,363
njeb1242,Njebi,9,728
njye1238,Njyem,7,595
nkon1248,Nkonya,6,95
nort2795,Zimbabwean Ndebele,30,1179
nort2819,Northern Bobo Madaré,5,467
