Glottocode,language,consonantal,elevation
kuoo1238,Kuo,25,568
kupa1239,Kupang Malay,17,369
kura1250,Kuranko,22,474
kuwa1246,Kuwaataay,17,5
kwam1249,Kwama,17,1286
kwam1250,Kwami,25,708
kwam1251,Kwambi,27,1091
kwan1273,Kwangali,19,1124
kwan1276,Kwanja,18,1014
kway1241,Kwaya,15,1152
kwes1244,Kwese,14,795
kyen1242,Kyenga,19,203
lagw1237,Lagwan,32,300
lama1288,Lamang,35,1015
lang1322,Lango (Sudan),14,776
lang1324,Lango (Uganda),16,1052
lara1260,Larantuka Malay,17,757
lega1249,Lega-Shabunda,17,633
legb1242,Legbo,34,29
lele1266,Lele (Guinea),16,925
lele1276,Lele (Chad),20,399
leng1258,Lengola,22,468
lese1243,Lese,26,973
leti1246,Leti (Indonesia),10,252
libe1240,Kru Pidgin English,22,42
lika1243,Liko,31,763
limb1268,Limbum,74,1057
logb1245,Logba,22,157
logo1259,Logo,24,901
loma1260,Loma (Liberia),18,474
long1387,Longto,18,441
lumu1239,Lumun,15,728
luwo1239,Luwo,17,496
maay1238,Maay,19,496
maba1273,Mabaan,17,428
mach1266,Machame,31,1072
mada1282,Mada (Nigeria),20,470
maka1311,Makasar,15,0
mala1481,Manado Malay,17,41
mamb1296,Mambwe-Lungu,17,1249
mamp1244,Mampruli,21,152
mann1248,Mann,20,244
many1261,Manya,16,568
masa1299,Masaaba,48,1666
matu1259,Matumbi,13,257
mawa1270,Mawa (Chad),20,544
mayo1261,Mayogo,30,760
mbal1255,Mbalanhu,21,1310
mbay1241,Mbay,19,460
mbee1249,Mbe,23,124
mbee1250,Mbe',45,754
mboc1235,Mbo (Cameroon),35,835
mbuk1240,Mbukushu,19,1010
mbuk1243,Mbuko,30,480
mbuu1238,Ajumbu,23,771
meen1242,Me'en,23,1009
mere1246,Merey,29,787
meru1245,Meru,15,1254
mesq1240,Mesqan,29,2134
mfum1238,Southern Mfumte,63,662
mina1268,Minangkabau,20,10
mmaa1238,Mmaala,21,484
moch1256,Mochi,17,892
mofu1248,Mofu-Gudur,31,730
moke1242,Moken,18,0
mokl1243,Moklen,17,17
mokp1239,Mokpwe,19,2301
molo1266,Moloko,27,454
mong1338,Mongo,41,381
mono1269,Mono (Cameroon),30,233
mori1268,Mori Bawah,21,541
mori1278,Morisyen,18,464
moro1284,Morokodo,38,574
moru1253,Moru,23,651
mpad1242,Mpade,27,290
mund1325,Mundang,32,390
mund1328,Mundabli,19,730
muya1243,Muyang,25,410
mwal1237,Mwali Comorian,17,257
mwan1247,Mwani,19,18
myen1241,Myene,27,26
nari1240,Narim,19,578
nate1242,Nateni,10,454
nawu1242,Nawuri,26,120
ncan1245,Ncane,15,960
ndai1238,Ndai,29,636
ndal1241,Ndali,13,1134
ndam1239,Ndamba,16,280
ndog1248,Ndogo,27,460
ndon1254,Ndonga,103,1095
ndzw1235,Ndzwani Comorian,29,547
ngan1300,Ngandyera,28,1079
ngas1238,Ngasa,17,1807
ngaz1238,Ngazidja Comorian,38,475
ngie1241,Ngiemboon,15,1797
ngit1239,Ngiti,41,1617
ngom1272,Ngomba,17,1454
ngwe1238,Ngwe,21,992
nias1242,Nias,15,0
niel1243,Niellim,22,358
nige1253,Hausa States Fulfulde,68,363
njeb1242,Njebi,23,728
njye1238,Njyem,18,595
nkon1248,Nkonya,17,95
nort2795,Zimbabwean Ndebele,57,1179
nort2819,Northern Bobo Madaré,18,467
nort2828,North Moluccan Malay,19,79
nort3047,North Giziga,26,488
ntch1242,Ntcham,37,243
ntom1248,Ntomba,20,292
nucl1440,Masalit,27,815
nucl1460,Madurese,24,108
nucl1683,Daba,34,813
nucl1696,Tangale,36,565
nuer1246,Nuer,17,409
nugu1242,Nugunu (Cameroon),21,481
nyam1277,Nyambo,17,1513
nyam1285,Nyam,35,244
nyol1238,Nyole,22,1066
nzim1238,Nzima,21,19
olub1238,Olu'bo,32,721
opuu1239,T'apo,17,419
orma1241,Orma,20,141
otor1240,Otoro,28,752
otuh1238,Otuho,27,809
palo1243,Palor,24,100
pamp1243,Pampanga,15,29
pang1287,Pangwa,21,1313
pang1290,Pangasinan,14,15
pero1241,Pero,16,319
piny1238,Pinyin,39,1841
poko1263,Pökoot,15,1866
prin1242,Principense,20,469
reel1238,Reel,18,431
reun1238,Réunion Creole French,28,1722
rong1268,Ronga,60,69
saam1283,Saamia,17,1194
sand1273,Sandawe,41,1208
saot1239,Sãotomense,17,1073
saxw1241,Saxwe Gbe,20,76
saya1246,Saya,37,596
seba1251,Sebat Bet Gurage,93,2272
sekp1241,Sekpele,19,301
sele1249,Selee,16,364
shan1282,Shanga,19,156
sher1258,Sherbro,22,13
shil1265,Shilluk,21,399
shwa1239,Shwai,23,721
siam1242,Siamou,19,542
silt1240,Silt'e,41,2047
siwi1239,Siwi,23,-7
siwu1238,Siwu,18,234
soni1259,Soninke,25,157
sooo1256,Soo,16,1901
sout2790,Southern Birifor,20,218
sout2795,Southern Nuni,33,327
sout2828,Southern Ma'di,44,659
sout2833,South Central Dinka,18,432
sout2918,Southern Sama,14,21
suba1252,Suba-Simbiti,20,1294
suga1248,Nizaa,52,1263
suku1261,Sukuma,35,1166
sumb1240,Sumbwa,17,1204
tach1250,Tachelhit,30,904
tada1238,Tadaksahak,53,313
taga1270,Tagalog,16,93
teee1242,Tee,18,25
teng1272,Tengger,17,1226
tese1238,Tese,22,618
tetu1245,Tetum,11,317
tiag1235,Tiagbamrin Aizi,22,17
tiey1235,Tiéyaxo Bozo,16,275
tigo1236,Tigon Mbembe,96,255
tigr1271,Tigrinya,29,2332
tira1254,Tira,24,638
tivv1240,Tiv,28,208
toch1257,Tocho,13,661
tong1318,Tonga (Zambia),30,944
tour1242,Toura (Côte d'Ivoire),19,546
tsam1247,Tsamai,50,741
tsot1241,Tsotso,18,1459
tsuv1239,Tsuvadi,25,257
tuki1240,Tuki,22,581
tuli1249,Tulishi,32,623
tumt1243,Tumtum,35,487
tune1261,Tunen,15,708
