,language,lateral,elevation
lang1324,Lango (Uganda),1,1052
lara1260,Larantuka Malay,1,757
lega1249,Lega-Shabunda,1,633
legb1242,Legbo,2,29
lele1266,Lele (Guinea),1,925
lele1276,Lele (Chad),1,399
leng1258,Lengola,1,468
lese1243,Lese,2,973
leti1246,Leti (Indonesia),1,252
libe1240,Kru Pidgin English,1,42
lika1243,Liko,2,763
limb1268,Limbum,3,1057
logb1245,Logba,1,157
logo1259,Logo,2,901
loma1260,Loma (Liberia),1,474
lumu1239,Lumun,1,728
luwo1239,Luwo,1,496
maay1238,Maay,1,496
maba1273,Mabaan,1,428
mach1266,Machame,2,1072
mada1282,Mada (Nigeria),1,470
maka1311,Makasar,1,0
mala1481,Manado Malay,1,41
mamp1244,Mampruli,1,152
mann1248,Mann,1,244
many1261,Manya,1,568
masa1299,Masaaba,1,1666
matu1259,Matumbi,1,257
mawa1270,Mawa (Chad),1,544
mayo1261,Mayogo,1,760
mbal1255,Mbalanhu,2,1310
mbay1241,Mbay,2,460
mbee1249,Mbe,1,124
mbee1250,Mbe',3,754
mboc1235,Mbo (Cameroon),2,835
mbuk1243,Mbuko,3,480
mbuu1238,Ajumbu,1,771
meen1242,Me'en,1,1009
mere1246,Merey,3,787
meru1245,Meru,1,1254
mesq1240,Mesqan,1,2134
mfum1238,Southern Mfumte,1,662
mina1268,Minangkabau,1,10
mmaa1238,Mmaala,1,484
moch1256,Mochi,1,892
mofu1248,Mofu-Gudur,3,730
moke1242,Moken,1,0
mokl1243,Moklen,1,17
mokp1239,Mokpwe,1,2301
molo1266,Moloko,3,454
mong1338,Mongo,1,381
mono1269,Mono (Cameroon),1,233
mori1268,Mori Bawah,1,541
mori1278,Morisyen,1,464
moro1284,Morokodo,1,574
moru1253,Moru,1,651
mpad1242,Mpade,1,290
mund1325,Mundang,1,390
mund1328,Mundabli,1,730
muya1243,Muyang,3,410
mwan1247,Mwani,1,18
myen1241,Myene,1,26
nari1240,Narim,1,578
nawu1242,Nawuri,1,120
ncan1245,Ncane,1,960
ndai1238,Ndai,1,636
ndal1241,Ndali,1,1134
ndam1239,Ndamba,1,280
ndog1248,Ndogo,1,460
ndon1254,Ndonga,5,1095
ndzw1235,Ndzwani Comorian,1,547
ngan1300,Ngandyera,2,1079
ngas1238,Ngasa,1,1807
ngaz1238,Ngazidja Comorian,1,475
ngit1239,Ngiti,1,1617
ngom1272,Ngomba,1,1454
niel1243,Niellim,1,358
nige1253,Hausa States Fulfulde,3,363
njeb1242,Njebi,1,728
njye1238,Njyem,1,595
nkon1248,Nkonya,1,95
nort2795,Zimbabwean Ndebele,3,1179
nort2819,Northern Bobo Madaré,1,467
nort2828,North Moluccan Malay,1,79
nort3047,North Giziga,3,488
ntch1242,Ntcham,2,243
ntom1248,Ntomba,1,292
nucl1440,Masalit,2,815
nucl1460,Madurese,1,108
nucl1683,Daba,3,813
nucl1696,Tangale,1,565
nuer1246,Nuer,1,409
nugu1242,Nugunu (Cameroon),1,481
nyam1285,Nyam,1,244
nyol1238,Nyole,1,1066
nzim1238,Nzima,1,19
olub1238,Olu'bo,1,721
opuu1239,T'apo,1,419
orma1241,Orma,1,141
otor1240,Otoro,2,752
otuh1238,Otuho,3,809
palo1243,Palor,1,100
pamp1243,Pampanga,1,29
pang1287,Pangwa,1,1313
pang1290,Pangasinan,1,15
pero1241,Pero,1,319
poko1263,Pökoot,1,1866
prin1242,Principense,2,469
reel1238,Reel,1,431
reun1238,Réunion Creole French,2,1722
rong1268,Ronga,4,69
saam1283,Saamia,1,1194
sand1273,Sandawe,2,1208
saot1239,Sãotomense,2,1073
saxw1241,Saxwe Gbe,1,76
saya1246,Saya,3,596
seba1251,Sebat Bet Gurage,3,2272
sekp1241,Sekpele,1,301
shan1282,Shanga,1,156
sher1258,Sherbro,1,13
shil1265,Shilluk,1,399
shwa1239,Shwai,1,721
siam1242,Siamou,1,542
silt1240,Silt'e,2,2047
siwi1239,Siwi,1,-7
siwu1238,Siwu,1,234
soni1259,Soninke,2,157
sooo1256,Soo,1,1901
sout2790,Southern Birifor,2,218
sout2795,Southern Nuni,2,327
sout2828,Southern Ma'di,2,659
sout2833,South Central Dinka,1,432
sout2918,Southern Sama,1,21
suba1252,Suba-Simbiti,1,1294
suga1248,Nizaa,2,1263
suku1261,Sukuma,1,1166
sumb1240,Sumbwa,1,1204
tach1250,Tachelhit,2,904
tada1238,Tadaksahak,4,313
taga1270,Tagalog,1,93
teee1242,Tee,2,25
teng1272,Tengger,1,1226
tese1238,Tese,2,618
tetu1245,Tetum,1,317
tiag1235,Tiagbamrin Aizi,1,17
tiey1235,Tiéyaxo Bozo,1,275
tigo1236,Tigon Mbembe,1,255
tigr1271,Tigrinya,1,2332
tira1254,Tira,1,638
tivv1240,Tiv,1,208
toch1257,Tocho,1,661
tong1318,Tonga (Zambia),1,944
tour1242,Toura (Côte d'Ivoire),1,546
tsam1247,Tsamai,2,741
tsot1241,Tsotso,2,1459
tsuv1239,Tsuvadi,2,257
tuli1249,Tulishi,2,623
tumt1243,Tumtum,2,487
tune1261,Tunen,1,708
tuni1251,Tunia,1,364
tupu1244,Tupuri,1,353
uduk1239,Uduk,1,862
umbu1257,Umbundu,2,1239
uppe1455,Upper Guinea Crioulo,2,44
vame1236,Vame,3,412
wand1278,Wandala,5,339
wawa1246,Wawa,1,1214
wehh1238,Weh,1,1065
west2456,Western Xwla Gbe,1,5
west2458,West Central Banda,1,637
wuzl1236,Wuzlam,3,535
xhos1239,Xhosa,3,1748
xwel1235,Xwela Gbe,1,32
yala1263,Yala,1,65
yans1239,Yansi,1,355
yaoo1241,Yao,1,1194
yems1235,Yemsa,1,2227
zagh1240,Beria,1,978
zayy1238,Zay,1,1636
zinz1238,Zinza,1,1338
0,Anyin Morofo,0,79
1,Busa,0,243
2,Herero,0,1144
3,Mbukushu,0,1010
4,Longto,0,441
5,Ngwe,0,992
6,Mambwe-Lungu,0,1249
7,Eloyi,0,126
9,Selee,0,364
10,Xamtanga,0,2165
11,Budu,0,778
12,Wongo,0,483
13,Mwali Comorian,0,257
14,Wolaytta,0,1324
15,Kunyi,0,159
16,Nyambo,0,1513
17,Nateni,0,454
18,Kangaki-Kagbaaga-Kajoko Bidyogo,0,15
19,Kwambi,0,1091
20,Bomitaba,0,316
21,Ashe,0,667
22,Ut-Main,0,323
23,Tuki,0,581
25,Ngiemboon,0,1797
26,Pinyin,0,1841
27,Hangaza,0,1353
28,Ejagham,0,220
29,Yemba,0,1324
30,Nias,0,0
31,Biak,0,187
