Glottocode,language,nasal,elevation
kupa1239,Kupang Malay,4,369
kura1250,Kuranko,18,474
kuwa1246,Kuwaataay,4,5
kwam1249,Kwama,2,1286
kwam1250,Kwami,2,708
kwam1251,Kwambi,4,1091
kwan1273,Kwangali,4,1124
kwan1276,Kwanja,4,1014
kway1241,Kwaya,3,1152
kwes1244,Kwese,2,795
kyen1242,Kyenga,9,203
lagw1237,Lagwan,2,300
lama1288,Lamang,4,1015
lang1322,Lango (Sudan),4,776
lang1324,Lango (Uganda),4,1052
lara1260,Larantuka Malay,4,757
lega1249,Lega-Shabunda,3,633
legb1242,Legbo,7,29
lele1266,Lele (Guinea),3,925
lele1276,Lele (Chad),4,399
leng1258,Lengola,3,468
lese1243,Lese,2,973
leti1246,Leti (Indonesia),2,252
libe1240,Kru Pidgin English,9,42
lika1243,Liko,3,763
limb1268,Limbum,20,1057
logb1245,Logba,4,157
logo1259,Logo,4,901
loma1260,Loma (Liberia),17,474
long1387,Longto,5,441
lumu1239,Lumun,5,728
luwo1239,Luwo,5,496
maay1238,Maay,3,496
maba1273,Mabaan,4,428
mach1266,Machame,4,1072
mada1282,Mada (Nigeria),8,470
maka1311,Makasar,4,0
mala1481,Manado Malay,4,41
mamb1296,Mambwe-Lungu,4,1249
mamp1244,Mampruli,5,152
mann1248,Mann,12,244
many1261,Manya,3,568
masa1299,Masaaba,10,1666
matu1259,Matumbi,4,257
mawa1270,Mawa (Chad),4,544
mayo1261,Mayogo,3,760
mbal1255,Mbalanhu,7,1310
mbay1241,Mbay,7,460
mbee1249,Mbe,5,124
mbee1250,Mbe',7,754
mboc1235,Mbo (Cameroon),8,835
mbuk1240,Mbukushu,4,1010
mbuk1243,Mbuko,2,480
mbuu1238,Ajumbu,3,771
meen1242,Me'en,4,1009
mere1246,Merey,3,787
meru1245,Meru,4,1254
mesq1240,Mesqan,4,2134
mfum1238,Southern Mfumte,6,662
mina1268,Minangkabau,4,10
mmaa1238,Mmaala,4,484
moch1256,Mochi,3,892
mofu1248,Mofu-Gudur,2,730
moke1242,Moken,4,0
mokl1243,Moklen,4,17
mokp1239,Mokpwe,3,2301
molo1266,Moloko,2,454
mong1338,Mongo,7,381
mono1269,Mono (Cameroon),16,233
mori1268,Mori Bawah,3,541
mori1278,Morisyen,5,464
moro1284,Morokodo,4,574
moru1253,Moru,4,651
mpad1242,Mpade,2,290
mund1325,Mundang,14,390
mund1328,Mundabli,4,730
muya1243,Muyang,2,410
mwal1237,Mwali Comorian,3,257
mwan1247,Mwani,3,18
myen1241,Myene,4,26
nari1240,Narim,4,578
nate1242,Nateni,10,454
nawu1242,Nawuri,6,120
ncan1245,Ncane,10,960
ndai1238,Ndai,12,636
ndal1241,Ndali,4,1134
ndam1239,Ndamba,3,280
ndog1248,Ndogo,2,460
ndon1254,Ndonga,24,1095
ndzw1235,Ndzwani Comorian,3,547
ngan1300,Ngandyera,7,1079
ngas1238,Ngasa,4,1807
ngaz1238,Ngazidja Comorian,3,475
ngie1241,Ngiemboon,3,1797
ngit1239,Ngiti,3,1617
ngom1272,Ngomba,3,1454
ngwe1238,Ngwe,4,992
nias1242,Nias,2,0
niel1243,Niellim,15,358
nige1253,Hausa States Fulfulde,12,363
njeb1242,Njebi,4,728
njye1238,Njyem,3,595
nkon1248,Nkonya,12,95
nort2795,Zimbabwean Ndebele,4,1179
nort2819,Northern Bobo Madaré,10,467
nort2828,North Moluccan Malay,4,79
nort3047,North Giziga,2,488
ntch1242,Ntcham,18,243
ntom1248,Ntomba,3,292
nucl1440,Masalit,5,815
nucl1460,Madurese,4,108
nucl1683,Daba,2,813
nucl1696,Tangale,3,565
nuer1246,Nuer,5,409
nugu1242,Nugunu (Cameroon),4,481
nyam1277,Nyambo,5,1513
nyam1285,Nyam,4,244
nyol1238,Nyole,4,1066
nzim1238,Nzima,10,19
olub1238,Olu'bo,4,721
opuu1239,T'apo,2,419
orma1241,Orma,3,141
otor1240,Otoro,5,752
otuh1238,Otuho,5,809
palo1243,Palor,4,100
pamp1243,Pampanga,3,29
pang1287,Pangwa,4,1313
pang1290,Pangasinan,3,15
pero1241,Pero,3,319
piny1238,Pinyin,9,1841
poko1263,Pökoot,4,1866
prin1242,Principense,3,469
reel1238,Reel,5,431
reun1238,Réunion Creole French,8,1722
rong1268,Ronga,9,69
