,language,sonorant,elevation
kupa1239,Kupang Malay,14,369
kura1250,Kuranko,36,474
kuwa1246,Kuwaataay,18,5
kwam1249,Kwama,11,1286
kwam1250,Kwami,16,708
kwam1251,Kwambi,13,1091
kwan1273,Kwangali,13,1124
kwan1276,Kwanja,25,1014
kway1241,Kwaya,16,1152
kwes1244,Kwese,10,795
kyen1242,Kyenga,20,203
lagw1237,Lagwan,11,300
lama1288,Lamang,12,1015
lang1322,Lango (Sudan),18,776
lang1324,Lango (Uganda),28,1052
lara1260,Larantuka Malay,14,757
lega1249,Lega-Shabunda,19,633
legb1242,Legbo,25,29
lele1266,Lele (Guinea),14,925
lele1276,Lele (Chad),18,399
leng1258,Lengola,13,468
lese1243,Lese,19,973
leti1246,Leti (Indonesia),16,252
libe1240,Kru Pidgin English,20,42
lika1243,Liko,15,763
limb1268,Limbum,70,1057
logb1245,Logba,15,157
logo1259,Logo,18,901
loma1260,Loma (Liberia),35,474
long1387,Longto,15,441
lumu1239,Lumun,27,728
luwo1239,Luwo,19,496
maay1238,Maay,17,496
maba1273,Mabaan,30,428
mach1266,Machame,20,1072
mada1282,Mada (Nigeria),22,470
maka1311,Makasar,13,0
mala1481,Manado Malay,14,41
mamb1296,Mambwe-Lungu,16,1249
mamp1244,Mampruli,19,152
mann1248,Mann,22,244
many1261,Manya,13,568
masa1299,Masaaba,26,1666
matu1259,Matumbi,12,257
mawa1270,Mawa (Chad),14,544
mayo1261,Mayogo,17,760
mbal1255,Mbalanhu,16,1310
mbay1241,Mbay,26,460
mbee1249,Mbe,16,124
mbee1250,Mbe',23,754
mboc1235,Mbo (Cameroon),41,835
mbuk1240,Mbukushu,14,1010
mbuk1243,Mbuko,14,480
mbuu1238,Ajumbu,17,771
meen1242,Me'en,22,1009
mere1246,Merey,15,787
meru1245,Meru,18,1254
mesq1240,Mesqan,15,2134
mfum1238,Southern Mfumte,21,662
mina1268,Minangkabau,18,10
mmaa1238,Mmaala,16,484
moch1256,Mochi,11,892
mofu1248,Mofu-Gudur,12,730
moke1242,Moken,24,0
mokl1243,Moklen,33,17
mokp1239,Mokpwe,13,2301
molo1266,Moloko,16,454
mong1338,Mongo,19,381
mono1269,Mono (Cameroon),36,233
mori1268,Mori Bawah,10,541
mori1278,Morisyen,17,464
moro1284,Morokodo,19,574
moru1253,Moru,17,651
mpad1242,Mpade,12,290
mund1325,Mundang,39,390
mund1328,Mundabli,20,730
muya1243,Muyang,20,410
mwal1237,Mwali Comorian,10,257
mwan1247,Mwani,12,18
myen1241,Myene,16,26
nari1240,Narim,17,578
nate1242,Nateni,26,454
nawu1242,Nawuri,19,120
ncan1245,Ncane,25,960
ndai1238,Ndai,30,636
ndal1241,Ndali,18,1134
ndam1239,Ndamba,11,280
ndog1248,Ndogo,13,460
ndon1254,Ndonga,57,1095
ndzw1235,Ndzwani Comorian,12,547
ngan1300,Ngandyera,16,1079
ngas1238,Ngasa,21,1807
ngaz1238,Ngazidja Comorian,12,475
ngie1241,Ngiemboon,14,1797
ngit1239,Ngiti,12,1617
ngom1272,Ngomba,12,1454
ngwe1238,Ngwe,21,992
nias1242,Nias,11,0
niel1243,Niellim,39,358
nige1253,Hausa States Fulfulde,43,363
njeb1242,Njebi,15,728
njye1238,Njyem,26,595
nkon1248,Nkonya,22,95
nort2795,Zimbabwean Ndebele,12,1179
nort2819,Northern Bobo Madaré,22,467
nort2828,North Moluccan Malay,14,79
nort3047,North Giziga,9,488
ntch1242,Ntcham,42,243
ntom1248,Ntomba,13,292
nucl1440,Masalit,22,815
nucl1460,Madurese,16,108
nucl1683,Daba,13,813
nucl1696,Tangale,27,565
nuer1246,Nuer,37,409
nugu1242,Nugunu (Cameroon),14,481
nyam1277,Nyambo,18,1513
nyam1285,Nyam,22,244
nyol1238,Nyole,18,1066
nzim1238,Nzima,22,19
olub1238,Olu'bo,17,721
opuu1239,T'apo,11,419
orma1241,Orma,17,141
otor1240,Otoro,26,752
otuh1238,Otuho,34,809
palo1243,Palor,25,100
pamp1243,Pampanga,11,29
pang1287,Pangwa,18,1313
pang1290,Pangasinan,11,15
pero1241,Pero,17,319
piny1238,Pinyin,31,1841
poko1263,Pökoot,27,1866
prin1242,Principense,15,469
reel1238,Reel,49,431
reun1238,Réunion Creole French,20,1722
rong1268,Ronga,20,69
saam1283,Saamia,18,1194
sand1273,Sandawe,21,1208
saot1239,Sãotomense,20,1073
saxw1241,Saxwe Gbe,18,76
saya1246,Saya,23,596
seba1251,Sebat Bet Gurage,44,2272
sekp1241,Sekpele,16,301
sele1249,Selee,21,364
shan1282,Shanga,20,156
sher1258,Sherbro,14,13
shil1265,Shilluk,35,399
shwa1239,Shwai,19,721
siam1242,Siamou,22,542
silt1240,Silt'e,24,2047
siwi1239,Siwi,21,-7
siwu1238,Siwu,21,234
soni1259,Soninke,28,157
sooo1256,Soo,18,1901
sout2790,Southern Birifor,37,218
sout2795,Southern Nuni,31,327
sout2828,Southern Ma'di,20,659
sout2833,South Central Dinka,46,432
sout2918,Southern Sama,13,21
suba1252,Suba-Simbiti,22,1294
suga1248,Nizaa,38,1263
suku1261,Sukuma,25,1166
sumb1240,Sumbwa,15,1204
tach1250,Tachelhit,12,904
tada1238,Tadaksahak,31,313
taga1270,Tagalog,12,93
teee1242,Tee,22,25
teng1272,Tengger,30,1226
tese1238,Tese,30,618
tetu1245,Tetum,10,317
tiag1235,Tiagbamrin Aizi,15,17
tiey1235,Tiéyaxo Bozo,22,275
tigo1236,Tigon Mbembe,27,255
tigr1271,Tigrinya,14,2332
tira1254,Tira,25,638
tivv1240,Tiv,13,208
toch1257,Tocho,20,661
tong1318,Tonga (Zambia),12,944
tour1242,Toura (Côte d'Ivoire),20,546
tsam1247,Tsamai,24,741
tsot1241,Tsotso,17,1459
tsuv1239,Tsuvadi,33,257
tuki1240,Tuki,17,581
tuli1249,Tulishi,34,623
tumt1243,Tumtum,30,487
tune1261,Tunen,14,708
tuni1251,Tunia,21,364
tupu1244,Tupuri,32,353
uduk1239,Uduk,11,862
umbu1257,Umbundu,20,1239
uppe1455,Upper Guinea Crioulo,14,44
vame1236,Vame,13,412
wand1278,Wandala,14,339
wawa1246,Wawa,24,1214
wehh1238,Weh,16,1065
west2456,Western Xwla Gbe,24,5
west2458,West Central Banda,18,637
wola1242,Wolaytta,11,1324
wong1247,Wongo,14,483
wuzl1236,Wuzlam,12,535
xamt1239,Xamtanga,9,2165
xhos1239,Xhosa,17,1748
xwel1235,Xwela Gbe,24,32
yala1263,Yala,17,65
yans1239,Yansi,29,355
yaoo1241,Yao,14,1194
yemb1246,Yemba,12,1324
yems1235,Yemsa,18,2227
zagh1240,Beria,17,978
zayy1238,Zay,21,1636
zinz1238,Zinza,16,1338
