,language,strident,elevation
kwam1249,Kwama,3,1286
kwam1250,Kwami,5,708
kwam1251,Kwambi,6,1091
kwan1273,Kwangali,4,1124
kwan1276,Kwanja,3,1014
kway1241,Kwaya,2,1152
kwes1244,Kwese,3,795
kyen1242,Kyenga,2,203
lagw1237,Lagwan,6,300
lama1288,Lamang,5,1015
lang1324,Lango (Uganda),4,1052
lara1260,Larantuka Malay,1,757
lega1249,Lega-Shabunda,5,633
legb1242,Legbo,6,29
lele1266,Lele (Guinea),2,925
lele1276,Lele (Chad),1,399
leng1258,Lengola,3,468
lese1243,Lese,4,973
leti1246,Leti (Indonesia),1,252
libe1240,Kru Pidgin English,6,42
lika1243,Liko,4,763
limb1268,Limbum,18,1057
logb1245,Logba,4,157
logo1259,Logo,4,901
loma1260,Loma (Liberia),2,474
long1387,Longto,1,441
maay1238,Maay,3,496
mach1266,Machame,6,1072
mada1282,Mada (Nigeria),3,470
maka1311,Makasar,1,0
mala1481,Manado Malay,1,41
mamb1296,Mambwe-Lungu,5,1249
mamp1244,Mampruli,4,152
mann1248,Mann,2,244
many1261,Manya,3,568
masa1299,Masaaba,7,1666
matu1259,Matumbi,3,257
mawa1270,Mawa (Chad),2,544
mayo1261,Mayogo,5,760
mbal1255,Mbalanhu,4,1310
mbay1241,Mbay,3,460
mbee1249,Mbe,6,124
mbee1250,Mbe',12,754
mboc1235,Mbo (Cameroon),8,835
mbuk1240,Mbukushu,3,1010
mbuk1243,Mbuko,5,480
mbuu1238,Ajumbu,8,771
meen1242,Me'en,3,1009
mere1246,Merey,5,787
meru1245,Meru,2,1254
mesq1240,Mesqan,6,2134
mfum1238,Southern Mfumte,11,662
mina1268,Minangkabau,5,10
mmaa1238,Mmaala,2,484
moch1256,Mochi,3,892
mofu1248,Mofu-Gudur,5,730
moke1242,Moken,3,0
mokl1243,Moklen,2,17
mokp1239,Mokpwe,3,2301
molo1266,Moloko,4,454
mong1338,Mongo,9,381
mono1269,Mono (Cameroon),5,233
mori1268,Mori Bawah,1,541
mori1278,Morisyen,4,464
moro1284,Morokodo,2,574
moru1253,Moru,4,651
mpad1242,Mpade,7,290
mund1325,Mundang,7,390
mund1328,Mundabli,6,730
muya1243,Muyang,5,410
mwal1237,Mwali Comorian,4,257
mwan1247,Mwani,5,18
myen1241,Myene,6,26
nate1242,Nateni,1,454
nawu1242,Nawuri,5,120
ncan1245,Ncane,4,960
ndai1238,Ndai,6,636
ndal1241,Ndali,4,1134
ndam1239,Ndamba,3,280
ndog1248,Ndogo,2,460
ndon1254,Ndonga,25,1095
ndzw1235,Ndzwani Comorian,10,547
ngan1300,Ngandyera,7,1079
ngas1238,Ngasa,2,1807
ngaz1238,Ngazidja Comorian,12,475
ngie1241,Ngiemboon,3,1797
ngit1239,Ngiti,4,1617
ngom1272,Ngomba,3,1454
ngwe1238,Ngwe,4,992
nias1242,Nias,3,0
niel1243,Niellim,1,358
nige1253,Hausa States Fulfulde,11,363
njeb1242,Njebi,3,728
njye1238,Njyem,4,595
nkon1248,Nkonya,2,95
nort2795,Zimbabwean Ndebele,11,1179
nort2828,North Moluccan Malay,2,79
nort3047,North Giziga,5,488
ntch1242,Ntcham,4,243
ntom1248,Ntomba,3,292
nucl1440,Masalit,5,815
nucl1460,Madurese,1,108
nucl1683,Daba,5,813
nucl1696,Tangale,10,565
nugu1242,Nugunu (Cameroon),3,481
nyam1277,Nyambo,4,1513
nyam1285,Nyam,4,244
nyol1238,Nyole,4,1066
nzim1238,Nzima,3,19
olub1238,Olu'bo,5,721
opuu1239,T'apo,4,419
orma1241,Orma,4,141
otuh1238,Otuho,2,809
palo1243,Palor,4,100
pamp1243,Pampanga,3,29
pang1287,Pangwa,4,1313
pang1290,Pangasinan,3,15
piny1238,Pinyin,12,1841
poko1263,Pökoot,2,1866
prin1242,Principense,4,469
reun1238,Réunion Creole French,5,1722
rong1268,Ronga,22,69
saam1283,Saamia,3,1194
sand1273,Sandawe,5,1208
saot1239,Sãotomense,4,1073
saxw1241,Saxwe Gbe,4,76
saya1246,Saya,10,596
seba1251,Sebat Bet Gurage,18,2272
sekp1241,Sekpele,4,301
sele1249,Selee,2,364
shan1282,Shanga,2,156
sher1258,Sherbro,5,13
shwa1239,Shwai,2,721
siam1242,Siamou,2,542
silt1240,Silt'e,14,2047
siwi1239,Siwi,6,-7
siwu1238,Siwu,3,234
soni1259,Soninke,1,157
sooo1256,Soo,2,1901
sout2790,Southern Birifor,3,218
sout2795,Southern Nuni,4,327
sout2828,Southern Ma'di,8,659
sout2918,Southern Sama,1,21
suba1252,Suba-Simbiti,3,1294
suga1248,Nizaa,12,1263
suku1261,Sukuma,3,1166
sumb1240,Sumbwa,5,1204
tach1250,Tachelhit,6,904
tada1238,Tadaksahak,15,313
taga1270,Tagalog,1,93
teee1242,Tee,2,25
teng1272,Tengger,2,1226
tese1238,Tese,2,618
tetu1245,Tetum,1,317
tiag1235,Tiagbamrin Aizi,4,17
tiey1235,Tiéyaxo Bozo,1,275
tigo1236,Tigon Mbembe,14,255
tigr1271,Tigrinya,7,2332
tira1254,Tira,1,638
tivv1240,Tiv,8,208
tong1318,Tonga (Zambia),7,944
tour1242,Toura (Côte d'Ivoire),2,546
tsam1247,Tsamai,10,741
tsot1241,Tsotso,4,1459
tsuv1239,Tsuvadi,4,257
tuki1240,Tuki,4,581
tuli1249,Tulishi,2,623
tumt1243,Tumtum,3,487
tune1261,Tunen,2,708
tuni1251,Tunia,1,364
tupu1244,Tupuri,5,353
uduk1239,Uduk,4,862
umbu1257,Umbundu,1,1239
uppe1455,Upper Guinea Crioulo,4,44
vame1236,Vame,9,412
wand1278,Wandala,10,339
wawa1246,Wawa,4,1214
wehh1238,Weh,10,1065
west2456,Western Xwla Gbe,4,5
west2458,West Central Banda,4,637
wola1242,Wolaytta,6,1324
wong1247,Wongo,3,483
wuzl1236,Wuzlam,4,535
xamt1239,Xamtanga,6,2165
xhos1239,Xhosa,12,1748
xwel1235,Xwela Gbe,4,32
yala1263,Yala,2,65
yans1239,Yansi,2,355
yaoo1241,Yao,3,1194
yemb1246,Yemba,3,1324
yems1235,Yemsa,6,2227
zagh1240,Beria,2,978
zayy1238,Zay,6,1636
zinz1238,Zinza,3,1338
0,South Central Dinka,0,432
1,Jumjum,0,487
2,Mabaan,0,428
3,Shilluk,0,399
4,Pero,0,319
5,Otoro,0,752
7,Lumun,0,728
8,Tocho,0,661
9,Luwo,0,496
10,Acoli,0,867
11,Belanda Bor,0,514
12,Narim,0,578
13,Northern Bobo Madaré,0,467
14,Nuer,0,409
15,Lango (Sudan),0,776
16,Reel,0,431
