Glottocode,language,approximant,elevation
kupa1239,Kupang Malay,10,369
kura1250,Kuranko,32,474
kuwa1246,Kuwaataay,14,5
kwam1249,Kwama,9,1286
kwam1250,Kwami,14,708
kwam1251,Kwambi,9,1091
kwan1273,Kwangali,9,1124
kwan1276,Kwanja,21,1014
kway1241,Kwaya,13,1152
kwes1244,Kwese,8,795
kyen1242,Kyenga,16,203
lagw1237,Lagwan,9,300
lama1288,Lamang,8,1015
lang1322,Lango (Sudan),14,776
lang1324,Lango (Uganda),24,1052
lara1260,Larantuka Malay,10,757
lega1249,Lega-Shabunda,16,633
legb1242,Legbo,18,29
lele1266,Lele (Guinea),11,925
lele1276,Lele (Chad),14,399
leng1258,Lengola,10,468
lese1243,Lese,17,973
leti1246,Leti (Indonesia),14,252
libe1240,Kru Pidgin English,16,42
lika1243,Liko,12,763
limb1268,Limbum,55,1057
logb1245,Logba,11,157
logo1259,Logo,14,901
loma1260,Loma (Liberia),32,474
long1387,Longto,10,441
lumu1239,Lumun,22,728
luwo1239,Luwo,14,496
maay1238,Maay,14,496
maba1273,Mabaan,26,428
mach1266,Machame,16,1072
mada1282,Mada (Nigeria),19,470
maka1311,Makasar,9,0
mala1481,Manado Malay,10,41
mamb1296,Mambwe-Lungu,12,1249
mamp1244,Mampruli,14,152
mann1248,Mann,17,244
many1261,Manya,10,568
masa1299,Masaaba,18,1666
matu1259,Matumbi,8,257
mawa1270,Mawa (Chad),10,544
mayo1261,Mayogo,14,760
mbal1255,Mbalanhu,9,1310
mbay1241,Mbay,24,460
mbee1249,Mbe,11,124
mbee1250,Mbe',16,754
mboc1235,Mbo (Cameroon),33,835
mbuk1240,Mbukushu,10,1010
mbuk1243,Mbuko,12,480
mbuu1238,Ajumbu,14,771
meen1242,Me'en,18,1009
mere1246,Merey,12,787
meru1245,Meru,14,1254
mesq1240,Mesqan,11,2134
mfum1238,Southern Mfumte,15,662
mina1268,Minangkabau,14,10
mmaa1238,Mmaala,12,484
moch1256,Mochi,8,892
mofu1248,Mofu-Gudur,10,730
moke1242,Moken,20,0
mokl1243,Moklen,29,17
mokp1239,Mokpwe,10,2301
molo1266,Moloko,14,454
mong1338,Mongo,12,381
mono1269,Mono (Cameroon),31,233
mori1268,Mori Bawah,7,541
mori1278,Morisyen,14,464
moro1284,Morokodo,15,574
moru1253,Moru,13,651
mpad1242,Mpade,10,290
mund1325,Mundang,34,390
mund1328,Mundabli,16,730
muya1243,Muyang,18,410
mwal1237,Mwali Comorian,7,257
mwan1247,Mwani,9,18
myen1241,Myene,12,26
nari1240,Narim,13,578
nate1242,Nateni,26,454
nawu1242,Nawuri,13,120
ncan1245,Ncane,21,960
ndai1238,Ndai,27,636
ndal1241,Ndali,14,1134
ndam1239,Ndamba,8,280
ndog1248,Ndogo,11,460
ndon1254,Ndonga,33,1095
ndzw1235,Ndzwani Comorian,9,547
ngan1300,Ngandyera,9,1079
ngas1238,Ngasa,17,1807
ngaz1238,Ngazidja Comorian,9,475
ngie1241,Ngiemboon,11,1797
ngit1239,Ngiti,9,1617
ngom1272,Ngomba,9,1454
ngwe1238,Ngwe,17,992
nias1242,Nias,9,0
niel1243,Niellim,35,358
nige1253,Hausa States Fulfulde,31,363
njeb1242,Njebi,11,728
njye1238,Njyem,23,595
nkon1248,Nkonya,17,95
nort2795,Zimbabwean Ndebele,8,1179
nort2819,Northern Bobo Madaré,17,467
nort2828,North Moluccan Malay,10,79
nort3047,North Giziga,7,488
ntch1242,Ntcham,31,243
ntom1248,Ntomba,10,292
nucl1440,Masalit,17,815
nucl1460,Madurese,12,108
nucl1683,Daba,11,813
nucl1696,Tangale,24,565
nuer1246,Nuer,32,409
nugu1242,Nugunu (Cameroon),10,481
nyam1277,Nyambo,13,1513
nyam1285,Nyam,18,244
nyol1238,Nyole,14,1066
nzim1238,Nzima,17,19
olub1238,Olu'bo,13,721
opuu1239,T'apo,9,419
orma1241,Orma,14,141
otor1240,Otoro,21,752
otuh1238,Otuho,29,809
palo1243,Palor,21,100
pamp1243,Pampanga,8,29
pang1287,Pangwa,14,1313
pang1290,Pangasinan,8,15
pero1241,Pero,14,319
piny1238,Pinyin,22,1841
poko1263,Pökoot,23,1866
prin1242,Principense,12,469
reel1238,Reel,44,431
reun1238,Réunion Creole French,16,1722
rong1268,Ronga,11,69
saam1283,Saamia,14,1194
sand1273,Sandawe,19,1208
saot1239,Sãotomense,17,1073
saxw1241,Saxwe Gbe,15,76
saya1246,Saya,16,596
seba1251,Sebat Bet Gurage,34,2272
sekp1241,Sekpele,12,301
sele1249,Selee,14,364
shan1282,Shanga,16,156
sher1258,Sherbro,10,13
shil1265,Shilluk,30,399
shwa1239,Shwai,15,721
siam1242,Siamou,18,542
silt1240,Silt'e,18,2047
siwi1239,Siwi,18,-7
siwu1238,Siwu,18,234
soni1259,Soninke,20,157
sooo1256,Soo,14,1901
sout2790,Southern Birifor,33,218
sout2795,Southern Nuni,24,327
sout2828,Southern Ma'di,15,659
sout2833,South Central Dinka,41,432
sout2918,Southern Sama,9,21
suba1252,Suba-Simbiti,18,1294
suga1248,Nizaa,32,1263
suku1261,Sukuma,17,1166
sumb1240,Sumbwa,13,1204
tach1250,Tachelhit,10,904
tada1238,Tadaksahak,23,313
taga1270,Tagalog,9,93
teee1242,Tee,18,25
teng1272,Tengger,26,1226
tese1238,Tese,23,618
tetu1245,Tetum,8,317
tiag1235,Tiagbamrin Aizi,11,17
tiey1235,Tiéyaxo Bozo,18,275
tigo1236,Tigon Mbembe,16,255
tigr1271,Tigrinya,11,2332
tira1254,Tira,21,638
tivv1240,Tiv,9,208
toch1257,Tocho,15,661
tong1318,Tonga (Zambia),8,944
tour1242,Toura (Côte d'Ivoire),17,546
tsam1247,Tsamai,18,741
tsot1241,Tsotso,13,1459
tsuv1239,Tsuvadi,28,257
tuki1240,Tuki,13,581
tuli1249,Tulishi,27,623
tumt1243,Tumtum,22,487
tune1261,Tunen,10,708
tuni1251,Tunia,17,364
tupu1244,Tupuri,29,353
uduk1239,Uduk,9,862
umbu1257,Umbundu,16,1239
uppe1455,Upper Guinea Crioulo,10,44
vame1236,Vame,9,412
wand1278,Wandala,9,339
wawa1246,Wawa,19,1214
wehh1238,Weh,12,1065
west2456,Western Xwla Gbe,21,5
west2458,West Central Banda,15,637
wola1242,Wolaytta,10,1324
wong1247,Wongo,10,483
wuzl1236,Wuzlam,9,535
xamt1239,Xamtanga,9,2165
xhos1239,Xhosa,10,1748
xwel1235,Xwela Gbe,21,32
yala1263,Yala,12,65
yans1239,Yansi,26,355
yaoo1241,Yao,10,1194
yemb1246,Yemba,9,1324
yems1235,Yemsa,14,2227
zagh1240,Beria,13,978
zayy1238,Zay,18,1636
zinz1238,Zinza,13,1338
