,language,spreadGlottis,elevation
jola1262,Jola-Esulalu,1,18
kagf1238,Ut-Main,2,323
kagu1239,Kagulu,1,1176
kahe1238,Kahe,1,707
kaka1265,Kakabe,1,996
kako1242,Kako,1,594
kamb1299,Kambera,1,325
kamb1316,Kambaata,1,2120
kara1483,Karamojong,13,1142
kare1338,Kare (Central African Republic),1,997
keli1248,Keliko,1,1167
keme1240,Kemezung,1,910
kgal1244,Kgalagadi,11,1046
kips1239,Kipsigis,3,1984
kisa1263,Kisa,1,1434
kist1241,Kistane,3,2644
komo1258,Komo (Sudan),1,767
koor1239,Koorete,6,2321
koya1253,Koyaga,2,365
koyr1240,Koyra Chiini Songhay,1,264
koyr1242,Koyraboro Senni Songhai,1,261
krim1238,Krim,1,16
krio1253,Krio,1,11
kung1261,North-Central Ju,11,1653
kuny1238,Kunyi,1,159
kuoo1238,Kuo,1,568
kura1250,Kuranko,1,474
kuwa1246,Kuwaataay,1,5
kwam1249,Kwama,1,1286
kwam1250,Kwami,1,708
kwam1251,Kwambi,1,1091
kwan1273,Kwangali,1,1124
kwan1276,Kwanja,1,1014
kwes1244,Kwese,4,795
kyen1242,Kyenga,1,203
lele1266,Lele (Guinea),1,925
lele1276,Lele (Chad),1,399
lese1243,Lese,1,973
lika1243,Liko,1,763
limb1268,Limbum,3,1057
logb1245,Logba,1,157
logo1259,Logo,1,901
loma1260,Loma (Liberia),3,474
maay1238,Maay,1,496
mada1282,Mada (Nigeria),4,470
maka1311,Makasar,1,0
mamp1244,Mampruli,1,152
masa1299,Masaaba,1,1666
mawa1270,Mawa (Chad),1,544
mayo1261,Mayogo,1,760
mbal1255,Mbalanhu,1,1310
mbay1241,Mbay,1,460
mbee1249,Mbe,1,124
mboc1235,Mbo (Cameroon),1,835
mbuk1240,Mbukushu,1,1010
mbuk1243,Mbuko,2,480
meen1242,Me'en,1,1009
mere1246,Merey,2,787
mesq1240,Mesqan,3,2134
mfum1238,Southern Mfumte,5,662
mina1268,Minangkabau,1,10
moch1256,Mochi,1,892
mofu1248,Mofu-Gudur,2,730
moke1242,Moken,5,0
mokl1243,Moklen,5,17
mokp1239,Mokpwe,1,2301
molo1266,Moloko,2,454
mong1338,Mongo,1,381
mono1269,Mono (Cameroon),1,233
mori1268,Mori Bawah,1,541
moro1284,Morokodo,2,574
moru1253,Moru,1,651
mpad1242,Mpade,1,290
mund1325,Mundang,1,390
nari1240,Narim,1,578
nate1242,Nateni,1,454
nawu1242,Nawuri,1,120
ncan1245,Ncane,1,960
ndai1238,Ndai,1,636
ndal1241,Ndali,1,1134
ndam1239,Ndamba,1,280
ndon1254,Ndonga,2,1095
ndzw1235,Ndzwani Comorian,1,547
ngas1238,Ngasa,1,1807
ngaz1238,Ngazidja Comorian,1,475
ngit1239,Ngiti,1,1617
ngwe1238,Ngwe,1,992
nias1242,Nias,1,0
niel1243,Niellim,1,358
nige1253,Hausa States Fulfulde,2,363
nkon1248,Nkonya,1,95
nort2795,Zimbabwean Ndebele,7,1179
nort2819,Northern Bobo Madaré,1,467
nort3047,North Giziga,1,488
ntch1242,Ntcham,5,243
ntom1248,Ntomba,1,292
nucl1440,Masalit,1,815
nucl1460,Madurese,6,108
nucl1696,Tangale,1,565
nuer1246,Nuer,19,409
nugu1242,Nugunu (Cameroon),1,481
nyam1277,Nyambo,1,1513
nyam1285,Nyam,2,244
nzim1238,Nzima,1,19
opuu1239,T'apo,1,419
orma1241,Orma,1,141
otuh1238,Otuho,2,809
pamp1243,Pampanga,1,29
pang1287,Pangwa,3,1313
poko1263,Pökoot,4,1866
reel1238,Reel,19,431
rong1268,Ronga,15,69
saam1283,Saamia,1,1194
sand1273,Sandawe,5,1208
saxw1241,Saxwe Gbe,2,76
seba1251,Sebat Bet Gurage,9,2272
sele1249,Selee,1,364
shan1282,Shanga,1,156
sher1258,Sherbro,1,13
shil1265,Shilluk,1,399
siam1242,Siamou,1,542
silt1240,Silt'e,1,2047
siwi1239,Siwi,1,-7
soni1259,Soninke,1,157
sout2790,Southern Birifor,1,218
sout2795,Southern Nuni,1,327
sout2828,Southern Ma'di,1,659
sout2833,South Central Dinka,20,432
sout2918,Southern Sama,1,21
suba1252,Suba-Simbiti,1,1294
suga1248,Nizaa,1,1263
suku1261,Sukuma,13,1166
sumb1240,Sumbwa,1,1204
tach1250,Tachelhit,1,904
tada1238,Tadaksahak,2,313
taga1270,Tagalog,1,93
teee1242,Tee,1,25
teng1272,Tengger,12,1226
tetu1245,Tetum,1,317
tiey1235,Tiéyaxo Bozo,4,275
tigo1236,Tigon Mbembe,1,255
tigr1271,Tigrinya,1,2332
tivv1240,Tiv,1,208
tong1318,Tonga (Zambia),1,944
tsam1247,Tsamai,2,741
tsot1241,Tsotso,1,1459
tsuv1239,Tsuvadi,1,257
tuki1240,Tuki,1,581
tuli1249,Tulishi,1,623
tuni1251,Tunia,1,364
tupu1244,Tupuri,1,353
uduk1239,Uduk,1,862
umbu1257,Umbundu,2,1239
vame1236,Vame,2,412
wand1278,Wandala,2,339
wawa1246,Wawa,1,1214
west2458,West Central Banda,1,637
wola1242,Wolaytta,3,1324
wuzl1236,Wuzlam,1,535
xamt1239,Xamtanga,1,2165
xhos1239,Xhosa,29,1748
yems1235,Yemsa,1,2227
zagh1240,Beria,1,978
zayy1238,Zay,1,1636
zinz1238,Zinza,1,1338
0,Bana,0,851
1,Busa,0,243
2,Cebaara Senoufo,0,390
3,Lega-Shabunda,0,633
4,Myene,0,26
5,Tunen,0,708
6,Matumbi,0,257
7,Yao,0,1194
8,Longto,0,441
9,Xwela Gbe,0,32
10,Western Xwla Gbe,0,5
11,Kotafon Gbe,0,60
12,Gbesi Gbe,0,62
13,Machame,0,1072
14,Jowulu,0,512
15,Yala,0,65
16,Mambwe-Lungu,0,1249
17,Kete,0,889
18,Afitti,0,568
19,Dghwede,0,606
20,Eloyi,0,126
21,Huba,0,541
22,Pan,0,242
23,Krache,0,132
24,Jumjum,0,487
25,Burun,0,575
26,Olu'bo,0,721
27,Mabaan,0,428
28,Siwu,0,234
30,Palor,0,100
31,Sekpele,0,301
32,Yansi,0,355
33,Kele-Foma,0,424
34,Lengola,0,468
35,Wongo,0,483
36,Mwali Comorian,0,257
37,Avikam,0,11
