,language,long,elevation
tsam1247,Tsamai,33,741
tsot1241,Tsotso,5,1459
tsuv1239,Tsuvadi,17,257
tuki1240,Tuki,3,581
tuli1249,Tulishi,27,623
tumt1243,Tumtum,21,487
tupu1244,Tupuri,13,353
wand1278,Wandala,3,339
wawa1246,Wawa,8,1214
wola1242,Wolaytta,20,1324
yans1239,Yansi,11,355
yems1235,Yemsa,5,2227
zayy1238,Zay,7,1636
zinz1238,Zinza,5,1338
0,Anyin,0,181
1,Anufo,0,137
2,Dibole,0,321
3,Bana,0,851
4,Baka (Sudan),0,885
5,Aja (Sudan),0,609
6,Bila,0,788
7,Busa,0,243
8,Herero,0,1144
9,Myene,0,26
10,Tunen,0,708
11,Matumbi,0,257
12,Yao,0,1194
13,Umbundu,0,1239
14,Ndonga,0,1095
15,Mbukushu,0,1010
16,Diriku,0,1093
17,Kwangali,0,1124
19,Mongo,0,381
20,Longto,0,441
21,Xwela Gbe,0,32
22,Western Xwla Gbe,0,5
23,Kotafon Gbe,0,60
24,Gbesi Gbe,0,62
25,Mada (Nigeria),0,470
26,Mbe,0,124
27,Ngwe,0,992
28,Yala,0,65
29,Kete,0,889
30,Kwese,0,795
31,Southern Ma'di,0,659
32,Moru,0,651
33,Logo,0,901
34,Afitti,0,568
35,Avatime,0,171
36,Abua,0,10
37,Dghwede,0,606
38,Eloyi,0,126
39,Gikyode,0,257
40,Ginyanga,0,306
41,Huba,0,541
42,Krache,0,132
43,West Central Banda,0,637
44,Olu'bo,0,721
46,Xhosa,0,1748
47,Siwu,0,234
48,Sherbro,0,13
50,Cherepon,0,201
52,Sekpele,0,301
53,Tonga (Zambia),0,944
54,Selee,0,364
55,Tiv,0,208
56,Bilin,0,1678
57,Xamtanga,0,2165
58,Liko,0,763
59,Budu,0,778
60,Kele-Foma,0,424
61,Lengola,0,468
62,Keliko,0,1167
63,Wongo,0,483
64,Mwali Comorian,0,257
65,Tigrinya,0,2332
66,Avikam,0,11
67,Hai//om,0,1418
68,Kunyi,0,159
69,Kamwe,0,576
70,Manya,0,568
71,Njebi,0,728
72,Tira,0,638
73,Fali,0,776
74,Mawa (Chad),0,544
75,East Taa,0,1127
76,Kagulu,0,1176
78,Tee,0,25
79,Holoholo,0,798
80,Nzima,0,19
81,Ahanta,0,37
82,Buwal,0,600
83,Hdi,0,588
84,Lamang,0,1015
85,Ikwere,0,24
86,Lagwan,0,300
87,Gbaya-Mbodomo,0,697
88,Mbuko,0,480
89,Moloko,0,454
90,Muyang,0,410
91,Ngomba,0,1454
92,Kemezung,0,910
93,Weh,0,1065
94,Morokodo,0,574
95,Aringa,0,870
96,Tocho,0,661
97,Dagik,0,454
98,Acoli,0,867
99,Belanda Bor,0,514
100,Belanda Viri,0,501
101,Ndogo,0,460
102,Pichi,0,66
103,Mwani,0,18
104,Kgalagadi,0,1046
105,Tiéyaxo Bozo,0,275
106,Degema,0,1
107,Principense,0,469
108,Nkonya,0,95
110,Kistane,0,2644
111,Mesqan,0,2134
112,Sebat Bet Gurage,0,2272
116,Inor,0,2043
117,Ngiti,0,1617
118,Soo,0,1901
119,Bench,0,2236
121,Komo (Sudan),0,767
122,Uduk,0,862
123,T'apo,0,419
124,Kwama,0,1286
125,Mayogo,0,760
126,Southern Nuni,0,327
127,Zimbabwean Ndebele,0,1179
128,Saxwe Gbe,0,76
129,Narim,0,578
130,Kangaki-Kagbaaga-Kajoko Bidyogo,0,15
131,Dompo,0,228
132,Ebang,0,835
133,Koyaga,0,365
134,Shwai,0,721
135,Gaa,0,545
136,Kuanyama,0,1128
137,Mbalanhu,0,1310
138,Kwambi,0,1091
139,Ngandyera,0,1079
140,Beria,0,978
141,Bomitaba,0,316
142,Northern Bobo Madaré,0,467
143,Guinea Kpelle,0,446
144,Lele (Guinea),0,925
145,Mann,0,244
146,Kyenga,0,203
147,Shanga,0,156
148,Abure,0,4
149,Bankon,0,84
151,Abidji,0,96
152,Adioukrou,0,68
153,Tiagbamrin Aizi,0,17
154,Alladian,0,14
155,Ashe,0,667
156,Ngazidja Comorian,0,475
157,Akpes,0,294
158,Eten,0,1256
159,Izere,0,1041
160,Logba,0,157
161,Awngi,0,2024
162,Àhàn,0,302
163,Ayere,0,396
164,Ronga,0,69
165,Ndzwani Comorian,0,547
166,Attié,0,72
167,Angolar,0,104
168,Upper Guinea Crioulo,0,44
169,Kru Pidgin English,0,42
170,Gban,0,166
171,Sãotomense,0,1073
172,Morisyen,0,464
173,Krio,0,11
174,Kituba (Democratic Republic of Congo),0,342
175,Baka (Cameroon),0,548
176,Bum,0,1322
177,Daba,0,813
178,Gavar,0,622
179,Lango (Sudan),0,776
180,Igo,0,722
181,Kako,0,594
182,Merey,0,787
183,Chonyi-Dzihana-Kauma,0,65
184,Digo,0,19
185,Duruma,0,221
186,Giryama,0,122
189,Vame,0,412
190,Mmaala,0,484
191,Mpade,0,290
192,Mbe',0,754
193,Southern Mfumte,0,662
194,Buamu,0,319
195,Kabuverdianu,0,467
196,Bouna Kulango,0,251
197,Central Moroccan Berber,0,1354
198,Ndamba,0,280
199,Mungbam,0,777
200,Mundabli,0,730
201,Ajumbu,0,771
202,Koshin,0,812
203,Fang (Cameroon),0,749
204,North Giziga,0,488
206,Mokpwe,0,2301
207,Siamou,0,542
208,Ngiemboon,0,1797
209,Nugunu (Cameroon),0,481
210,Wuzlam,0,535
211,Lese,0,973
212,Gweno,0,1062
213,Mochi,0,892
214,Tachelhit,0,904
215,Tunia,0,364
216,Ejagham,0,220
217,Yemba,0,1324
218,Anii,0,395
219,Nawuri,0,120
220,Ntomba,0,292
221,Iyive,0,380
222,Batak Karo,0,7
223,Tagalog,0,93
224,Southern Sama,0,21
225,Kimaragang,0,258
226,Lemeting,0,18
227,Iloko,0,287
228,Eastern Cham,0,24
229,Nias,0,0
230,Javanese,0,112
231,Buol,0,134
232,Makasar,0,0
233,Mori Bawah,0,541
234,Tetum,0,317
235,East Makian,0,308
236,Biak,0,187
237,Ambonese Malay,0,176
238,Banda Malay,0,260
239,Manado Malay,0,41
240,Kupang Malay,0,369
241,Larantuka Malay,0,757
242,North Moluccan Malay,0,79
243,Indonesian,0,556
244,Madurese,0,108
245,Cebuano,0,372
246,Balinese,0,1283
247,Buginese,0,62
248,Coastal-Naga Bikol,0,182
249,Hiligaynon,0,74
250,Pampanga,0,29
251,Minangkabau,0,10
252,Pangasinan,0,15
253,Tengger,0,1226
