,language,labial,elevation
kupa1239,Kupang Malay,7,369
kura1250,Kuranko,22,474
kuwa1246,Kuwaataay,10,5
kwam1249,Kwama,7,1286
kwam1250,Kwami,13,708
kwam1251,Kwambi,10,1091
kwan1273,Kwangali,9,1124
kwan1276,Kwanja,15,1014
kway1241,Kwaya,10,1152
kwes1244,Kwese,9,795
kyen1242,Kyenga,13,203
lagw1237,Lagwan,14,300
lama1288,Lamang,14,1015
lang1322,Lango (Sudan),8,776
lang1324,Lango (Uganda),12,1052
lara1260,Larantuka Malay,7,757
lega1249,Lega-Shabunda,12,633
legb1242,Legbo,20,29
lele1266,Lele (Guinea),10,925
lele1276,Lele (Chad),13,399
leng1258,Lengola,13,468
lese1243,Lese,18,973
leti1246,Leti (Indonesia),8,252
libe1240,Kru Pidgin English,13,42
lika1243,Liko,16,763
limb1268,Limbum,37,1057
logb1245,Logba,11,157
logo1259,Logo,11,901
loma1260,Loma (Liberia),22,474
long1387,Longto,10,441
lumu1239,Lumun,11,728
luwo1239,Luwo,8,496
maay1238,Maay,9,496
maba1273,Mabaan,8,428
mach1266,Machame,13,1072
mada1282,Mada (Nigeria),14,470
maka1311,Makasar,6,0
mala1481,Manado Malay,7,41
mamb1296,Mambwe-Lungu,10,1249
mamp1244,Mampruli,12,152
mann1248,Mann,18,244
many1261,Manya,10,568
masa1299,Masaaba,26,1666
matu1259,Matumbi,6,257
mawa1270,Mawa (Chad),8,544
mayo1261,Mayogo,16,760
mbal1255,Mbalanhu,10,1310
mbay1241,Mbay,14,460
mbee1249,Mbe,12,124
mbee1250,Mbe',32,754
mboc1235,Mbo (Cameroon),19,835
mbuk1240,Mbukushu,9,1010
mbuk1243,Mbuko,17,480
mbuu1238,Ajumbu,11,771
meen1242,Me'en,11,1009
mere1246,Merey,15,787
meru1245,Meru,10,1254
mesq1240,Mesqan,14,2134
mfum1238,Southern Mfumte,36,662
mina1268,Minangkabau,7,10
mmaa1238,Mmaala,12,484
moch1256,Mochi,8,892
mofu1248,Mofu-Gudur,14,730
moke1242,Moken,12,0
mokl1243,Moklen,13,17
mokp1239,Mokpwe,14,2301
molo1266,Moloko,15,454
mong1338,Mongo,25,381
mono1269,Mono (Cameroon),24,233
mori1268,Mori Bawah,8,541
mori1278,Morisyen,9,464
