,language,dorsal,elevation
kupa1239,Kupang Malay,14,369
kura1250,Kuranko,38,474
kuwa1246,Kuwaataay,16,5
kwam1249,Kwama,10,1286
kwam1250,Kwami,18,708
kwam1251,Kwambi,14,1091
kwan1273,Kwangali,11,1124
kwan1276,Kwanja,26,1014
kway1241,Kwaya,16,1152
kwes1244,Kwese,9,795
kyen1242,Kyenga,20,203
lagw1237,Lagwan,17,300
lama1288,Lamang,18,1015
lang1322,Lango (Sudan),16,776
lang1324,Lango (Uganda),26,1052
lara1260,Larantuka Malay,14,757
lega1249,Lega-Shabunda,19,633
legb1242,Legbo,27,29
lele1266,Lele (Guinea),13,925
lele1276,Lele (Chad),19,399
leng1258,Lengola,13,468
lese1243,Lese,16,973
leti1246,Leti (Indonesia),13,252
libe1240,Kru Pidgin English,20,42
lika1243,Liko,21,763
limb1268,Limbum,69,1057
logb1245,Logba,16,157
logo1259,Logo,17,901
loma1260,Loma (Liberia),36,474
long1387,Longto,18,441
lumu1239,Lumun,24,728
luwo1239,Luwo,18,496
maay1238,Maay,17,496
maba1273,Mabaan,30,428
mach1266,Machame,19,1072
mada1282,Mada (Nigeria),21,470
maka1311,Makasar,13,0
mala1481,Manado Malay,14,41
mamb1296,Mambwe-Lungu,16,1249
mamp1244,Mampruli,18,152
mann1248,Mann,24,244
many1261,Manya,13,568
masa1299,Masaaba,32,1666
matu1259,Matumbi,10,257
mawa1270,Mawa (Chad),14,544
mayo1261,Mayogo,21,760
mbal1255,Mbalanhu,13,1310
mbay1241,Mbay,24,460
mbee1249,Mbe,17,124
mbee1250,Mbe',27,754
mboc1235,Mbo (Cameroon),41,835
mbuk1240,Mbukushu,13,1010
mbuk1243,Mbuko,18,480
mbuu1238,Ajumbu,20,771
meen1242,Me'en,24,1009
mere1246,Merey,17,787
meru1245,Meru,15,1254
mesq1240,Mesqan,21,2134
mfum1238,Southern Mfumte,44,662
mina1268,Minangkabau,17,10
mmaa1238,Mmaala,17,484
moch1256,Mochi,12,892
mofu1248,Mofu-Gudur,16,730
moke1242,Moken,24,0
mokl1243,Moklen,33,17
mokp1239,Mokpwe,15,2301
molo1266,Moloko,18,454
mong1338,Mongo,24,381
mono1269,Mono (Cameroon),35,233
mori1268,Mori Bawah,10,541
mori1278,Morisyen,15,464
moro1284,Morokodo,26,574
moru1253,Moru,17,651
mpad1242,Mpade,15,290
mund1325,Mundang,38,390
mund1328,Mundabli,21,730
muya1243,Muyang,20,410
mwal1237,Mwali Comorian,10,257
mwan1247,Mwani,11,18
myen1241,Myene,15,26
nari1240,Narim,19,578
nate1242,Nateni,30,454
nawu1242,Nawuri,18,120
ncan1245,Ncane,24,960
ndai1238,Ndai,31,636
ndal1241,Ndali,17,1134
ndam1239,Ndamba,11,280
ndog1248,Ndogo,15,460
ndon1254,Ndonga,54,1095
ndzw1235,Ndzwani Comorian,12,547
ngan1300,Ngandyera,14,1079
ngas1238,Ngasa,18,1807
ngaz1238,Ngazidja Comorian,12,475
ngie1241,Ngiemboon,14,1797
ngit1239,Ngiti,19,1617
ngom1272,Ngomba,13,1454
ngwe1238,Ngwe,21,992
nias1242,Nias,11,0
niel1243,Niellim,40,358
nige1253,Hausa States Fulfulde,42,363
njeb1242,Njebi,14,728
njye1238,Njyem,27,595
nkon1248,Nkonya,22,95
nort2795,Zimbabwean Ndebele,17,1179
nort2819,Northern Bobo Madaré,24,467
nort2828,North Moluccan Malay,15,79
nort3047,North Giziga,11,488
ntch1242,Ntcham,43,243
ntom1248,Ntomba,14,292
nucl1440,Masalit,19,815
nucl1460,Madurese,18,108
nucl1683,Daba,17,813
nucl1696,Tangale,27,565
nuer1246,Nuer,36,409
nugu1242,Nugunu (Cameroon),15,481
nyam1277,Nyambo,16,1513
nyam1285,Nyam,29,244
nyol1238,Nyole,18,1066
nzim1238,Nzima,27,19
olub1238,Olu'bo,20,721
opuu1239,T'apo,10,419
orma1241,Orma,16,141
otor1240,Otoro,25,752
otuh1238,Otuho,31,809
palo1243,Palor,24,100
pamp1243,Pampanga,9,29
pang1287,Pangwa,18,1313
pang1290,Pangasinan,10,15
pero1241,Pero,17,319
