Glottocode,language,round,elevation
ntom1248,Ntomba,4,292
nucl1440,Masalit,5,815
nucl1460,Madurese,3,108
nucl1683,Daba,7,813
nucl1696,Tangale,22,565
nuer1246,Nuer,13,409
nugu1242,Nugunu (Cameroon),4,481
nyam1277,Nyambo,5,1513
nyam1285,Nyam,11,244
nyol1238,Nyole,5,1066
nzim1238,Nzima,12,19
olub1238,Olu'bo,5,721
opuu1239,T'apo,3,419
orma1241,Orma,5,141
otor1240,Otoro,10,752
otuh1238,Otuho,10,809
palo1243,Palor,8,100
pamp1243,Pampanga,3,29
pang1287,Pangwa,4,1313
pang1290,Pangasinan,3,15
pero1241,Pero,5,319
piny1238,Pinyin,25,1841
poko1263,Pökoot,8,1866
prin1242,Principense,4,469
reel1238,Reel,17,431
reun1238,Réunion Creole French,4,1722
rong1268,Ronga,21,69
saam1283,Saamia,5,1194
sand1273,Sandawe,7,1208
saot1239,Sãotomense,5,1073
saxw1241,Saxwe Gbe,8,76
saya1246,Saya,5,596
seba1251,Sebat Bet Gurage,35,2272
sekp1241,Sekpele,5,301
sele1249,Selee,7,364
shan1282,Shanga,6,156
sher1258,Sherbro,3,13
shil1265,Shilluk,11,399
shwa1239,Shwai,5,721
siam1242,Siamou,6,542
silt1240,Silt'e,6,2047
siwi1239,Siwi,5,-7
siwu1238,Siwu,7,234
soni1259,Soninke,6,157
sooo1256,Soo,5,1901
sout2790,Southern Birifor,14,218
sout2795,Southern Nuni,25,327
sout2828,Southern Ma'di,17,659
sout2833,South Central Dinka,16,432
sout2918,Southern Sama,3,21
suba1252,Suba-Simbiti,7,1294
suga1248,Nizaa,31,1263
suku1261,Sukuma,7,1166
sumb1240,Sumbwa,5,1204
tach1250,Tachelhit,7,904
tada1238,Tadaksahak,6,313
taga1270,Tagalog,3,93
teee1242,Tee,10,25
teng1272,Tengger,11,1226
tese1238,Tese,10,618
tetu1245,Tetum,3,317
tiag1235,Tiagbamrin Aizi,4,17
tiey1235,Tiéyaxo Bozo,7,275
tigo1236,Tigon Mbembe,25,255
tigr1271,Tigrinya,3,2332
tira1254,Tira,8,638
tivv1240,Tiv,4,208
toch1257,Tocho,6,661
tong1318,Tonga (Zambia),3,944
tour1242,Toura (Côte d'Ivoire),9,546
tsam1247,Tsamai,6,741
tsot1241,Tsotso,4,1459
tsuv1239,Tsuvadi,13,257
tuki1240,Tuki,6,581
