,language,back,elevation
gaaa1245,Gaa,4,545
gaam1241,Gaam,5,898
gagu1242,Gban,6,166
gamo1243,Gamo,5,1077
gava1241,Gavar,3,622
gbay1281,Gbaya-Mbodomo,4,697
gbes1238,Gbesi Gbe,11,62
ghom1247,Ghomálá',8,1552
giky1238,Gikyode,11,257
giny1241,Ginyanga,11,306
giry1241,Giryama,12,122
glav1244,Glavda,3,410
guin1254,Guinea Kpelle,6,446
gumu1244,Northern Gumuz,5,837
guro1248,Guro,13,276
gwan1268,Gwandara,32,748
gwen1239,Gweno,3,1062
hadi1240,Hadiyya,6,2166
haio1238,Hai//om,4,1418
hang1260,Hangaza,5,1353
hara1271,Harari,5,1841
hdii1240,Hdi,6,588
heib1243,Ebang,4,835
here1253,Herero,3,1144
hili1240,Hiligaynon,3,74
holo1240,Holoholo,4,798
huaa1248,East Taa,35,1127
huba1236,Huba,2,541
idom1241,Idoma,11,236
igoo1238,Igo,4,722
ikwe1242,Ikwere,9,24
ilok1237,Iloko,3,287
indo1316,Indonesian,3,556
inor1238,Inor,15,2043
irig1241,Irigwe,7,1082
iyiv1238,Iyive,4,380
izer1241,Izere,4,1041
jams1239,Jamsay Dogon,11,280
java1254,Javanese,4,112
jere1244,Jere,7,876
jita1239,Jita,4,1286
jola1262,Jola-Esulalu,9,18
jowu1238,Jowulu,10,512
jumj1238,Jumjum,9,487
kabu1256,Kabuverdianu,3,467
kagf1238,Ut-Main,7,323
kagu1239,Kagulu,3,1176
kahe1238,Kahe,7,707
kaka1265,Kakabe,7,996
kako1242,Kako,6,594
kamb1297,Kamba (Kenya),7,971
kamb1299,Kambera,4,325
kamb1316,Kambaata,6,2120
kamw1239,Kamwe,3,576
kang1288,Kanga,20,473
kara1483,Karamojong,16,1142
kare1338,Kare (Central African Republic),11,997
katc1249,Katcha-Kadugli-Miri,30,473
keig1242,Keiga,10,511
kele1255,Kele-Foma,5,424
keli1248,Keliko,3,1167
keme1240,Kemezung,4,910
kete1252,Kete,3,889
kgal1244,Kgalagadi,7,1046
kima1244,Kimaragang,3,258
kips1239,Kipsigis,11,1984
kisa1263,Kisa,5,1434
kist1241,Kistane,4,2644
kitu1246,Kituba (Democratic Republic of Congo),3,342
koal1240,Koalib-Rere,7,732
kofy1242,Pan,5,242
komo1258,Komo (Sudan),3,767
konk1269,Konkomba,8,149
koor1239,Koorete,5,2321
kosh1246,Koshin,4,812
kota1272,Kotafon Gbe,11,60
koya1253,Koyaga,7,365
koyr1240,Koyra Chiini Songhay,7,264
koyr1242,Koyraboro Senni Songhai,6,261
krac1238,Krache,11,132
krim1238,Krim,8,16
krio1253,Krio,5,11
kron1241,Krongo,10,453
kuan1247,Kuanyama,3,1128
kung1261,North-Central Ju,13,1653
kuny1238,Kunyi,4,159
kuoo1238,Kuo,11,568
kupa1239,Kupang Malay,3,369
kura1250,Kuranko,13,474
kuwa1246,Kuwaataay,5,5
kwam1249,Kwama,3,1286
kwam1250,Kwami,5,708
kwam1251,Kwambi,3,1091
kwan1273,Kwangali,3,1124
