Glottocode,language,trill,elevation
mbuk1243,Mbuko,1,480
meen1242,Me'en,1,1009
mere1246,Merey,1,787
meru1245,Meru,1,1254
mesq1240,Mesqan,1,2134
mina1268,Minangkabau,1,10
mofu1248,Mofu-Gudur,1,730
molo1266,Moloko,1,454
mong1338,Mongo,1,381
mono1269,Mono (Cameroon),1,233
mori1268,Mori Bawah,1,541
mori1278,Morisyen,1,464
moro1284,Morokodo,3,574
moru1253,Moru,1,651
mpad1242,Mpade,1,290
mund1325,Mundang,1,390
muya1243,Muyang,1,410
mwan1247,Mwani,1,18
myen1241,Myene,2,26
nari1240,Narim,1,578
nawu1242,Nawuri,1,120
ndai1238,Ndai,1,636
ndog1248,Ndogo,1,460
ndzw1235,Ndzwani Comorian,1,547
ngas1238,Ngasa,2,1807
ngaz1238,Ngazidja Comorian,1,475
ngit1239,Ngiti,1,1617
ngwe1238,Ngwe,1,992
niel1243,Niellim,1,358
nige1253,Hausa States Fulfulde,3,363
nort2819,Northern Bobo Madaré,1,467
nort2828,North Moluccan Malay,1,79
nort3047,North Giziga,1,488
nucl1440,Masalit,2,815
nucl1460,Madurese,1,108
nucl1683,Daba,1,813
nucl1696,Tangale,2,565
nuer1246,Nuer,1,409
nyam1277,Nyambo,1,1513
nyam1285,Nyam,1,244
nyol1238,Nyole,1,1066
olub1238,Olu'bo,1,721
opuu1239,T'apo,1,419
otor1240,Otoro,2,752
otuh1238,Otuho,1,809
palo1243,Palor,1,100
pamp1243,Pampanga,1,29
pero1241,Pero,1,319
poko1263,Pökoot,1,1866
prin1242,Principense,1,469
reel1238,Reel,1,431
rong1268,Ronga,1,69
saam1283,Saamia,1,1194
saya1246,Saya,1,596
seba1251,Sebat Bet Gurage,4,2272
shan1282,Shanga,1,156
shwa1239,Shwai,1,721
siam1242,Siamou,1,542
silt1240,Silt'e,2,2047
siwi1239,Siwi,3,-7
siwu1238,Siwu,1,234
soni1259,Soninke,1,157
sooo1256,Soo,1,1901
sout2828,Southern Ma'di,2,659
sout2833,South Central Dinka,1,432
suba1252,Suba-Simbiti,1,1294
tach1250,Tachelhit,1,904
tada1238,Tadaksahak,2,313
taga1270,Tagalog,1,93
teng1272,Tengger,1,1226
tese1238,Tese,1,618
tetu1245,Tetum,1,317
tira1254,Tira,1,638
toch1257,Tocho,1,661
tsam1247,Tsamai,2,741
tsot1241,Tsotso,1,1459
tuki1240,Tuki,1,581
tuli1249,Tulishi,2,623
tumt1243,Tumtum,2,487
tuni1251,Tunia,1,364
tupu1244,Tupuri,1,353
uduk1239,Uduk,1,862
vame1236,Vame,1,412
wand1278,Wandala,1,339
west2456,Western Xwla Gbe,2,5
wuzl1236,Wuzlam,1,535
xamt1239,Xamtanga,1,2165
xwel1235,Xwela Gbe,2,32
yala1263,Yala,1,65
yans1239,Yansi,1,355
zagh1240,Beria,1,978
zayy1238,Zay,1,1636
