Glottocode,language,front,elevation
kupa1239,Kupang Malay,6,369
kura1250,Kuranko,15,474
kuwa1246,Kuwaataay,7,5
kwam1249,Kwama,3,1286
kwam1250,Kwami,5,708
kwam1251,Kwambi,6,1091
kwan1273,Kwangali,4,1124
kwan1276,Kwanja,8,1014
kway1241,Kwaya,7,1152
kwes1244,Kwese,3,795
kyen1242,Kyenga,7,203
lagw1237,Lagwan,3,300
lama1288,Lamang,3,1015
lang1322,Lango (Sudan),8,776
lang1324,Lango (Uganda),12,1052
lara1260,Larantuka Malay,6,757
lega1249,Lega-Shabunda,8,633
legb1242,Legbo,8,29
lele1266,Lele (Guinea),5,925
lele1276,Lele (Chad),6,399
leng1258,Lengola,5,468
lese1243,Lese,7,973
leti1246,Leti (Indonesia),5,252
libe1240,Kru Pidgin English,7,42
lika1243,Liko,10,763
limb1268,Limbum,21,1057
logb1245,Logba,5,157
logo1259,Logo,6,901
loma1260,Loma (Liberia),13,474
long1387,Longto,8,441
lumu1239,Lumun,9,728
luwo1239,Luwo,8,496
maay1238,Maay,7,496
maba1273,Mabaan,14,428
mach1266,Machame,7,1072
mada1282,Mada (Nigeria),6,470
maka1311,Makasar,6,0
mala1481,Manado Malay,6,41
mamb1296,Mambwe-Lungu,6,1249
mamp1244,Mampruli,6,152
mann1248,Mann,8,244
many1261,Manya,5,568
masa1299,Masaaba,16,1666
matu1259,Matumbi,4,257
mawa1270,Mawa (Chad),6,544
mayo1261,Mayogo,7,760
mbal1255,Mbalanhu,6,1310
mbay1241,Mbay,7,460
mbee1249,Mbe,5,124
mbee1250,Mbe',14,754
mboc1235,Mbo (Cameroon),18,835
mbuk1240,Mbukushu,5,1010
mbuk1243,Mbuko,5,480
mbuu1238,Ajumbu,7,771
meen1242,Me'en,11,1009
mere1246,Merey,5,787
meru1245,Meru,6,1254
mesq1240,Mesqan,9,2134
mfum1238,Southern Mfumte,17,662
mina1268,Minangkabau,4,10
mmaa1238,Mmaala,6,484
moch1256,Mochi,6,892
mofu1248,Mofu-Gudur,3,730
moke1242,Moken,8,0
mokl1243,Moklen,8,17
mokp1239,Mokpwe,5,2301
molo1266,Moloko,6,454
mong1338,Mongo,13,381
mono1269,Mono (Cameroon),12,233
mori1268,Mori Bawah,2,541
mori1278,Morisyen,5,464
moro1284,Morokodo,10,574
moru1253,Moru,6,651
mpad1242,Mpade,3,290
mund1325,Mundang,13,390
mund1328,Mundabli,7,730
muya1243,Muyang,9,410
mwal1237,Mwali Comorian,4,257
mwan1247,Mwani,4,18
myen1241,Myene,5,26
nari1240,Narim,8,578
nate1242,Nateni,13,454
nawu1242,Nawuri,6,120
ncan1245,Ncane,9,960
ndai1238,Ndai,9,636
ndal1241,Ndali,6,1134
ndam1239,Ndamba,3,280
ndog1248,Ndogo,6,460
ndon1254,Ndonga,26,1095
ndzw1235,Ndzwani Comorian,4,547
ngan1300,Ngandyera,8,1079
ngas1238,Ngasa,8,1807
ngaz1238,Ngazidja Comorian,4,475
ngie1241,Ngiemboon,5,1797
ngit1239,Ngiti,9,1617
ngom1272,Ngomba,3,1454
ngwe1238,Ngwe,8,992
nias1242,Nias,3,0
niel1243,Niellim,12,358
nige1253,Hausa States Fulfulde,16,363
njeb1242,Njebi,5,728
njye1238,Njyem,12,595
nkon1248,Nkonya,10,95
nort2795,Zimbabwean Ndebele,4,1179
nort2819,Northern Bobo Madaré,8,467
nort2828,North Moluccan Malay,6,79
nort3047,North Giziga,2,488
ntch1242,Ntcham,15,243
