Glottocode,language,labiodental,elevation
mbal1255,Mbalanhu,2,1310
mbee1249,Mbe,1,124
mbee1250,Mbe',1,754
mboc1235,Mbo (Cameroon),1,835
mbuk1240,Mbukushu,2,1010
mbuk1243,Mbuko,2,480
mbuu1238,Ajumbu,2,771
mere1246,Merey,2,787
meru1245,Meru,1,1254
mesq1240,Mesqan,1,2134
mfum1238,Southern Mfumte,5,662
mina1268,Minangkabau,1,10
mmaa1238,Mmaala,2,484
moch1256,Mochi,2,892
mofu1248,Mofu-Gudur,3,730
molo1266,Moloko,2,454
mong1338,Mongo,2,381
mono1269,Mono (Cameroon),3,233
mori1278,Morisyen,2,464
moro1284,Morokodo,3,574
mpad1242,Mpade,1,290
mund1325,Mundang,3,390
mund1328,Mundabli,1,730
muya1243,Muyang,2,410
mwal1237,Mwali Comorian,2,257
mwan1247,Mwani,2,18
myen1241,Myene,1,26
nari1240,Narim,1,578
nate1242,Nateni,1,454
nawu1242,Nawuri,1,120
ncan1245,Ncane,1,960
ndai1238,Ndai,3,636
ndal1241,Ndali,2,1134
ndam1239,Ndamba,2,280
ndog1248,Ndogo,3,460
ndon1254,Ndonga,5,1095
ndzw1235,Ndzwani Comorian,2,547
ngan1300,Ngandyera,1,1079
ngaz1238,Ngazidja Comorian,2,475
ngie1241,Ngiemboon,3,1797
ngit1239,Ngiti,5,1617
ngom1272,Ngomba,3,1454
ngwe1238,Ngwe,3,992
nias1242,Nias,3,0
nige1253,Hausa States Fulfulde,2,363
njeb1242,Njebi,3,728
njye1238,Njyem,2,595
nkon1248,Nkonya,1,95
nort2795,Zimbabwean Ndebele,4,1179
nort2819,Northern Bobo Madaré,1,467
nort2828,North Moluccan Malay,1,79
nort3047,North Giziga,2,488
ntch1242,Ntcham,3,243
ntom1248,Ntomba,1,292
nucl1440,Masalit,2,815
nucl1460,Madurese,1,108
nucl1683,Daba,3,813
nuer1246,Nuer,1,409
nugu1242,Nugunu (Cameroon),1,481
nyam1277,Nyambo,2,1513
nyam1285,Nyam,1,244
nzim1238,Nzima,1,19
olub1238,Olu'bo,3,721
orma1241,Orma,1,141
otor1240,Otoro,1,752
otuh1238,Otuho,2,809
palo1243,Palor,1,100
pang1287,Pangwa,1,1313
piny1238,Pinyin,1,1841
prin1242,Principense,2,469
reun1238,Réunion Creole French,4,1722
rong1268,Ronga,6,69
saam1283,Saamia,1,1194
sand1273,Sandawe,1,1208
saot1239,Sãotomense,2,1073
saxw1241,Saxwe Gbe,2,76
saya1246,Saya,2,596
seba1251,Sebat Bet Gurage,3,2272
sekp1241,Sekpele,1,301
sele1249,Selee,2,364
shan1282,Shanga,2,156
sher1258,Sherbro,2,13
shil1265,Shilluk,1,399
shwa1239,Shwai,2,721
siam1242,Siamou,2,542
silt1240,Silt'e,2,2047
siwi1239,Siwi,1,-7
siwu1238,Siwu,1,234
sout2790,Southern Birifor,2,218
sout2795,Southern Nuni,2,327
sout2828,Southern Ma'di,3,659
sout2833,South Central Dinka,1,432
suba1252,Suba-Simbiti,2,1294
suga1248,Nizaa,3,1263
suku1261,Sukuma,4,1166
sumb1240,Sumbwa,2,1204
tach1250,Tachelhit,1,904
tada1238,Tadaksahak,1,313
taga1270,Tagalog,1,93
tetu1245,Tetum,1,317
tiag1235,Tiagbamrin Aizi,2,17
tiey1235,Tiéyaxo Bozo,1,275
tigo1236,Tigon Mbembe,11,255
tigr1271,Tigrinya,2,2332
tira1254,Tira,1,638
tivv1240,Tiv,2,208
tong1318,Tonga (Zambia),4,944
tour1242,Toura (Côte d'Ivoire),2,546
tsot1241,Tsotso,1,1459
tsuv1239,Tsuvadi,2,257
tuli1249,Tulishi,2,623
tumt1243,Tumtum,2,487
tune1261,Tunen,1,708
tupu1244,Tupuri,3,353
umbu1257,Umbundu,3,1239
uppe1455,Upper Guinea Crioulo,2,44
wand1278,Wandala,2,339
wawa1246,Wawa,2,1214
wehh1238,Weh,5,1065
west2456,Western Xwla Gbe,2,5
west2458,West Central Banda,4,637
wuzl1236,Wuzlam,2,535
xamt1239,Xamtanga,1,2165
xhos1239,Xhosa,4,1748
xwel1235,Xwela Gbe,2,32
yala1263,Yala,1,65
yans1239,Yansi,2,355
yaoo1241,Yao,1,1194
yemb1246,Yemba,3,1324
zagh1240,Beria,1,978
zayy1238,Zay,1,1636
zinz1238,Zinza,2,1338
