,language,low,elevation
kuwa1246,Kuwaataay,2,5
kwam1249,Kwama,1,1286
kwam1250,Kwami,2,708
kwam1251,Kwambi,1,1091
kwan1273,Kwangali,1,1124
kwan1276,Kwanja,2,1014
kway1241,Kwaya,2,1152
kwes1244,Kwese,1,795
kyen1242,Kyenga,2,203
lagw1237,Lagwan,1,300
lama1288,Lamang,1,1015
lang1322,Lango (Sudan),1,776
lang1324,Lango (Uganda),4,1052
lara1260,Larantuka Malay,1,757
lega1249,Lega-Shabunda,2,633
legb1242,Legbo,2,29
lele1266,Lele (Guinea),1,925
lele1276,Lele (Chad),2,399
leng1258,Lengola,1,468
lese1243,Lese,1,973
leti1246,Leti (Indonesia),2,252
libe1240,Kru Pidgin English,2,42
lika1243,Liko,1,763
limb1268,Limbum,6,1057
logb1245,Logba,1,157
logo1259,Logo,1,901
loma1260,Loma (Liberia),4,474
long1387,Longto,1,441
lumu1239,Lumun,2,728
luwo1239,Luwo,1,496
maay1238,Maay,2,496
maba1273,Mabaan,2,428
mach1266,Machame,2,1072
mada1282,Mada (Nigeria),2,470
maka1311,Makasar,1,0
mala1481,Manado Malay,1,41
mamb1296,Mambwe-Lungu,2,1249
mamp1244,Mampruli,2,152
mann1248,Mann,2,244
many1261,Manya,1,568
masa1299,Masaaba,3,1666
matu1259,Matumbi,1,257
mawa1270,Mawa (Chad),1,544
mayo1261,Mayogo,1,760
mbal1255,Mbalanhu,1,1310
mbay1241,Mbay,3,460
mbee1249,Mbe,1,124
mbee1250,Mbe',1,754
mboc1235,Mbo (Cameroon),3,835
mbuk1240,Mbukushu,1,1010
mbuk1243,Mbuko,1,480
mbuu1238,Ajumbu,1,771
meen1242,Me'en,2,1009
mere1246,Merey,1,787
meru1245,Meru,2,1254
mesq1240,Mesqan,1,2134
mfum1238,Southern Mfumte,1,662
mina1268,Minangkabau,1,10
mmaa1238,Mmaala,1,484
moch1256,Mochi,1,892
mofu1248,Mofu-Gudur,2,730
moke1242,Moken,2,0
mokl1243,Moklen,2,17
mokp1239,Mokpwe,1,2301
molo1266,Moloko,2,454
mong1338,Mongo,1,381
mono1269,Mono (Cameroon),4,233
mori1268,Mori Bawah,1,541
mori1278,Morisyen,3,464
moro1284,Morokodo,1,574
moru1253,Moru,1,651
mpad1242,Mpade,1,290
mund1325,Mundang,4,390
mund1328,Mundabli,2,730
muya1243,Muyang,1,410
mwal1237,Mwali Comorian,1,257
mwan1247,Mwani,1,18
myen1241,Myene,1,26
nari1240,Narim,1,578
nate1242,Nateni,4,454
nawu1242,Nawuri,1,120
ncan1245,Ncane,3,960
ndai1238,Ndai,4,636
ndal1241,Ndali,2,1134
ndam1239,Ndamba,1,280
ndog1248,Ndogo,1,460
ndon1254,Ndonga,4,1095
ndzw1235,Ndzwani Comorian,2,547
ngan1300,Ngandyera,1,1079
ngas1238,Ngasa,1,1807
ngaz1238,Ngazidja Comorian,1,475
ngie1241,Ngiemboon,1,1797
ngit1239,Ngiti,1,1617
ngom1272,Ngomba,1,1454
ngwe1238,Ngwe,2,992
nias1242,Nias,1,0
niel1243,Niellim,4,358
nige1253,Hausa States Fulfulde,4,363
njeb1242,Njebi,1,728
njye1238,Njyem,2,595
nkon1248,Nkonya,2,95
nort2795,Zimbabwean Ndebele,1,1179
nort2819,Northern Bobo Madaré,2,467
nort2828,North Moluccan Malay,1,79
nort3047,North Giziga,1,488
ntch1242,Ntcham,4,243
ntom1248,Ntomba,1,292
nucl1440,Masalit,1,815
nucl1460,Madurese,1,108
nucl1683,Daba,1,813
nucl1696,Tangale,2,565
nuer1246,Nuer,6,409
nugu1242,Nugunu (Cameroon),1,481
nyam1277,Nyambo,2,1513
nyam1285,Nyam,2,244
nyol1238,Nyole,2,1066
nzim1238,Nzima,2,19
olub1238,Olu'bo,1,721
opuu1239,T'apo,1,419
orma1241,Orma,2,141
otor1240,Otoro,1,752
otuh1238,Otuho,2,809
palo1243,Palor,3,100
pamp1243,Pampanga,1,29
pang1287,Pangwa,2,1313
pang1290,Pangasinan,1,15
pero1241,Pero,2,319
piny1238,Pinyin,2,1841
poko1263,Pökoot,3,1866
prin1242,Principense,1,469
reel1238,Reel,6,431
reun1238,Réunion Creole French,2,1722
rong1268,Ronga,1,69
saam1283,Saamia,2,1194
sand1273,Sandawe,3,1208
saot1239,Sãotomense,2,1073
saxw1241,Saxwe Gbe,2,76
saya1246,Saya,2,596
seba1251,Sebat Bet Gurage,3,2272
sekp1241,Sekpele,1,301
sele1249,Selee,2,364
shan1282,Shanga,2,156
sher1258,Sherbro,1,13
shil1265,Shilluk,4,399
shwa1239,Shwai,1,721
siam1242,Siamou,2,542
silt1240,Silt'e,1,2047
siwi1239,Siwi,5,-7
siwu1238,Siwu,3,234
soni1259,Soninke,3,157
sooo1256,Soo,1,1901
sout2790,Southern Birifor,3,218
sout2795,Southern Nuni,2,327
sout2828,Southern Ma'di,1,659
sout2833,South Central Dinka,6,432
sout2918,Southern Sama,1,21
suba1252,Suba-Simbiti,2,1294
suga1248,Nizaa,3,1263
suku1261,Sukuma,2,1166
sumb1240,Sumbwa,2,1204
tach1250,Tachelhit,3,904
tada1238,Tadaksahak,4,313
taga1270,Tagalog,1,93
teee1242,Tee,2,25
teng1272,Tengger,4,1226
tese1238,Tese,2,618
tetu1245,Tetum,1,317
tiag1235,Tiagbamrin Aizi,1,17
tiey1235,Tiéyaxo Bozo,2,275
tigo1236,Tigon Mbembe,2,255
tigr1271,Tigrinya,3,2332
tira1254,Tira,1,638
tivv1240,Tiv,1,208
toch1257,Tocho,1,661
tong1318,Tonga (Zambia),1,944
tour1242,Toura (Côte d'Ivoire),2,546
tsam1247,Tsamai,6,741
tsot1241,Tsotso,2,1459
tsuv1239,Tsuvadi,4,257
tuki1240,Tuki,2,581
tuli1249,Tulishi,2,623
tumt1243,Tumtum,2,487
tune1261,Tunen,1,708
tuni1251,Tunia,2,364
tupu1244,Tupuri,4,353
uduk1239,Uduk,1,862
umbu1257,Umbundu,2,1239
uppe1455,Upper Guinea Crioulo,1,44
vame1236,Vame,1,412
wand1278,Wandala,2,339
wawa1246,Wawa,2,1214
wehh1238,Weh,1,1065
west2456,Western Xwla Gbe,2,5
west2458,West Central Banda,1,637
wola1242,Wolaytta,2,1324
wong1247,Wongo,1,483
wuzl1236,Wuzlam,1,535
xamt1239,Xamtanga,1,2165
xhos1239,Xhosa,1,1748
xwel1235,Xwela Gbe,2,32
yala1263,Yala,1,65
yans1239,Yansi,4,355
yaoo1241,Yao,1,1194
yemb1246,Yemba,1,1324
yems1235,Yemsa,2,2227
zagh1240,Beria,1,978
zayy1238,Zay,2,1636
zinz1238,Zinza,2,1338
0,Bana,0,851
1,Kemezung,0,910
