,language,nasal,elevation
mana1295,Manam,3,1346
mand1415,Mandarin Chinese,3,88
mand1436,Mandinka,4,45
mani1292,Manipuri,3,312
mara1385,Marra,6,10
marw1260,Marwari (India),7,364
matb1237,Matbat,3,158
mats1244,Matsés,2,151
maza1291,Mazanderani,2,1715
medu1238,Medumba,4,1311
mesc1238,Mescalero-Chiricahua Apache,10,2442
mewa1250,Mewati,13,210
mich1243,Michif,6,534
mich1245,Michoacán Nahuatl,3,148
ming1252,Mingrelian,2,109
mmen1238,Mmen,4,925
moco1246,Mocoví,3,64
moke1242,Moken,4,0
mola1238,Molale,3,161
mono1270,Mono (Democratic Republic of Congo),3,413
mose1249,Mosetén-Chimané,9,385
motl1237,Mwotlap,4,31
mpon1254,Mpongmpong,3,594
mufi1238,Mufian,2,173
muna1247,Muna,3,76
mund1330,Mundurukú,13,108
mung1266,Mungaka,4,1374
naga1394,Naga Pidgin,3,1361
naki1238,Naki,5,738
nami1256,Namia,2,63
nand1266,Nandi,4,2146
nang1259,Nangikurrunggurr,4,113
nank1250,Nankina,3,1140
ndem1249,Ndemli,4,115
nepa1253,Nepali Kurux,4,77
ngad1261,Ngad'a,3,1186
ngal1293,Ngalakgan,5,123
ngem1255,Ngemba,4,1220
ngom1271,Ngombale,7,1708
ngos1238,Ngoshie,4,1254
nige1257,Nigerian Pidgin,3,278
ning1273,Ningil,3,418
nisg1240,Nisga'a,4,22
nort2626,Northern Frisian,4,0
nort2627,Eastern Low German,4,67
nort2684,Northern Khmer,7,220
nort2845,North Marquesan,2,333
nort2943,North Alaskan Inupiatun,4,0
nort2954,Northern Paiute,3,1165
nort2966,Northern Pomo,2,360
nort2984,Northern Pame,15,1375
nubi1253,Nubi,5,1134
nucl1290,Zhenkang Wa,7,1729
nucl1634,Skou,2,36
nucl1695,Bole,3,450
nuer1246,Nuer,5,409
nuuc1236,Nuu-chah-nulth,4,614
nyam1276,Nyamwezi,8,1272
nyan1307,Nyankole,4,1431
nyeu1238,Nyeu,4,136
nyon1241,Nyong,5,1179
obol1243,Obolo,5,22
okuu1243,Oku,3,2019
olut1240,Oluta Popoluca,2,62
onge1236,Önge,4,159
orok1266,Oroko,4,386
orok1269,Orokaiva,3,201
osse1243,Ossetian,2,852
pagi1243,Pagibete,3,484
pala1344,Palauan,2,19
pana1305,Panamint,8,1040
paok1235,Pa'o Karen,3,955
pate1247,Patep,7,1111
peta1245,Petats,3,122
phai1238,Prai,4,677
phal1254,Phalura,3,2948
pila1245,Pilagá,3,119
