Glottocode,language,tense,elevation
malo1243,Tamambo,4,157
mamb1294,Mambai,22,229
mamm1241,Mam,10,1816
mana1288,Manange,8,3673
mana1295,Manam,4,1346
mand1415,Mandarin Chinese,20,88
mand1436,Mandinka,10,45
mani1292,Manipuri,6,312
mara1385,Marra,6,10
marw1260,Marwari (India),6,364
matb1237,Matbat,6,158
mats1244,Matsés,7,151
maza1291,Mazanderani,5,1715
medu1238,Medumba,7,1311
mesc1238,Mescalero-Chiricahua Apache,13,2442
mewa1250,Mewati,10,210
mich1243,Michif,8,534
mich1245,Michoacán Nahuatl,6,148
ming1252,Mingrelian,4,109
mmen1238,Mmen,7,925
moco1246,Mocoví,8,64
moke1242,Moken,9,0
mola1238,Molale,5,161
mono1270,Mono (Democratic Republic of Congo),7,413
mose1249,Mosetén-Chimané,10,385
motl1237,Mwotlap,6,31
mpon1254,Mpongmpong,6,594
mufi1238,Mufian,4,173
muna1247,Muna,4,76
mund1330,Mundurukú,10,108
mung1266,Mungaka,7,1374
naga1394,Naga Pidgin,17,1361
naki1238,Naki,6,738
nami1256,Namia,6,63
nand1266,Nandi,10,2146
nang1259,Nangikurrunggurr,8,113
nank1250,Nankina,4,1140
ndem1249,Ndemli,14,115
nepa1253,Nepali Kurux,8,77
ngad1261,Ngad'a,4,1186
ngal1293,Ngalakgan,6,123
ngem1255,Ngemba,7,1220
ngom1271,Ngombale,15,1708
ngos1238,Ngoshie,3,1254
nige1257,Nigerian Pidgin,6,278
ning1273,Ningil,5,418
nisg1240,Nisga'a,5,22
nort2626,Northern Frisian,9,0
nort2627,Eastern Low German,6,67
nort2684,Northern Khmer,12,220
nort2845,North Marquesan,8,333
nort2943,North Alaskan Inupiatun,3,0
nort2954,Northern Paiute,8,1165
nort2966,Northern Pomo,10,360
nort2984,Northern Pame,8,1375
nubi1253,Nubi,6,1134
nucl1290,Zhenkang Wa,17,1729
nucl1634,Skou,6,36
nucl1695,Bole,10,450
nuer1246,Nuer,14,409
nuuc1236,Nuu-chah-nulth,7,614
nyam1276,Nyamwezi,10,1272
nyan1307,Nyankole,7,1431
nyeu1238,Nyeu,12,136
nyon1241,Nyong,9,1179
obol1243,Obolo,10,22
okuu1243,Oku,5,2019
olut1240,Oluta Popoluca,10,62
onge1236,Önge,7,159
orok1266,Oroko,6,386
orok1269,Orokaiva,4,201
osse1243,Ossetian,7,852
pagi1243,Pagibete,7,484
pala1344,Palauan,8,19
pana1305,Panamint,12,1040
paok1235,Pa'o Karen,9,955
pate1247,Patep,10,1111
peta1245,Petats,15,122
phai1238,Prai,12,677
phal1254,Phalura,10,2948
pila1245,Pilagá,5,119
poli1260,Polish,7,126
pwon1235,Pwo Northern Karen,16,1113
qima1242,Qimant,6,1205
quec1382,Quechan,8,36
rama1270,Rama,9,29
rund1242,Rundi,6,1271
saba1268,Sabanê,6,312
saki1248,Mekens,18,156
sala1272,Salasaca Highland Quichua,6,2483
samb1305,Samba Leko,6,912
samo1303,Samo,6,138
samr1245,Samre of Siem Reap,12,32
sanj1284,San Juan Guelavía Zapotec,17,1612
sanm1287,San Mateo del Mar Huave,7,5
sanu1240,Sanumá,11,121
sasa1249,Sasak,11,297
sata1237,Satawalese,8,0
sava1244,Savara,5,260
sayu1241,Sayula Popoluca,7,70
seco1241,Secoya,7,211
seim1238,Seimat,12,0
sela1259,Selaru,6,39
seme1247,Semelai,12,67
sera1259,Saraiki,19,121
seri1257,Seri,4,188
serr1255,Serrano,9,731
shab1252,Shabo,10,1683
shaw1249,Shawnee,6,313
shon1251,Shona,6,1216
siar1238,Siar-Lak,8,556
sida1246,Sidamo,10,1781
siks1238,Siksika,8,1232
sind1272,Sindhi,5,20
sipa1247,Sipacapense,10,2186
siss1243,Sissano,6,15
slov1268,Slovenian,9,1195
soch1239,Sochiapam Chinantec,8,682
sout2750,Southern Yukaghir,12,0
sout2840,Southern Bobo Madaré,10,321
sout2844,Southern Samo,6,276
sout2856,South Efate,6,236
sout2895,South Nuaulu,6,120
spok1245,Spokane,8,726
stan1289,Catalan,11,619
subi1246,Subiya,4,933
suri1267,Tirma-Chai,6,1104
surs1246,Sursurunga,6,813
swed1254,Swedish,8,27
tagw1240,Tagwana Senoufo,14,311
tami1289,Tamil,9,106
tana1290,Tanacross,12,0
taro1264,Seediq,8,1174
tata1257,Tatana,5,13
tatu1247,Tatuyo,7,219
tern1247,Ternate,6,1633
texi1237,Texistepec Popoluca,5,25
thul1246,Thulung,8,2514
tibe1272,Tibetan,8,5409
tilq1235,Tilquiapan Zapotec,6,1769
tinp1237,Tinputz,11,181
tiwi1244,Tiwi,5,74
tlac1235,Tlachichilco Tepehua,10,323
toba1269,Toba,5,139
tokp1240,Tok Pisin,11,197
tolo1259,Tolowa-Chetco,4,81
tong1325,Tonga (Tonga Islands),4,16
torw1241,Torwali,11,4139
tote1238,Totela,6,1063
tsha1245,Tshangla,6,1920
tsuv1239,Tsuvadi,12,257
tuka1248,Tukang Besi North,3,137
tuvi1240,Tuvinian,15,613
tzot1259,Tzotzil,5,997
tzut1248,Tz'utujil,10,2101
ukra1253,Ukrainian,4,1349
ulwa1239,Ulwa,8,9
urii1240,Uri,7,1275
usar1243,Usarufa,8,1982
utes1238,Ute-Southern Paiute,14,1842
vaii1241,Vai,7,17
wamb1259,Wambon,11,79
wari1268,Wari',6,153
wash1253,Washo,9,1925
waya1269,Wayana,7,182
west2441,Western Arrarnta,3,621
west2560,West Coast Bajau,6,12
woge1237,Wogeo,5,239
yalu1240,Yalunka,10,490
yape1248,Yapese,5,37
yawa1260,Yawanawa,5,261
yekh1238,Yekhee,6,296
yeyi1239,Yeyi,8,948
yill1241,Yil,11,818
yine1238,Yine,10,355
yuch1247,Yuchi,11,247
yuki1243,Yuki,8,681
yura1255,Yuracaré,7,209
yuro1248,Yurok,10,756
zaiw1241,Zaiwa,9,1978
zoog1238,Zoogocho Zapotec,30,2507
