,language,dorsal,elevation
mall1246,Mal,29,996
malo1243,Tamambo,8,157
mamb1294,Mambai,33,229
mamm1241,Mam,22,1816
mana1288,Manange,18,3673
mana1295,Manam,8,1346
mand1415,Mandarin Chinese,28,88
mand1436,Mandinka,16,45
mani1292,Manipuri,13,312
mara1385,Marra,11,10
marw1260,Marwari (India),17,364
matb1237,Matbat,10,158
mats1244,Matsés,9,151
maza1291,Mazanderani,12,1715
medu1238,Medumba,15,1311
mesc1238,Mescalero-Chiricahua Apache,22,2442
mewa1250,Mewati,26,210
mich1243,Michif,21,534
mich1245,Michoacán Nahuatl,11,148
ming1252,Mingrelian,12,109
mmen1238,Mmen,16,925
moco1246,Mocoví,17,64
moke1242,Moken,20,0
mola1238,Molale,16,161
mono1270,Mono (Democratic Republic of Congo),17,413
mose1249,Mosetén-Chimané,21,385
motl1237,Mwotlap,12,31
mpon1254,Mpongmpong,21,594
mufi1238,Mufian,10,173
muna1247,Muna,15,76
mund1330,Mundurukú,24,108
mung1266,Mungaka,16,1374
naga1394,Naga Pidgin,28,1361
naki1238,Naki,22,738
nami1256,Namia,9,63
nand1266,Nandi,16,2146
nang1259,Nangikurrunggurr,17,113
nank1250,Nankina,11,1140
ndem1249,Ndemli,29,115
nepa1253,Nepali Kurux,13,77
ngad1261,Ngad'a,11,1186
ngal1293,Ngalakgan,15,123
ngem1255,Ngemba,18,1220
ngom1271,Ngombale,30,1708
ngos1238,Ngoshie,12,1254
nige1257,Nigerian Pidgin,14,278
ning1273,Ningil,12,418
nisg1240,Nisga'a,25,22
nort2626,Northern Frisian,28,0
nort2627,Eastern Low German,22,67
nort2684,Northern Khmer,26,220
nort2845,North Marquesan,12,333
nort2943,North Alaskan Inupiatun,14,0
nort2954,Northern Paiute,15,1165
nort2966,Northern Pomo,15,360
nort2984,Northern Pame,25,1375
nubi1253,Nubi,14,1134
nucl1290,Zhenkang Wa,30,1729
nucl1634,Skou,11,36
nucl1695,Bole,17,450
nuer1246,Nuer,36,409
nuuc1236,Nuu-chah-nulth,27,614
nyam1276,Nyamwezi,23,1272
nyan1307,Nyankole,12,1431
nyeu1238,Nyeu,27,136
nyon1241,Nyong,24,1179
obol1243,Obolo,22,22
okuu1243,Oku,13,2019
olut1240,Oluta Popoluca,16,62
onge1236,Önge,16,159
orok1266,Oroko,15,386
orok1269,Orokaiva,8,201
osse1243,Ossetian,17,852
pagi1243,Pagibete,26,484
pala1344,Palauan,14,19
pana1305,Panamint,23,1040
paok1235,Pa'o Karen,18,955
pate1247,Patep,28,1111
peta1245,Petats,20,122
phai1238,Prai,25,677
phal1254,Phalura,19,2948
pila1245,Pilagá,12,119
poli1260,Polish,17,126
pwon1235,Pwo Northern Karen,31,1113
qima1242,Qimant,19,1205
quec1382,Quechan,23,36
rama1270,Rama,16,29
rund1242,Rundi,10,1271
saba1268,Sabanê,8,312
saki1248,Mekens,27,156
sala1272,Salasaca Highland Quichua,12,2483
samb1305,Samba Leko,18,912
samo1303,Samo,10,138
samr1245,Samre of Siem Reap,28,32
sanj1284,San Juan Guelavía Zapotec,24,1612
sanm1287,San Mateo del Mar Huave,10,5
sanu1240,Sanumá,15,121
sasa1249,Sasak,18,297
sata1237,Satawalese,24,0
sava1244,Savara,17,260
sayu1241,Sayula Popoluca,10,70
seco1241,Secoya,10,211
seim1238,Seimat,21,0
sela1259,Selaru,8,39
seme1247,Semelai,31,67
sera1259,Saraiki,50,121
seri1257,Seri,14,188
serr1255,Serrano,24,731
shab1252,Shabo,24,1683
shaw1249,Shawnee,10,313
shon1251,Shona,15,1216
siar1238,Siar-Lak,12,556
sida1246,Sidamo,16,1781
siks1238,Siksika,16,1232
sind1272,Sindhi,21,20
sipa1247,Sipacapense,17,2186
siss1243,Sissano,17,15
slov1268,Slovenian,20,1195
soch1239,Sochiapam Chinantec,17,682
sout2750,Southern Yukaghir,21,0
sout2840,Southern Bobo Madaré,25,321
sout2844,Southern Samo,16,276
sout2856,South Efate,10,236
sout2895,South Nuaulu,8,120
spok1245,Spokane,22,726
stan1289,Catalan,23,619
subi1246,Subiya,17,933
suri1267,Tirma-Chai,18,1104
surs1246,Sursurunga,11,813
swed1254,Swedish,23,27
