Glottocode,language,labial,elevation
mall1246,Mal,11,996
malo1243,Tamambo,8,157
mamb1294,Mambai,20,229
mamm1241,Mam,10,1816
mana1288,Manange,12,3673
mana1295,Manam,5,1346
mand1415,Mandarin Chinese,9,88
mand1436,Mandinka,9,45
mani1292,Manipuri,8,312
mara1385,Marra,5,10
marw1260,Marwari (India),11,364
matb1237,Matbat,7,158
mats1244,Matsés,4,151
maza1291,Mazanderani,7,1715
medu1238,Medumba,9,1311
mesc1238,Mescalero-Chiricahua Apache,7,2442
mewa1250,Mewati,14,210
mich1243,Michif,14,534
mich1245,Michoacán Nahuatl,7,148
ming1252,Mingrelian,7,109
mmen1238,Mmen,11,925
moco1246,Mocoví,6,64
moke1242,Moken,8,0
mola1238,Molale,7,161
mono1270,Mono (Democratic Republic of Congo),15,413
mose1249,Mosetén-Chimané,8,385
motl1237,Mwotlap,8,31
mpon1254,Mpongmpong,15,594
mufi1238,Mufian,9,173
muna1247,Muna,10,76
mund1330,Mundurukú,8,108
mung1266,Mungaka,10,1374
naga1394,Naga Pidgin,10,1361
naki1238,Naki,21,738
nami1256,Namia,5,63
nand1266,Nandi,7,2146
nang1259,Nangikurrunggurr,7,113
nank1250,Nankina,7,1140
ndem1249,Ndemli,16,115
nepa1253,Nepali Kurux,10,77
ngad1261,Ngad'a,8,1186
ngal1293,Ngalakgan,7,123
ngem1255,Ngemba,12,1220
ngom1271,Ngombale,22,1708
ngos1238,Ngoshie,8,1254
nige1257,Nigerian Pidgin,11,278
ning1273,Ningil,6,418
nisg1240,Nisga'a,13,22
nort2626,Northern Frisian,13,0
nort2627,Eastern Low German,8,67
nort2684,Northern Khmer,9,220
nort2845,North Marquesan,8,333
nort2943,North Alaskan Inupiatun,4,0
nort2954,Northern Paiute,8,1165
nort2966,Northern Pomo,10,360
nort2984,Northern Pame,9,1375
nubi1253,Nubi,9,1134
nucl1290,Zhenkang Wa,10,1729
nucl1634,Skou,9,36
nucl1695,Bole,10,450
nuer1246,Nuer,18,409
nuuc1236,Nuu-chah-nulth,16,614
nyam1276,Nyamwezi,17,1272
nyan1307,Nyankole,7,1431
nyeu1238,Nyeu,12,136
nyon1241,Nyong,14,1179
obol1243,Obolo,15,22
okuu1243,Oku,7,2019
olut1240,Oluta Popoluca,9,62
onge1236,Önge,6,159
orok1266,Oroko,10,386
orok1269,Orokaiva,5,201
osse1243,Ossetian,9,852
pagi1243,Pagibete,23,484
pala1344,Palauan,6,19
