Glottocode,language,periodicGlottalSource,elevation
mako1251,Makonde,17,55
mall1246,Mal,32,996
malo1243,Tamambo,17,157
mamb1294,Mambai,42,229
mamm1241,Mam,21,1816
mana1288,Manange,19,3673
mana1295,Manam,14,1346
mand1415,Mandarin Chinese,28,88
mand1436,Mandinka,22,45
mani1292,Manipuri,21,312
mara1385,Marra,24,10
marw1260,Marwari (India),34,364
matb1237,Matbat,14,158
mats1244,Matsés,12,151
maza1291,Mazanderani,19,1715
medu1238,Medumba,20,1311
mesc1238,Mescalero-Chiricahua Apache,25,2442
mewa1250,Mewati,38,210
mich1243,Michif,29,534
mich1245,Michoacán Nahuatl,15,148
ming1252,Mingrelian,19,109
mmen1238,Mmen,26,925
moco1246,Mocoví,20,64
moke1242,Moken,21,0
mola1238,Molale,13,161
mono1270,Mono (Democratic Republic of Congo),31,413
mose1249,Mosetén-Chimané,23,385
motl1237,Mwotlap,18,31
mpon1254,Mpongmpong,25,594
mufi1238,Mufian,13,173
muna1247,Muna,22,76
mund1330,Mundurukú,29,108
mung1266,Mungaka,22,1374
naga1394,Naga Pidgin,37,1361
naki1238,Naki,27,738
nami1256,Namia,12,63
nand1266,Nandi,18,2146
nang1259,Nangikurrunggurr,21,113
nank1250,Nankina,16,1140
ndem1249,Ndemli,36,115
nepa1253,Nepali Kurux,26,77
ngad1261,Ngad'a,20,1186
ngal1293,Ngalakgan,20,123
ngem1255,Ngemba,29,1220
ngom1271,Ngombale,43,1708
ngos1238,Ngoshie,23,1254
nige1257,Nigerian Pidgin,21,278
ning1273,Ningil,15,418
nisg1240,Nisga'a,21,22
nort2626,Northern Frisian,32,0
nort2627,Eastern Low German,27,67
nort2684,Northern Khmer,32,220
nort2845,North Marquesan,14,333
nort2943,North Alaskan Inupiatun,14,0
nort2954,Northern Paiute,15,1165
nort2966,Northern Pomo,17,360
nort2984,Northern Pame,29,1375
nubi1253,Nubi,22,1134
nucl1290,Zhenkang Wa,32,1729
nucl1634,Skou,15,36
nucl1695,Bole,30,450
nuer1246,Nuer,43,409
nuuc1236,Nuu-chah-nulth,18,614
nyam1276,Nyamwezi,34,1272
nyan1307,Nyankole,20,1431
nyeu1238,Nyeu,29,136
nyon1241,Nyong,30,1179
obol1243,Obolo,27,22
okuu1243,Oku,20,2019
olut1240,Oluta Popoluca,22,62
onge1236,Önge,20,159
orok1266,Oroko,23,386
orok1269,Orokaiva,12,201
osse1243,Ossetian,24,852
pagi1243,Pagibete,34,484
pala1344,Palauan,18,19
pana1305,Panamint,23,1040
paok1235,Pa'o Karen,20,955
pate1247,Patep,35,1111
peta1245,Petats,24,122
phai1238,Prai,28,677
phal1254,Phalura,26,2948
pila1245,Pilagá,14,119
poli1260,Polish,25,126
pwon1235,Pwo Northern Karen,34,1113
qima1242,Qimant,24,1205
quec1382,Quechan,21,36
rama1270,Rama,21,29
rund1242,Rundi,18,1271
saba1268,Sabanê,12,312
