Glottocode,language,continuant,elevation
mall1246,Mal,28,996
malo1243,Tamambo,11,157
mamb1294,Mambai,36,229
mamm1241,Mam,20,1816
mana1288,Manange,17,3673
mana1295,Manam,9,1346
mand1415,Mandarin Chinese,30,88
mand1436,Mandinka,17,45
mani1292,Manipuri,12,312
mara1385,Marra,12,10
marw1260,Marwari (India),19,364
matb1237,Matbat,11,158
mats1244,Matsés,11,151
maza1291,Mazanderani,18,1715
medu1238,Medumba,15,1311
mesc1238,Mescalero-Chiricahua Apache,26,2442
mewa1250,Mewati,27,210
mich1243,Michif,27,534
mich1245,Michoacán Nahuatl,12,148
ming1252,Mingrelian,16,109
mmen1238,Mmen,19,925
moco1246,Mocoví,20,64
moke1242,Moken,15,0
mola1238,Molale,15,161
mono1270,Mono (Democratic Republic of Congo),20,413
mose1249,Mosetén-Chimané,20,385
motl1237,Mwotlap,14,31
mpon1254,Mpongmpong,14,594
mufi1238,Mufian,10,173
muna1247,Muna,13,76
mund1330,Mundurukú,26,108
mung1266,Mungaka,17,1374
naga1394,Naga Pidgin,28,1361
naki1238,Naki,19,738
nami1256,Namia,10,63
nand1266,Nandi,15,2146
nang1259,Nangikurrunggurr,17,113
nank1250,Nankina,9,1140
ndem1249,Ndemli,26,115
nepa1253,Nepali Kurux,14,77
ngad1261,Ngad'a,14,1186
ngal1293,Ngalakgan,15,123
ngem1255,Ngemba,20,1220
ngom1271,Ngombale,33,1708
ngos1238,Ngoshie,13,1254
nige1257,Nigerian Pidgin,17,278
ning1273,Ningil,13,418
nisg1240,Nisga'a,22,22
nort2626,Northern Frisian,31,0
nort2627,Eastern Low German,26,67
nort2684,Northern Khmer,25,220
nort2845,North Marquesan,16,333
nort2943,North Alaskan Inupiatun,17,0
nort2954,Northern Paiute,14,1165
nort2966,Northern Pomo,16,360
nort2984,Northern Pame,25,1375
nubi1253,Nubi,20,1134
nucl1290,Zhenkang Wa,31,1729
nucl1634,Skou,13,36
nucl1695,Bole,18,450
nuer1246,Nuer,33,409
nuuc1236,Nuu-chah-nulth,23,614
nyam1276,Nyamwezi,24,1272
nyan1307,Nyankole,16,1431
nyeu1238,Nyeu,26,136
nyon1241,Nyong,22,1179
obol1243,Obolo,18,22
okuu1243,Oku,15,2019
olut1240,Oluta Popoluca,21,62
onge1236,Önge,12,159
orok1266,Oroko,12,386
orok1269,Orokaiva,7,201
osse1243,Ossetian,21,852
pagi1243,Pagibete,14,484
pala1344,Palauan,15,19
pana1305,Panamint,17,1040
paok1235,Pa'o Karen,17,955
pate1247,Patep,22,1111
peta1245,Petats,21,122
phai1238,Prai,24,677
phal1254,Phalura,25,2948
pila1245,Pilagá,11,119
poli1260,Polish,19,126
pwon1235,Pwo Northern Karen,33,1113
qima1242,Qimant,15,1205
quec1382,Quechan,23,36
rama1270,Rama,16,29
rund1242,Rundi,15,1271
saba1268,Sabanê,10,312
saki1248,Mekens,24,156
sala1272,Salasaca Highland Quichua,14,2483
samb1305,Samba Leko,17,912
samo1303,Samo,12,138
samr1245,Samre of Siem Reap,27,32
sanj1284,San Juan Guelavía Zapotec,32,1612
sanm1287,San Mateo del Mar Huave,14,5
sanu1240,Sanumá,17,121
