,language,trill,elevation
qima1242,Qimant,1,1205
quec1382,Quechan,1,36
rama1270,Rama,1,29
rund1242,Rundi,1,1271
sanj1284,San Juan Guelavía Zapotec,1,1612
sanm1287,San Mateo del Mar Huave,1,5
sasa1249,Sasak,1,297
sata1237,Satawalese,2,0
sava1244,Savara,1,260
sayu1241,Sayula Popoluca,1,70
sela1259,Selaru,1,39
seme1247,Semelai,2,67
serr1255,Serrano,1,731
shon1251,Shona,1,1216
siar1238,Siar-Lak,1,556
sipa1247,Sipacapense,1,2186
siss1243,Sissano,1,15
sout2750,Southern Yukaghir,1,0
sout2840,Southern Bobo Madaré,1,321
sout2856,South Efate,1,236
sout2895,South Nuaulu,1,120
spok1245,Spokane,2,726
stan1289,Catalan,1,619
surs1246,Sursurunga,1,813
taro1264,Seediq,2,1174
tata1257,Tatana,1,13
tatu1247,Tatuyo,1,219
texi1237,Texistepec Popoluca,1,25
thul1246,Thulung,1,2514
tibe1272,Tibetan,1,5409
tlac1235,Tlachichilco Tepehua,1,323
torw1241,Torwali,1,4139
tuka1248,Tukang Besi North,1,137
tuvi1240,Tuvinian,1,613
tzot1259,Tzotzil,1,997
tzut1248,Tz'utujil,1,2101
ukra1253,Ukrainian,1,1349
ulwa1239,Ulwa,2,9
usar1243,Usarufa,1,1982
west2560,West Coast Bajau,1,12
woge1237,Wogeo,1,239
yape1248,Yapese,1,37
yekh1238,Yekhee,1,296
yeyi1239,Yeyi,2,948
yill1241,Yil,1,818
yuro1248,Yurok,1,756
zoog1238,Zoogocho Zapotec,1,2507
0,Cavineña,0,173
1,Eastern Mari,0,45
2,Chol,0,260
3,Chrau,0,182
4,Barbareño,0,315
5,Coeur d'Alene,0,803
6,Comanche,0,332
7,Cupeño,0,1443
8,Cuvok,0,718
9,Denya,0,133
10,Nepali Kurux,0,77
11,Mufian,0,173
13,Eggon,0,161
14,Ekpeye,0,15
15,Fang (Equatorial Guinea),0,625
16,Furu,0,406
17,Gbari,0,156
18,Guajajára,0,308
19,Haya,0,1435
20,Huichol,0,1170
21,Luyi,0,1030
22,Ibani,0,5
23,Ingush,0,661
24,I'saka,0,542
25,Yalunka,0,490
26,Madi,0,96
27,Towa,0,1733
28,Kayabí,0,345
29,Kamasau,0,96
30,Kenswei Nsei,0,1403
31,Karipúna Creole French,0,66
32,Kharia,0,376
33,Kirike,0,22
34,Kokota,0,44
35,Konni,0,174
36,Kuvi,0,554
37,Kwaza,0,176
38,Lao,0,153
39,Bafaw-Balong,0,98
40,Lunda,0,1225
41,Luchazi,0,1061
42,Oroko,0,386
43,Manam,0,1346
44,Bamenyam,0,1222
45,Manange,0,3673
46,Marra,0,10
47,Medumba,0,1311
48,Mmen,0,925
49,Moken,0,0
50,Mpongmpong,0,594
51,Mungaka,0,1374
52,Mwotlap,0,31
53,Mescalero-Chiricahua Apache,0,2442
54,Nankina,0,1140
55,Nandi,0,2146
56,Kimaama,0,6
57,Naki,0,738
58,Naga Pidgin,0,1361
59,Ngalakgan,0,123
60,Isebe,0,258
61,Nuu-chah-nulth,0,614
62,Northern Khmer,0,220
63,Northern Paiute,0,1165
64,Elip,0,440
65,Nyamwezi,0,1272
66,Nyeu,0,136
68,Faiwol,0,1233
69,Oku,0,2019
70,Orokaiva,0,201
71,Dobu,0,32
72,Samo,0,138
73,Uri,0,1275
74,Mal,0,996
75,Matbat,0,158
76,Marwari (India),0,364
77,Samba Leko,0,912
78,Southern Samo,0,276
79,Samre of Siem Reap,0,32
80,Sabanê,0,312
82,Secoya,0,211
83,Seimat,0,0
84,Shabo,0,1683
85,Yawanawa,0,261
86,Makonde,0,55
87,Bamun,0,960
88,Saraiki,0,121
89,Shawnee,0,313
90,Thavung,0,150
91,Hupdë,0,156
92,Yuki,0,681
93,Yuracaré,0,209
94,Wambon,0,79
95,Washo,0,1925
96,Wayana,0,182
97,Huarijio,0,1203
98,Vai,0,17
99,Tok Pisin,0,197
100,Baruga,0,63
101,Tagwana Senoufo,0,311
102,Ternate,0,1633
103,Toba,0,139
104,Mandarin Chinese,0,88
105,Jamaican Creole English,0,457
106,Mambai,0,229
107,Tilquiapan Zapotec,0,1769
108,Ibibio,0,47
109,Tamil,0,106
110,Tsuvadi,0,257
111,Hanga Hundi,0,54
112,Che,0,999
113,Tolowa-Chetco,0,81
114,Pagibete,0,484
115,Choctaw,0,137
116,Pilagá,0,119
117,Yuchi,0,247
118,Baniwa do Icana,0,152
119,Karitiâna,0,125
120,North Alaskan Inupiatun,0,0
121,Sidamo,0,1781
122,Ute-Southern Paiute,0,1842
123,Dupaninan Agta,0,759
124,Tonga (Tonga Islands),0,16
125,Laz,0,1469
126,Juang,0,282
127,Ambele,0,429
128,Apurinã,0,138
129,Arhuaco,0,3650
131,Libyan Arabic,0,584
132,Baoulé,0,9
134,Siksika,0,1232
135,Biloxi,0,81
136,Belize Kriol English,0,33
137,Koasati,0,14
138,Comox,0,42
139,Sochiapam Chinantec,0,682
140,Kotiria,0,143
141,Halkomelem,0,94
142,Huastec,0,69
143,Iloko,0,287
144,Kadiwéu,0,86
145,Kutep,0,220
146,Awa-Cuaiquer,0,453
147,Lisu,0,383
148,Molale,0,161
149,Matsés,0,151
150,Mocoví,0,64
151,Mundurukú,0,108
152,Nisga'a,0,22
153,Eastern Low German,0,67
154,Northern Pame,0,1375
155,Panamint,0,1040
156,Nigerian Pidgin,0,278
157,Northern Pomo,0,360
158,Salasaca Highland Quichua,0,2483
159,Seri,0,188
160,Sindhi,0,20
161,Slovenian,0,1195
162,Swedish,0,27
163,Yine,0,355
164,Huamalíes-Dos de Mayo Huánuco Quechua,0,1471
165,Abau,0,51
166,Akha,0,1109
167,Arandai,0,20
168,Bumbita Arapesh,0,204
169,Tanacross,0,0
170,Au,0,356
171,Tinputz,0,181
172,Patep,0,1111
173,Awara,0,1281
174,Awing,0,1972
175,Awtuw,0,241
176,Babanki,0,1731
177,Bakoko,0,26
178,Nyong,0,1179
179,Bamunka,0,1171
180,Bangolan,0,1207
181,Batanga,0,46
182,Befang,0,573
183,Bemba (Zambia),0,1257
184,Betta Kurumba,0,1042
185,Bilinarra,0,254
186,Binandere,0,35
187,Brokskat,0,3231
188,Bubia,0,166
189,Subiya,0,933
190,Totela,0,1063
191,Northern Gyalrong,0,4592
192,Tirma-Chai,0,1104
193,Filipino,0,46
194,Ngad'a,0,1186
195,Mekens,0,156
196,Tiwi,0,74
197,Tshangla,0,1920
198,Tsafiki,0,440
199,Aneityum,0,557
200,Zaiwa,0,1978
201,Chickasaw,0,266
202,Jicarilla Apache,0,2401
203,Ega,0,109
204,Western Arrarnta,0,621
205,Sanumá,0,121
206,Wari',0,153
207,Crow,0,1014
