,language,back,elevation
jama1261,Madi,2,96
jama1262,Jamaican Creole English,4,457
jauj1238,Jauja Wanca Quechua,3,4697
jeme1245,Towa,10,1733
jiar1240,Northern Gyalrong,10,4592
jica1244,Jicarilla Apache,5,2401
juan1238,Juang,4,282
kabi1261,Kabiyé,9,191
kaby1243,Kabyle,7,482
kadi1248,Kadiwéu,6,86
kala1381,Kalabari,9,6
kama1367,Kamasau,3,96
kano1245,Kanoê,5,142
kara1476,Karadjeri,3,135
kari1301,Karipúna Creole French,5,66
kari1311,Karitiâna,4,125
kaya1329,Kayabí,5,345
kela1255,Kela (Papua New Guinea),5,27
kens1251,Kenswei Nsei,4,1403
keny1279,Kenyang,9,165
keoo1238,Kéo,3,382
khan1273,Kazym-Berezover-Suryskarer Khanty,8,54
khar1287,Kharia,4,376
kich1262,K'iche',7,1366
kima1246,Kimaama,9,6
kinn1249,Kinnauri,6,4637
kiny1244,Kinyarwanda,6,1611
kiri1254,Kirike,5,22
koas1236,Koasati,3,14
koko1269,Kokota,2,44
konn1242,Konni,9,174
kris1246,I'saka,3,542
kulu1253,Kulung (Nepal),6,1775
kuot1243,Kuot,2,564
kusu1250,Kusunda,8,2429
kute1248,Kutep,5,220
kuvi1243,Kuvi,6,554
kwaz1243,Kwaza,5,176
lada1244,Leh-Kenhat,3,5176
lake1258,Lake Miwok,5,516
lang1320,Langi,11,1236
laoo1244,Lao,6,153
lavu1241,Lavukaleve,3,37
lazz1240,Laz,3,1469
leal1235,Lealao Chinantec,2,1326
liby1240,Libyan Arabic,10,584
liji1238,Lijili,8,138
lisu1250,Lisu,3,383
loni1238,Loniu,4,75
loxi1235,Loxicha Zapotec,4,207
luch1239,Luchazi,4,1061
lund1266,Lunda,5,1225
luya1241,Luyi,3,1030
lyel1241,Lyélé,5,275
mace1250,Macedonian,2,919
mada1293,Mada (Cameroon),7,491
madi1261,Madi (Papua New Guinea),5,67
maib1239,Maybrat-Karon,3,114
mako1251,Makonde,3,55
mall1246,Mal,10,996
malo1243,Tamambo,2,157
mamb1294,Mambai,11,229
mamm1241,Mam,8,1816
mana1288,Manange,4,3673
mana1295,Manam,2,1346
mand1415,Mandarin Chinese,5,88
mand1436,Mandinka,5,45
mani1292,Manipuri,3,312
mara1385,Marra,3,10
marw1260,Marwari (India),3,364
matb1237,Matbat,3,158
mats1244,Matsés,3,151
maza1291,Mazanderani,4,1715
medu1238,Medumba,5,1311
mesc1238,Mescalero-Chiricahua Apache,4,2442
mewa1250,Mewati,9,210
mich1243,Michif,7,534
mich1245,Michoacán Nahuatl,3,148
ming1252,Mingrelian,3,109
mmen1238,Mmen,4,925
moco1246,Mocoví,5,64
moke1242,Moken,4,0
mola1238,Molale,8,161
mono1270,Mono (Democratic Republic of Congo),4,413
mose1249,Mosetén-Chimané,4,385
motl1237,Mwotlap,4,31
mpon1254,Mpongmpong,4,594
mufi1238,Mufian,2,173
muna1247,Muna,4,76
mund1330,Mundurukú,5,108
mung1266,Mungaka,4,1374
naga1394,Naga Pidgin,5,1361
naki1238,Naki,4,738
nami1256,Namia,3,63
nand1266,Nandi,5,2146
nang1259,Nangikurrunggurr,3,113
nank1250,Nankina,5,1140
ndem1249,Ndemli,7,115
nepa1253,Nepali Kurux,4,77
ngad1261,Ngad'a,2,1186
ngal1293,Ngalakgan,5,123
ngem1255,Ngemba,4,1220
ngom1271,Ngombale,9,1708
ngos1238,Ngoshie,2,1254
nige1257,Nigerian Pidgin,4,278
ning1273,Ningil,4,418
nisg1240,Nisga'a,9,22
nort2626,Northern Frisian,4,0
nort2627,Eastern Low German,5,67
nort2684,Northern Khmer,8,220
nort2845,North Marquesan,4,333
nort2943,North Alaskan Inupiatun,4,0
nort2954,Northern Paiute,5,1165
nort2966,Northern Pomo,7,360
nort2984,Northern Pame,5,1375
nubi1253,Nubi,6,1134
nucl1290,Zhenkang Wa,4,1729
nucl1634,Skou,3,36
nucl1695,Bole,5,450
nuer1246,Nuer,13,409
nuuc1236,Nuu-chah-nulth,13,614
nyam1276,Nyamwezi,7,1272
nyan1307,Nyankole,2,1431
nyeu1238,Nyeu,9,136
nyon1241,Nyong,6,1179
obol1243,Obolo,7,22
okuu1243,Oku,3,2019
olut1240,Oluta Popoluca,5,62
onge1236,Önge,5,159
orok1266,Oroko,4,386
orok1269,Orokaiva,2,201
osse1243,Ossetian,7,852
pagi1243,Pagibete,4,484
pala1344,Palauan,4,19
pana1305,Panamint,5,1040
paok1235,Pa'o Karen,4,955
pate1247,Patep,7,1111
peta1245,Petats,6,122
phai1238,Prai,9,677
phal1254,Phalura,6,2948
pila1245,Pilagá,5,119
poli1260,Polish,3,126
pwon1235,Pwo Northern Karen,9,1113
qima1242,Qimant,7,1205
quec1382,Quechan,5,36
rama1270,Rama,4,29
rund1242,Rundi,3,1271
saba1268,Sabanê,3,312
saki1248,Mekens,5,156
sala1272,Salasaca Highland Quichua,3,2483
samb1305,Samba Leko,4,912
samo1303,Samo,4,138
samr1245,Samre of Siem Reap,9,32
sanj1284,San Juan Guelavía Zapotec,10,1612
sanm1287,San Mateo del Mar Huave,3,5
sanu1240,Sanumá,5,121
sasa1249,Sasak,3,297
sata1237,Satawalese,5,0
sava1244,Savara,5,260
sayu1241,Sayula Popoluca,4,70
seco1241,Secoya,3,211
seim1238,Seimat,6,0
sela1259,Selaru,3,39
seme1247,Semelai,8,67
sera1259,Saraiki,8,121
seri1257,Seri,6,188
serr1255,Serrano,8,731
shab1252,Shabo,7,1683
shaw1249,Shawnee,2,313
shon1251,Shona,3,1216
siar1238,Siar-Lak,5,556
sida1246,Sidamo,5,1781
siks1238,Siksika,6,1232
sind1272,Sindhi,5,20
sipa1247,Sipacapense,8,2186
siss1243,Sissano,5,15
slov1268,Slovenian,6,1195
soch1239,Sochiapam Chinantec,8,682
sout2750,Southern Yukaghir,7,0
sout2840,Southern Bobo Madaré,8,321
sout2844,Southern Samo,4,276
sout2856,South Efate,3,236
sout2895,South Nuaulu,3,120
spok1245,Spokane,14,726
stan1289,Catalan,5,619
subi1246,Subiya,3,933
suri1267,Tirma-Chai,4,1104
surs1246,Sursurunga,3,813
swed1254,Swedish,5,27
tagw1240,Tagwana Senoufo,11,311
tami1289,Tamil,4,106
tana1290,Tanacross,4,0
taro1264,Seediq,8,1174
tata1257,Tatana,3,13
tatu1247,Tatuyo,3,219
tern1247,Ternate,3,1633
texi1237,Texistepec Popoluca,4,25
thul1246,Thulung,5,2514
tibe1272,Tibetan,3,5409
tilq1235,Tilquiapan Zapotec,2,1769
tinp1237,Tinputz,7,181
tiwi1244,Tiwi,3,74
tlac1235,Tlachichilco Tepehua,7,323
toba1269,Toba,4,139
tokp1240,Tok Pisin,5,197
tolo1259,Tolowa-Chetco,3,81
tong1325,Tonga (Tonga Islands),2,16
torw1241,Torwali,8,4139
tote1238,Totela,5,1063
tsha1245,Tshangla,3,1920
tsuv1239,Tsuvadi,8,257
tuka1248,Tukang Besi North,2,137
tuvi1240,Tuvinian,6,613
tzot1259,Tzotzil,3,997
tzut1248,Tz'utujil,8,2101
ukra1253,Ukrainian,3,1349
ulwa1239,Ulwa,4,9
urii1240,Uri,5,1275
usar1243,Usarufa,5,1982
utes1238,Ute-Southern Paiute,12,1842
vaii1241,Vai,5,17
wamb1259,Wambon,3,79
wari1268,Wari',2,153
wash1253,Washo,4,1925
waya1269,Wayana,3,182
west2441,Western Arrarnta,1,621
west2560,West Coast Bajau,3,12
woge1237,Wogeo,2,239
yalu1240,Yalunka,10,490
yape1248,Yapese,8,37
yawa1260,Yawanawa,2,261
yekh1238,Yekhee,4,296
yeyi1239,Yeyi,7,948
yill1241,Yil,3,818
yine1238,Yine,5,355
yuch1247,Yuchi,7,247
yuki1243,Yuki,4,681
yura1255,Yuracaré,3,209
yuro1248,Yurok,5,756
zaiw1241,Zaiwa,3,1978
zoog1238,Zoogocho Zapotec,10,2507
