,language,distributed,elevation
ndem1249,Ndemli,5,115
nepa1253,Nepali Kurux,8,77
ngad1261,Ngad'a,2,1186
ngal1293,Ngalakgan,3,123
ngem1255,Ngemba,4,1220
ngom1271,Ngombale,5,1708
ngos1238,Ngoshie,5,1254
nige1257,Nigerian Pidgin,3,278
nisg1240,Nisga'a,9,22
nort2626,Northern Frisian,6,0
nort2627,Eastern Low German,6,67
nort2684,Northern Khmer,1,220
nort2845,North Marquesan,1,333
nort2943,North Alaskan Inupiatun,6,0
nort2954,Northern Paiute,1,1165
nort2966,Northern Pomo,8,360
nort2984,Northern Pame,10,1375
nubi1253,Nubi,6,1134
nucl1290,Zhenkang Wa,3,1729
nucl1634,Skou,1,36
nucl1695,Bole,6,450
nuer1246,Nuer,6,409
nuuc1236,Nuu-chah-nulth,5,614
nyam1276,Nyamwezi,7,1272
nyan1307,Nyankole,5,1431
nyeu1238,Nyeu,2,136
nyon1241,Nyong,5,1179
obol1243,Obolo,3,22
okuu1243,Oku,2,2019
olut1240,Oluta Popoluca,2,62
onge1236,Önge,3,159
orok1266,Oroko,4,386
osse1243,Ossetian,7,852
pagi1243,Pagibete,1,484
pala1344,Palauan,2,19
paok1235,Pa'o Karen,2,955
peta1245,Petats,1,122
phai1238,Prai,3,677
phal1254,Phalura,5,2948
pila1245,Pilagá,3,119
poli1260,Polish,17,126
pwon1235,Pwo Northern Karen,2,1113
qima1242,Qimant,11,1205
quec1382,Quechan,11,36
rund1242,Rundi,3,1271
sala1272,Salasaca Highland Quichua,7,2483
samb1305,Samba Leko,3,912
samr1245,Samre of Siem Reap,4,32
sanj1284,San Juan Guelavía Zapotec,4,1612
sanm1287,San Mateo del Mar Huave,2,5
sasa1249,Sasak,4,297
sata1237,Satawalese,4,0
sava1244,Savara,8,260
sayu1241,Sayula Popoluca,3,70
seim1238,Seimat,1,0
seme1247,Semelai,5,67
sera1259,Saraiki,12,121
seri1257,Seri,2,188
serr1255,Serrano,6,731
shab1252,Shabo,6,1683
shaw1249,Shawnee,3,313
shon1251,Shona,12,1216
sida1246,Sidamo,14,1781
siks1238,Siksika,2,1232
sind1272,Sindhi,10,20
sipa1247,Sipacapense,3,2186
siss1243,Sissano,8,15
slov1268,Slovenian,6,1195
soch1239,Sochiapam Chinantec,2,682
sout2750,Southern Yukaghir,8,0
sout2840,Southern Bobo Madaré,1,321
