,language,lateral,elevation
naga1394,Naga Pidgin,1,1361
naki1238,Naki,1,738
nami1256,Namia,1,63
nand1266,Nandi,1,2146
nang1259,Nangikurrunggurr,2,113
ndem1249,Ndemli,1,115
nepa1253,Nepali Kurux,1,77
ngad1261,Ngad'a,1,1186
ngal1293,Ngalakgan,2,123
ngem1255,Ngemba,1,1220
ngom1271,Ngombale,1,1708
nige1257,Nigerian Pidgin,1,278
ning1273,Ningil,1,418
nisg1240,Nisga'a,3,22
nort2626,Northern Frisian,2,0
nort2627,Eastern Low German,1,67
nort2684,Northern Khmer,1,220
nort2943,North Alaskan Inupiatun,4,0
nort2966,Northern Pomo,1,360
nort2984,Northern Pame,6,1375
nubi1253,Nubi,1,1134
nucl1290,Zhenkang Wa,2,1729
nucl1634,Skou,1,36
nucl1695,Bole,1,450
nuer1246,Nuer,1,409
nuuc1236,Nuu-chah-nulth,1,614
nyam1276,Nyamwezi,1,1272
nyeu1238,Nyeu,1,136
nyon1241,Nyong,1,1179
obol1243,Obolo,1,22
okuu1243,Oku,1,2019
olut1240,Oluta Popoluca,1,62
onge1236,Önge,1,159
orok1266,Oroko,1,386
osse1243,Ossetian,1,852
pagi1243,Pagibete,1,484
pala1344,Palauan,1,19
paok1235,Pa'o Karen,1,955
pate1247,Patep,1,1111
peta1245,Petats,1,122
phai1238,Prai,1,677
phal1254,Phalura,1,2948
pila1245,Pilagá,2,119
poli1260,Polish,1,126
pwon1235,Pwo Northern Karen,1,1113
qima1242,Qimant,1,1205
quec1382,Quechan,4,36
rama1270,Rama,1,29
saba1268,Sabanê,1,312
sala1272,Salasaca Highland Quichua,1,2483
samb1305,Samba Leko,1,912
samo1303,Samo,1,138
samr1245,Samre of Siem Reap,1,32
sanj1284,San Juan Guelavía Zapotec,2,1612
sanm1287,San Mateo del Mar Huave,1,5
sanu1240,Sanumá,1,121
sasa1249,Sasak,1,297
sava1244,Savara,1,260
sayu1241,Sayula Popoluca,1,70
seim1238,Seimat,1,0
sela1259,Selaru,1,39
seme1247,Semelai,2,67
sera1259,Saraiki,2,121
seri1257,Seri,2,188
serr1255,Serrano,2,731
shab1252,Shabo,1,1683
shaw1249,Shawnee,1,313
shon1251,Shona,2,1216
siar1238,Siar-Lak,1,556
sida1246,Sidamo,1,1781
siks1238,Siksika,1,1232
sind1272,Sindhi,1,20
sipa1247,Sipacapense,1,2186
siss1243,Sissano,3,15
slov1268,Slovenian,1,1195
soch1239,Sochiapam Chinantec,1,682
sout2750,Southern Yukaghir,2,0
sout2840,Southern Bobo Madaré,1,321
sout2844,Southern Samo,1,276
sout2856,South Efate,1,236
sout2895,South Nuaulu,1,120
spok1245,Spokane,3,726
stan1289,Catalan,2,619
subi1246,Subiya,1,933
suri1267,Tirma-Chai,1,1104
surs1246,Sursurunga,1,813
swed1254,Swedish,1,27
tagw1240,Tagwana Senoufo,1,311
tami1289,Tamil,2,106
tana1290,Tanacross,2,0
taro1264,Seediq,2,1174
tata1257,Tatana,1,13
tern1247,Ternate,1,1633
texi1237,Texistepec Popoluca,1,25
thul1246,Thulung,1,2514
tibe1272,Tibetan,2,5409
tilq1235,Tilquiapan Zapotec,1,1769
tinp1237,Tinputz,1,181
tiwi1244,Tiwi,1,74
tlac1235,Tlachichilco Tepehua,2,323
toba1269,Toba,2,139
tolo1259,Tolowa-Chetco,2,81
tong1325,Tonga (Tonga Islands),1,16
torw1241,Torwali,1,4139
tsha1245,Tshangla,2,1920
tsuv1239,Tsuvadi,2,257
tuka1248,Tukang Besi North,1,137
tuvi1240,Tuvinian,1,613
tzot1259,Tzotzil,1,997
tzut1248,Tz'utujil,1,2101
ukra1253,Ukrainian,1,1349
ulwa1239,Ulwa,2,9
vaii1241,Vai,1,17
wamb1259,Wambon,1,79
wash1253,Washo,2,1925
west2441,Western Arrarnta,4,621
west2560,West Coast Bajau,1,12
woge1237,Wogeo,1,239
yalu1240,Yalunka,1,490
yape1248,Yapese,1,37
yekh1238,Yekhee,1,296
yill1241,Yil,1,818
yine1238,Yine,1,355
yuch1247,Yuchi,4,247
yuki1243,Yuki,2,681
yura1255,Yuracaré,1,209
yuro1248,Yurok,2,756
zaiw1241,Zaiwa,1,1978
zoog1238,Zoogocho Zapotec,2,2507
0,Yeyi,0,948
1,Comanche,0,332
2,Usarufa,0,1982
4,Binumarien,0,883
5,Ekpeye,0,15
6,Guajajára,0,308
8,I'saka,0,542
9,Madi,0,96
10,Kabyle,0,482
11,Kayabí,0,345
12,Kamasau,0,96
13,Kanoê,0,142
14,Kenyang,0,165
15,Kinyarwanda,0,1611
16,Maybrat-Karon,0,114
17,Medumba,0,1311
18,Nankina,0,1140
19,Ngoshie,0,1254
20,Isebe,0,258
21,Northern Paiute,0,1165
23,Orokaiva,0,201
24,Uri,0,1275
25,Rundi,0,1271
26,Nyankole,0,1431
27,Secoya,0,211
28,Yawanawa,0,261
29,Satawalese,0,0
30,Hupdë,0,156
31,Wayana,0,182
32,Huarijio,0,1203
33,Tok Pisin,0,197
34,Baruga,0,63
35,Tatuyo,0,219
36,Ibibio,0,47
37,Baniwa do Icana,0,152
38,Karitiâna,0,125
39,Ute-Southern Paiute,0,1842
40,Apurinã,0,138
41,Arhuaco,0,3650
43,Biloxi,0,81
44,Kotiria,0,143
45,Matsés,0,151
46,Mundurukú,0,108
47,Panamint,0,1040
48,Abau,0,51
49,Amanab,0,412
50,Arandai,0,20
51,Au,0,356
52,Binandere,0,35
53,Totela,0,1063
54,North Marquesan,0,333
55,Mekens,0,156
56,Wari',0,153
57,Crow,0,1014
