Glottocode,language,delayedRelease,elevation
mand1415,Mandarin Chinese,9,88
mand1436,Mandinka,5,45
mani1292,Manipuri,6,312
marw1260,Marwari (India),9,364
matb1237,Matbat,3,158
mats1244,Matsés,6,151
maza1291,Mazanderani,10,1715
medu1238,Medumba,5,1311
mesc1238,Mescalero-Chiricahua Apache,14,2442
mewa1250,Mewati,6,210
mich1243,Michif,10,534
mich1245,Michoacán Nahuatl,5,148
ming1252,Mingrelian,14,109
mmen1238,Mmen,13,925
moco1246,Mocoví,9,64
moke1242,Moken,2,0
mola1238,Molale,7,161
mono1270,Mono (Democratic Republic of Congo),10,413
mose1249,Mosetén-Chimané,8,385
motl1237,Mwotlap,4,31
mpon1254,Mpongmpong,4,594
mufi1238,Mufian,3,173
muna1247,Muna,5,76
mund1330,Mundurukú,5,108
mung1266,Mungaka,7,1374
naga1394,Naga Pidgin,7,1361
naki1238,Naki,16,738
nand1266,Nandi,1,2146
nang1259,Nangikurrunggurr,3,113
nank1250,Nankina,3,1140
ndem1249,Ndemli,7,115
nepa1253,Nepali Kurux,6,77
ngad1261,Ngad'a,7,1186
ngem1255,Ngemba,11,1220
ngom1271,Ngombale,15,1708
ngos1238,Ngoshie,10,1254
nige1257,Nigerian Pidgin,8,278
ning1273,Ningil,2,418
nisg1240,Nisga'a,8,22
nort2626,Northern Frisian,8,0
nort2627,Eastern Low German,10,67
nort2684,Northern Khmer,2,220
nort2845,North Marquesan,5,333
nort2943,North Alaskan Inupiatun,10,0
nort2954,Northern Paiute,4,1165
nort2966,Northern Pomo,9,360
nort2984,Northern Pame,9,1375
nubi1253,Nubi,12,1134
nucl1290,Zhenkang Wa,4,1729
nucl1634,Skou,2,36
nucl1695,Bole,8,450
nuer1246,Nuer,1,409
nuuc1236,Nuu-chah-nulth,13,614
nyam1276,Nyamwezi,16,1272
nyan1307,Nyankole,9,1431
nyeu1238,Nyeu,3,136
nyon1241,Nyong,5,1179
obol1243,Obolo,4,22
okuu1243,Oku,7,2019
olut1240,Oluta Popoluca,6,62
onge1236,Önge,2,159
orok1266,Oroko,4,386
orok1269,Orokaiva,3,201
osse1243,Ossetian,14,852
pagi1243,Pagibete,7,484
pala1344,Palauan,1,19
pana1305,Panamint,4,1040
paok1235,Pa'o Karen,2,955
pate1247,Patep,6,1111
peta1245,Petats,3,122
phai1238,Prai,2,677
phal1254,Phalura,12,2948
pila1245,Pilagá,4,119
poli1260,Polish,13,126
pwon1235,Pwo Northern Karen,4,1113
qima1242,Qimant,8,1205
quec1382,Quechan,8,36
rama1270,Rama,4,29
rund1242,Rundi,10,1271
saba1268,Sabanê,2,312
saki1248,Mekens,1,156
sala1272,Salasaca Highland Quichua,8,2483
samb1305,Samba Leko,6,912
samo1303,Samo,3,138
samr1245,Samre of Siem Reap,2,32
sanj1284,San Juan Guelavía Zapotec,11,1612
sanm1287,San Mateo del Mar Huave,5,5
sanu1240,Sanumá,3,121
sasa1249,Sasak,4,297
sata1237,Satawalese,6,0
sava1244,Savara,1,260
sayu1241,Sayula Popoluca,7,70
seco1241,Secoya,3,211
seim1238,Seimat,3,0
sela1259,Selaru,3,39
seme1247,Semelai,3,67
sera1259,Saraiki,9,121
seri1257,Seri,8,188
serr1255,Serrano,12,731
shab1252,Shabo,4,1683
shaw1249,Shawnee,3,313
shon1251,Shona,19,1216
siar1238,Siar-Lak,2,556
sida1246,Sidamo,8,1781
siks1238,Siksika,4,1232
sind1272,Sindhi,11,20
sipa1247,Sipacapense,7,2186
siss1243,Sissano,16,15
slov1268,Slovenian,9,1195
soch1239,Sochiapam Chinantec,9,682
sout2750,Southern Yukaghir,5,0
sout2840,Southern Bobo Madaré,5,321
sout2844,Southern Samo,3,276
sout2856,South Efate,2,236
sout2895,South Nuaulu,2,120
spok1245,Spokane,15,726
stan1289,Catalan,7,619
subi1246,Subiya,18,933
suri1267,Tirma-Chai,3,1104
surs1246,Sursurunga,2,813
swed1254,Swedish,7,27
tagw1240,Tagwana Senoufo,5,311
tami1289,Tamil,3,106
tana1290,Tanacross,19,0
taro1264,Seediq,12,1174
tata1257,Tatana,2,13
tatu1247,Tatuyo,2,219
tern1247,Ternate,5,1633
texi1237,Texistepec Popoluca,5,25
thul1246,Thulung,6,2514
tibe1272,Tibetan,5,5409
tilq1235,Tilquiapan Zapotec,8,1769
tinp1237,Tinputz,3,181
tiwi1244,Tiwi,1,74
tlac1235,Tlachichilco Tepehua,8,323
toba1269,Toba,5,139
tokp1240,Tok Pisin,5,197
tolo1259,Tolowa-Chetco,10,81
tong1325,Tonga (Tonga Islands),4,16
torw1241,Torwali,14,4139
tote1238,Totela,18,1063
tsha1245,Tshangla,9,1920
tsuv1239,Tsuvadi,13,257
tuka1248,Tukang Besi North,5,137
tuvi1240,Tuvinian,8,613
tzot1259,Tzotzil,8,997
tzut1248,Tz'utujil,7,2101
ukra1253,Ukrainian,12,1349
ulwa1239,Ulwa,2,9
urii1240,Uri,2,1275
utes1238,Ute-Southern Paiute,7,1842
vaii1241,Vai,5,17
wamb1259,Wambon,5,79
wari1268,Wari',3,153
wash1253,Washo,5,1925
waya1269,Wayana,1,182
west2560,West Coast Bajau,2,12
woge1237,Wogeo,3,239
yalu1240,Yalunka,4,490
yape1248,Yapese,10,37
yawa1260,Yawanawa,6,261
yekh1238,Yekhee,8,296
yeyi1239,Yeyi,21,948
yill1241,Yil,1,818
yine1238,Yine,7,355
yuch1247,Yuchi,17,247
yuki1243,Yuki,4,681
yura1255,Yuracaré,5,209
yuro1248,Yurok,8,756
zaiw1241,Zaiwa,7,1978
zoog1238,Zoogocho Zapotec,11,2507
