,language,sonorant,elevation
mall1246,Mal,30,996
malo1243,Tamambo,11,157
mamb1294,Mambai,34,229
mamm1241,Mam,17,1816
mana1288,Manange,19,3673
mana1295,Manam,10,1346
mand1415,Mandarin Chinese,28,88
mand1436,Mandinka,18,45
mani1292,Manipuri,13,312
mara1385,Marra,18,10
marw1260,Marwari (India),21,364
matb1237,Matbat,11,158
mats1244,Matsés,10,151
maza1291,Mazanderani,12,1715
medu1238,Medumba,15,1311
mesc1238,Mescalero-Chiricahua Apache,20,2442
mewa1250,Mewati,28,210
mich1243,Michif,22,534
mich1245,Michoacán Nahuatl,12,148
ming1252,Mingrelian,10,109
mmen1238,Mmen,16,925
moco1246,Mocoví,16,64
moke1242,Moken,17,0
mola1238,Molale,13,161
mono1270,Mono (Democratic Republic of Congo),16,413
mose1249,Mosetén-Chimané,19,385
motl1237,Mwotlap,14,31
mpon1254,Mpongmpong,13,594
mufi1238,Mufian,9,173
muna1247,Muna,12,76
mund1330,Mundurukú,26,108
mung1266,Mungaka,16,1374
naga1394,Naga Pidgin,28,1361
naki1238,Naki,16,738
nami1256,Namia,12,63
nand1266,Nandi,18,2146
nang1259,Nangikurrunggurr,18,113
nank1250,Nankina,11,1140
ndem1249,Ndemli,26,115
nepa1253,Nepali Kurux,16,77
ngad1261,Ngad'a,11,1186
ngal1293,Ngalakgan,20,123
ngem1255,Ngemba,17,1220
ngom1271,Ngombale,28,1708
ngos1238,Ngoshie,11,1254
nige1257,Nigerian Pidgin,14,278
ning1273,Ningil,14,418
nisg1240,Nisga'a,20,22
nort2626,Northern Frisian,27,0
nort2627,Eastern Low German,20,67
nort2684,Northern Khmer,30,220
nort2845,North Marquesan,13,333
nort2943,North Alaskan Inupiatun,12,0
nort2954,Northern Paiute,15,1165
nort2966,Northern Pomo,15,360
nort2984,Northern Pame,31,1375
nubi1253,Nubi,15,1134
nucl1290,Zhenkang Wa,34,1729
nucl1634,Skou,13,36
nucl1695,Bole,17,450
nuer1246,Nuer,37,409
nuuc1236,Nuu-chah-nulth,18,614
nyam1276,Nyamwezi,25,1272
nyan1307,Nyankole,13,1431
nyeu1238,Nyeu,27,136
nyon1241,Nyong,22,1179
obol1243,Obolo,21,22
okuu1243,Oku,13,2019
olut1240,Oluta Popoluca,19,62
onge1236,Önge,16,159
orok1266,Oroko,15,386
orok1269,Orokaiva,8,201
osse1243,Ossetian,15,852
pagi1243,Pagibete,14,484
pala1344,Palauan,16,19
pana1305,Panamint,23,1040
paok1235,Pa'o Karen,18,955
pate1247,Patep,24,1111
peta1245,Petats,22,122
phai1238,Prai,26,677
phal1254,Phalura,18,2948
pila1245,Pilagá,11,119
poli1260,Polish,14,126
pwon1235,Pwo Northern Karen,32,1113
qima1242,Qimant,15,1205
quec1382,Quechan,20,36
rama1270,Rama,17,29
rund1242,Rundi,11,1271
saba1268,Sabanê,10,312
saki1248,Mekens,27,156
sala1272,Salasaca Highland Quichua,12,2483
samb1305,Samba Leko,16,912
samo1303,Samo,10,138
samr1245,Samre of Siem Reap,29,32
sanj1284,San Juan Guelavía Zapotec,30,1612
sanm1287,San Mateo del Mar Huave,13,5
sanu1240,Sanumá,17,121
sasa1249,Sasak,19,297
sata1237,Satawalese,27,0
sava1244,Savara,19,260
sayu1241,Sayula Popoluca,12,70
seco1241,Secoya,9,211
seim1238,Seimat,22,0
sela1259,Selaru,11,39
seme1247,Semelai,35,67
sera1259,Saraiki,50,121
seri1257,Seri,12,188
serr1255,Serrano,20,731
shab1252,Shabo,21,1683
shaw1249,Shawnee,11,313
shon1251,Shona,13,1216
siar1238,Siar-Lak,14,556
sida1246,Sidamo,17,1781
siks1238,Siksika,17,1232
sind1272,Sindhi,21,20
sipa1247,Sipacapense,16,2186
siss1243,Sissano,17,15
slov1268,Slovenian,22,1195
soch1239,Sochiapam Chinantec,19,682
sout2750,Southern Yukaghir,21,0
sout2840,Southern Bobo Madaré,25,321
sout2844,Southern Samo,14,276
sout2856,South Efate,13,236
sout2895,South Nuaulu,11,120
spok1245,Spokane,17,726
stan1289,Catalan,26,619
subi1246,Subiya,19,933
suri1267,Tirma-Chai,15,1104
surs1246,Sursurunga,13,813
swed1254,Swedish,22,27
tagw1240,Tagwana Senoufo,30,311
tami1289,Tamil,22,106
tana1290,Tanacross,20,0
taro1264,Seediq,21,1174
tata1257,Tatana,12,13
tatu1247,Tatuyo,9,219
tern1247,Ternate,13,1633
texi1237,Texistepec Popoluca,17,25
thul1246,Thulung,15,2514
tibe1272,Tibetan,16,5409
tilq1235,Tilquiapan Zapotec,11,1769
tinp1237,Tinputz,19,181
tiwi1244,Tiwi,13,74
tlac1235,Tlachichilco Tepehua,17,323
toba1269,Toba,15,139
tokp1240,Tok Pisin,14,197
tolo1259,Tolowa-Chetco,10,81
tong1325,Tonga (Tonga Islands),9,16
torw1241,Torwali,21,4139
tote1238,Totela,23,1063
tsha1245,Tshangla,13,1920
tsuv1239,Tsuvadi,22,257
tuka1248,Tukang Besi North,10,137
tuvi1240,Tuvinian,23,613
tzot1259,Tzotzil,10,997
tzut1248,Tz'utujil,16,2101
ukra1253,Ukrainian,12,1349
ulwa1239,Ulwa,20,9
urii1240,Uri,14,1275
usar1243,Usarufa,16,1982
utes1238,Ute-Southern Paiute,23,1842
vaii1241,Vai,18,17
wamb1259,Wambon,15,79
wari1268,Wari',12,153
wash1253,Washo,17,1925
waya1269,Wayana,12,182
west2441,Western Arrarnta,17,621
west2560,West Coast Bajau,14,12
woge1237,Wogeo,12,239
yalu1240,Yalunka,22,490
yape1248,Yapese,27,37
yawa1260,Yawanawa,9,261
yekh1238,Yekhee,15,296
yeyi1239,Yeyi,30,948
yill1241,Yil,18,818
yine1238,Yine,16,355
yuch1247,Yuchi,19,247
yuki1243,Yuki,15,681
yura1255,Yuracaré,14,209
yuro1248,Yurok,18,756
zaiw1241,Zaiwa,15,1978
zoog1238,Zoogocho Zapotec,42,2507
