Glottocode,language,approximant,elevation
mall1246,Mal,26,996
malo1243,Tamambo,7,157
mamb1294,Mambai,31,229
mamm1241,Mam,14,1816
mana1288,Manange,13,3673
mana1295,Manam,7,1346
mand1415,Mandarin Chinese,25,88
mand1436,Mandinka,14,45
mani1292,Manipuri,10,312
mara1385,Marra,12,10
marw1260,Marwari (India),14,364
matb1237,Matbat,8,158
mats1244,Matsés,8,151
maza1291,Mazanderani,10,1715
medu1238,Medumba,11,1311
mesc1238,Mescalero-Chiricahua Apache,18,2442
mewa1250,Mewati,25,210
mich1243,Michif,20,534
mich1245,Michoacán Nahuatl,9,148
ming1252,Mingrelian,8,109
mmen1238,Mmen,12,925
moco1246,Mocoví,13,64
moke1242,Moken,13,0
mola1238,Molale,10,161
mono1270,Mono (Democratic Republic of Congo),13,413
mose1249,Mosetén-Chimané,16,385
motl1237,Mwotlap,10,31
mpon1254,Mpongmpong,10,594
mufi1238,Mufian,7,173
muna1247,Muna,9,76
mund1330,Mundurukú,23,108
mung1266,Mungaka,12,1374
naga1394,Naga Pidgin,25,1361
naki1238,Naki,11,738
nami1256,Namia,10,63
nand1266,Nandi,14,2146
nang1259,Nangikurrunggurr,14,113
nank1250,Nankina,8,1140
ndem1249,Ndemli,22,115
nepa1253,Nepali Kurux,12,77
ngad1261,Ngad'a,8,1186
ngal1293,Ngalakgan,15,123
ngem1255,Ngemba,13,1220
ngom1271,Ngombale,24,1708
ngos1238,Ngoshie,7,1254
nige1257,Nigerian Pidgin,11,278
ning1273,Ningil,11,418
nisg1240,Nisga'a,16,22
nort2626,Northern Frisian,23,0
nort2627,Eastern Low German,16,67
nort2684,Northern Khmer,23,220
nort2845,North Marquesan,11,333
nort2943,North Alaskan Inupiatun,8,0
nort2954,Northern Paiute,12,1165
nort2966,Northern Pomo,13,360
nort2984,Northern Pame,22,1375
nubi1253,Nubi,10,1134
nucl1290,Zhenkang Wa,27,1729
nucl1634,Skou,11,36
nucl1695,Bole,14,450
nuer1246,Nuer,32,409
nuuc1236,Nuu-chah-nulth,14,614
nyam1276,Nyamwezi,17,1272
nyan1307,Nyankole,9,1431
nyeu1238,Nyeu,23,136
nyon1241,Nyong,17,1179
obol1243,Obolo,16,22
okuu1243,Oku,10,2019
olut1240,Oluta Popoluca,17,62
onge1236,Önge,12,159
orok1266,Oroko,11,386
orok1269,Orokaiva,5,201
osse1243,Ossetian,13,852
pagi1243,Pagibete,10,484
pala1344,Palauan,14,19
pana1305,Panamint,15,1040
paok1235,Pa'o Karen,15,955
pate1247,Patep,17,1111
peta1245,Petats,19,122
phai1238,Prai,22,677
phal1254,Phalura,15,2948
pila1245,Pilagá,8,119
poli1260,Polish,10,126
pwon1235,Pwo Northern Karen,29,1113
qima1242,Qimant,11,1205
quec1382,Quechan,16,36
rama1270,Rama,13,29
rund1242,Rundi,8,1271
saba1268,Sabanê,8,312
saki1248,Mekens,23,156
sala1272,Salasaca Highland Quichua,9,2483
samb1305,Samba Leko,12,912
samo1303,Samo,9,138
samr1245,Samre of Siem Reap,25,32
sanj1284,San Juan Guelavía Zapotec,24,1612
sanm1287,San Mateo del Mar Huave,11,5
sanu1240,Sanumá,15,121
sasa1249,Sasak,15,297
sata1237,Satawalese,19,0
sava1244,Savara,15,260
sayu1241,Sayula Popoluca,10,70
seco1241,Secoya,8,211
seim1238,Seimat,19,0
sela1259,Selaru,9,39
seme1247,Semelai,25,67
sera1259,Saraiki,42,121
seri1257,Seri,10,188
serr1255,Serrano,14,731
shab1252,Shabo,17,1683
shaw1249,Shawnee,9,313
shon1251,Shona,9,1216
siar1238,Siar-Lak,11,556
sida1246,Sidamo,14,1781
siks1238,Siksika,15,1232
sind1272,Sindhi,16,20
sipa1247,Sipacapense,14,2186
siss1243,Sissano,13,15
slov1268,Slovenian,20,1195
soch1239,Sochiapam Chinantec,16,682
sout2750,Southern Yukaghir,17,0
sout2840,Southern Bobo Madaré,21,321
sout2844,Southern Samo,11,276
