Glottocode,language,anterior,elevation
mall1246,Mal,5,996
malo1243,Tamambo,6,157
mamb1294,Mambai,6,229
mamm1241,Mam,9,1816
mana1288,Manange,8,3673
mana1295,Manam,7,1346
mand1415,Mandarin Chinese,10,88
mand1436,Mandinka,6,45
mani1292,Manipuri,8,312
mara1385,Marra,7,10
marw1260,Marwari (India),11,364
matb1237,Matbat,5,158
mats1244,Matsés,5,151
maza1291,Mazanderani,7,1715
medu1238,Medumba,6,1311
mesc1238,Mescalero-Chiricahua Apache,15,2442
mewa1250,Mewati,8,210
mich1243,Michif,8,534
mich1245,Michoacán Nahuatl,7,148
ming1252,Mingrelian,11,109
mmen1238,Mmen,8,925
moco1246,Mocoví,6,64
moke1242,Moken,6,0
mola1238,Molale,9,161
mono1270,Mono (Democratic Republic of Congo),9,413
mose1249,Mosetén-Chimané,10,385
motl1237,Mwotlap,5,31
mpon1254,Mpongmpong,8,594
mufi1238,Mufian,5,173
muna1247,Muna,10,76
mund1330,Mundurukú,5,108
mung1266,Mungaka,7,1374
naga1394,Naga Pidgin,9,1361
naki1238,Naki,10,738
nami1256,Namia,4,63
nand1266,Nandi,5,2146
nang1259,Nangikurrunggurr,7,113
nank1250,Nankina,5,1140
ndem1249,Ndemli,9,115
nepa1253,Nepali Kurux,12,77
ngad1261,Ngad'a,7,1186
ngal1293,Ngalakgan,4,123
ngem1255,Ngemba,10,1220
ngom1271,Ngombale,11,1708
ngos1238,Ngoshie,9,1254
nige1257,Nigerian Pidgin,7,278
ning1273,Ningil,5,418
nisg1240,Nisga'a,11,22
nort2626,Northern Frisian,7,0
nort2627,Eastern Low German,7,67
nort2684,Northern Khmer,9,220
nort2845,North Marquesan,4,333
nort2943,North Alaskan Inupiatun,5,0
nort2954,Northern Paiute,4,1165
nort2966,Northern Pomo,13,360
nort2984,Northern Pame,16,1375
nubi1253,Nubi,10,1134
nucl1290,Zhenkang Wa,10,1729
nucl1634,Skou,4,36
nucl1695,Bole,10,450
nuer1246,Nuer,8,409
nuuc1236,Nuu-chah-nulth,10,614
nyam1276,Nyamwezi,10,1272
nyan1307,Nyankole,6,1431
nyeu1238,Nyeu,6,136
nyon1241,Nyong,7,1179
obol1243,Obolo,7,22
okuu1243,Oku,6,2019
olut1240,Oluta Popoluca,8,62
onge1236,Önge,5,159
orok1266,Oroko,6,386
orok1269,Orokaiva,5,201
osse1243,Ossetian,11,852
pagi1243,Pagibete,11,484
pala1344,Palauan,5,19
pana1305,Panamint,7,1040
paok1235,Pa'o Karen,7,955
pate1247,Patep,9,1111
peta1245,Petats,5,122
phai1238,Prai,5,677
phal1254,Phalura,11,2948
pila1245,Pilagá,5,119
poli1260,Polish,17,126
pwon1235,Pwo Northern Karen,9,1113
qima1242,Qimant,9,1205
quec1382,Quechan,13,36
rama1270,Rama,8,29
rund1242,Rundi,8,1271
saba1268,Sabanê,5,312
saki1248,Mekens,4,156
sala1272,Salasaca Highland Quichua,9,2483
samb1305,Samba Leko,6,912
samo1303,Samo,4,138
samr1245,Samre of Siem Reap,6,32
sanj1284,San Juan Guelavía Zapotec,11,1612
sanm1287,San Mateo del Mar Huave,8,5
sanu1240,Sanumá,6,121
sasa1249,Sasak,5,297
sata1237,Satawalese,8,0
sava1244,Savara,8,260
sayu1241,Sayula Popoluca,7,70
seco1241,Secoya,4,211
seim1238,Seimat,4,0
sela1259,Selaru,6,39
seme1247,Semelai,12,67
sera1259,Saraiki,13,121
seri1257,Seri,6,188
serr1255,Serrano,13,731
shab1252,Shabo,8,1683
shaw1249,Shawnee,4,313
shon1251,Shona,13,1216
siar1238,Siar-Lak,6,556
sida1246,Sidamo,9,1781
siks1238,Siksika,4,1232
sind1272,Sindhi,12,20
sipa1247,Sipacapense,8,2186
siss1243,Sissano,15,15
slov1268,Slovenian,8,1195
soch1239,Sochiapam Chinantec,8,682
sout2750,Southern Yukaghir,5,0
sout2840,Southern Bobo Madaré,7,321
sout2844,Southern Samo,8,276
sout2856,South Efate,6,236
sout2895,South Nuaulu,5,120
spok1245,Spokane,12,726
stan1289,Catalan,8,619
subi1246,Subiya,13,933
suri1267,Tirma-Chai,8,1104
surs1246,Sursurunga,6,813
swed1254,Swedish,6,27
tagw1240,Tagwana Senoufo,6,311
tami1289,Tamil,6,106
tana1290,Tanacross,20,0
taro1264,Seediq,15,1174
tata1257,Tatana,6,13
tatu1247,Tatuyo,4,219
tern1247,Ternate,6,1633
texi1237,Texistepec Popoluca,8,25
thul1246,Thulung,12,2514
tibe1272,Tibetan,12,5409
tilq1235,Tilquiapan Zapotec,8,1769
tinp1237,Tinputz,4,181
tiwi1244,Tiwi,6,74
tlac1235,Tlachichilco Tepehua,11,323
toba1269,Toba,6,139
tokp1240,Tok Pisin,4,197
tolo1259,Tolowa-Chetco,8,81
tong1325,Tonga (Tonga Islands),4,16
torw1241,Torwali,10,4139
tote1238,Totela,10,1063
tsha1245,Tshangla,17,1920
tsuv1239,Tsuvadi,12,257
tuka1248,Tukang Besi North,9,137
tuvi1240,Tuvinian,8,613
tzot1259,Tzotzil,8,997
tzut1248,Tz'utujil,9,2101
ukra1253,Ukrainian,9,1349
ulwa1239,Ulwa,9,9
urii1240,Uri,5,1275
usar1243,Usarufa,6,1982
utes1238,Ute-Southern Paiute,4,1842
vaii1241,Vai,7,17
wamb1259,Wambon,5,79
wari1268,Wari',4,153
wash1253,Washo,9,1925
waya1269,Wayana,2,182
west2441,Western Arrarnta,10,621
west2560,West Coast Bajau,6,12
woge1237,Wogeo,6,239
yalu1240,Yalunka,6,490
yape1248,Yapese,10,37
yawa1260,Yawanawa,5,261
yekh1238,Yekhee,9,296
yeyi1239,Yeyi,29,948
yill1241,Yil,5,818
yine1238,Yine,6,355
yuch1247,Yuchi,16,247
yuki1243,Yuki,9,681
yura1255,Yuracaré,6,209
yuro1248,Yurok,7,756
zaiw1241,Zaiwa,7,1978
zoog1238,Zoogocho Zapotec,10,2507
