,language,round,elevation
mall1246,Mal,8,996
malo1243,Tamambo,4,157
mamb1294,Mambai,11,229
mamm1241,Mam,5,1816
mana1288,Manange,9,3673
mana1295,Manam,2,1346
mand1415,Mandarin Chinese,14,88
mand1436,Mandinka,5,45
mani1292,Manipuri,3,312
mara1385,Marra,3,10
marw1260,Marwari (India),4,364
matb1237,Matbat,3,158
mats1244,Matsés,1,151
maza1291,Mazanderani,2,1715
medu1238,Medumba,5,1311
mesc1238,Mescalero-Chiricahua Apache,4,2442
mewa1250,Mewati,9,210
mich1243,Michif,8,534
mich1245,Michoacán Nahuatl,4,148
ming1252,Mingrelian,2,109
mmen1238,Mmen,4,925
moco1246,Mocoví,3,64
moke1242,Moken,4,0
mola1238,Molale,4,161
mono1270,Mono (Democratic Republic of Congo),4,413
mose1249,Mosetén-Chimané,3,385
motl1237,Mwotlap,6,31
mpon1254,Mpongmpong,4,594
mufi1238,Mufian,5,173
muna1247,Muna,3,76
mund1330,Mundurukú,5,108
mung1266,Mungaka,5,1374
naga1394,Naga Pidgin,14,1361
naki1238,Naki,14,738
nami1256,Namia,3,63
nand1266,Nandi,5,2146
nang1259,Nangikurrunggurr,3,113
nank1250,Nankina,3,1140
ndem1249,Ndemli,11,115
nepa1253,Nepali Kurux,4,77
ngad1261,Ngad'a,2,1186
ngal1293,Ngalakgan,5,123
ngem1255,Ngemba,7,1220
ngom1271,Ngombale,12,1708
ngos1238,Ngoshie,2,1254
nige1257,Nigerian Pidgin,4,278
ning1273,Ningil,3,418
nisg1240,Nisga'a,9,22
nort2626,Northern Frisian,12,0
nort2627,Eastern Low German,5,67
nort2684,Northern Khmer,5,220
nort2845,North Marquesan,4,333
nort2943,North Alaskan Inupiatun,1,0
nort2954,Northern Paiute,6,1165
nort2966,Northern Pomo,5,360
nort2984,Northern Pame,3,1375
nubi1253,Nubi,3,1134
nucl1290,Zhenkang Wa,11,1729
nucl1634,Skou,5,36
nucl1695,Bole,5,450
nuer1246,Nuer,15,409
nuuc1236,Nuu-chah-nulth,12,614
nyam1276,Nyamwezi,7,1272
nyan1307,Nyankole,3,1431
nyeu1238,Nyeu,7,136
nyon1241,Nyong,7,1179
obol1243,Obolo,10,22
okuu1243,Oku,3,2019
olut1240,Oluta Popoluca,5,62
onge1236,Önge,4,159
orok1266,Oroko,4,386
orok1269,Orokaiva,2,201
osse1243,Ossetian,3,852
pagi1243,Pagibete,11,484
pala1344,Palauan,4,19
pana1305,Panamint,9,1040
paok1235,Pa'o Karen,6,955
pate1247,Patep,12,1111
peta1245,Petats,8,122
phai1238,Prai,7,677
phal1254,Phalura,5,2948
pila1245,Pilagá,2,119
poli1260,Polish,3,126
pwon1235,Pwo Northern Karen,11,1113
qima1242,Qimant,8,1205
quec1382,Quechan,8,36
rama1270,Rama,6,29
rund1242,Rundi,3,1271
saba1268,Sabanê,3,312
saki1248,Mekens,7,156
sala1272,Salasaca Highland Quichua,3,2483
samb1305,Samba Leko,4,912
samo1303,Samo,4,138
samr1245,Samre of Siem Reap,8,32
sanj1284,San Juan Guelavía Zapotec,7,1612
sanm1287,San Mateo del Mar Huave,3,5
sanu1240,Sanumá,5,121
sasa1249,Sasak,6,297
sata1237,Satawalese,11,0
sava1244,Savara,3,260
sayu1241,Sayula Popoluca,4,70
seco1241,Secoya,4,211
seim1238,Seimat,10,0
sela1259,Selaru,3,39
seme1247,Semelai,9,67
sera1259,Saraiki,13,121
seri1257,Seri,5,188
serr1255,Serrano,10,731
