Glottocode,language,front,elevation
mall1246,Mal,10,996
malo1243,Tamambo,3,157
mamb1294,Mambai,11,229
mamm1241,Mam,8,1816
mana1288,Manange,6,3673
mana1295,Manam,2,1346
mand1415,Mandarin Chinese,9,88
mand1436,Mandinka,6,45
mani1292,Manipuri,3,312
mara1385,Marra,5,10
marw1260,Marwari (India),5,364
matb1237,Matbat,3,158
mats1244,Matsés,3,151
maza1291,Mazanderani,4,1715
medu1238,Medumba,4,1311
mesc1238,Mescalero-Chiricahua Apache,9,2442
mewa1250,Mewati,9,210
mich1243,Michif,9,534
mich1245,Michoacán Nahuatl,4,148
ming1252,Mingrelian,3,109
mmen1238,Mmen,5,925
moco1246,Mocoví,7,64
moke1242,Moken,9,0
mola1238,Molale,4,161
mono1270,Mono (Democratic Republic of Congo),4,413
mose1249,Mosetén-Chimané,10,385
motl1237,Mwotlap,4,31
mpon1254,Mpongmpong,8,594
mufi1238,Mufian,2,173
muna1247,Muna,5,76
mund1330,Mundurukú,9,108
mung1266,Mungaka,5,1374
naga1394,Naga Pidgin,4,1361
naki1238,Naki,9,738
nami1256,Namia,3,63
nand1266,Nandi,7,2146
nang1259,Nangikurrunggurr,9,113
nank1250,Nankina,3,1140
ndem1249,Ndemli,13,115
nepa1253,Nepali Kurux,4,77
ngad1261,Ngad'a,2,1186
ngal1293,Ngalakgan,7,123
ngem1255,Ngemba,4,1220
ngom1271,Ngombale,7,1708
ngos1238,Ngoshie,3,1254
nige1257,Nigerian Pidgin,4,278
ning1273,Ningil,3,418
nisg1240,Nisga'a,9,22
nort2626,Northern Frisian,13,0
nort2627,Eastern Low German,9,67
nort2684,Northern Khmer,11,220
nort2845,North Marquesan,5,333
nort2943,North Alaskan Inupiatun,5,0
nort2954,Northern Paiute,3,1165
nort2966,Northern Pomo,5,360
nort2984,Northern Pame,14,1375
nubi1253,Nubi,4,1134
nucl1290,Zhenkang Wa,7,1729
nucl1634,Skou,5,36
nucl1695,Bole,7,450
nuer1246,Nuer,14,409
nuuc1236,Nuu-chah-nulth,6,614
nyam1276,Nyamwezi,9,1272
nyan1307,Nyankole,4,1431
nyeu1238,Nyeu,9,136
nyon1241,Nyong,8,1179
obol1243,Obolo,6,22
okuu1243,Oku,4,2019
olut1240,Oluta Popoluca,5,62
onge1236,Önge,7,159
orok1266,Oroko,5,386
orok1269,Orokaiva,2,201
osse1243,Ossetian,5,852
pagi1243,Pagibete,7,484
pala1344,Palauan,4,19
pana1305,Panamint,5,1040
paok1235,Pa'o Karen,6,955
pate1247,Patep,14,1111
peta1245,Petats,7,122
phai1238,Prai,10,677
phal1254,Phalura,8,2948
pila1245,Pilagá,5,119
poli1260,Polish,10,126
pwon1235,Pwo Northern Karen,8,1113
qima1242,Qimant,4,1205
quec1382,Quechan,14,36
rama1270,Rama,5,29
rund1242,Rundi,4,1271
saba1268,Sabanê,3,312
saki1248,Mekens,9,156
sala1272,Salasaca Highland Quichua,4,2483
samb1305,Samba Leko,7,912
samo1303,Samo,3,138
samr1245,Samre of Siem Reap,10,32
sanj1284,San Juan Guelavía Zapotec,7,1612
sanm1287,San Mateo del Mar Huave,3,5
sanu1240,Sanumá,4,121
sasa1249,Sasak,5,297
sata1237,Satawalese,6,0
sava1244,Savara,7,260
sayu1241,Sayula Popoluca,3,70
seco1241,Secoya,3,211
seim1238,Seimat,5,0
sela1259,Selaru,3,39
seme1247,Semelai,13,67
sera1259,Saraiki,16,121
seri1257,Seri,4,188
serr1255,Serrano,5,731
shab1252,Shabo,11,1683
