Glottocode,language,nasal,elevation
ofay1240,Ofayé,5,344
olub1238,Olu'bo,2,721
omag1248,Omagua,2,71
onaa1245,Selk'nam,2,108
orow1243,Oro Win,2,381
paca1246,Pacahuara,2,152
paez1247,Páez,7,3472
pait1247,Pai Tavytera,11,284
pali1279,Palikúr,7,42
pana1307,Panará,8,309
pano1254,Panoan Katukína,2,239
pano1255,Panobo,2,534
para1310,Pará Arára,3,181
para1311,Paraguayan Guaraní,6,184
para1312,Parakanã,3,177
para1315,Pará Gavião,13,128
para1316,Paraujano,3,65
pare1272,Parecís,2,384
paum1247,Paumari,2,41
pemo1245,Pémono,3,169
pemo1248,Pemon,4,838
piap1246,Piapoco,2,126
piar1243,Piaroa,2,92
pich1237,Pichis Ashéninka,5,1033
pila1245,Pilagá,3,119
pira1254,Wa'ikhana,6,143
poya1241,Poyanáwa,3,215
puel1244,Puelche,1,121
puin1248,Puinave,6,77
pume1238,Pumé,11,53
puri1262,Puri,3,1737
qawa1238,Qawasqar,3,80
resi1247,Resígaro,6,127
reye1240,Reyesano,2,254
rikb1245,Rikbaktsa,9,248
saba1268,Sabanê,2,312
saki1248,Mekens,10,156
sala1272,Salasaca Highland Quichua,3,2483
sali1298,Sáliba,8,119
sanm1289,San Martín Quechua,3,950
sant1432,Santiago del Estero Quichua,3,138
sanu1240,Sanumá,17,121
saop1235,São Paulo Kaingáng,9,736
sate1243,Sateré-Mawé,7,58
seco1241,Secoya,8,211
shal1242,Shall-Zwall,2,578
shar1245,Sharanahua,12,329
shua1257,Shuar,6,1256
sian1254,Siang,2,52
sion1247,Siona-Tetete,8,236
siri1273,Sirionó,11,182
siri1274,Siriano,6,186
suru1262,Suruí,9,204
suru1263,Suruahá,3,124
suya1243,Suyá,20,283
taca1256,Tacana,2,207
tani1257,Tanimuca-Retuarã,5,128
tapi1253,Tapieté,6,304
tapi1254,Tapirapé,8,181
tari1256,Tariana,11,114
taus1253,Taushiro,2,212
tehu1242,Tehuelche,2,299
temb1276,Tenetehara,4,54
tena1240,Tena Lowland Quichua,3,978
tenh1241,Tenharim-Parintintin-Diahoi,11,96
tere1279,Terena-Kinikinao-Chane,2,233
ticu1245,Ticuna,10,150
tini1245,Tinigua,3,264
toba1269,Toba,6,139
toca1235,Tocantins Asurini,3,99
trin1274,Trinitario,3,165
trio1238,Trió,2,638
trum1247,Trumai,2,284
tuca1252,Tucano,6,144
tupa1250,Tuparí,8,247
tupi1273,Tupinambá,9,70
tuyu1244,Tuyuca,6,182
ucay1237,Ucayali-Yurúa Ashéninka,5,324
umot1240,Umotína,2,135
urar1246,Urarina,3,125
urub1250,Urubú-Kaapor,9,95
urue1240,Uru-Eu-Wau-Wau,11,251
uruu1244,Uru,3,3822
vile1241,Vilela,2,54
waim1253,Waimiri-Atroari,3,83
waim1255,Waimaha,6,167
waiw1244,Waiwai,3,409
waor1240,Waorani,14,259
wapi1253,Wapishana,3,130
wara1303,Warao,2,26
wari1268,Wari',4,153
waur1244,Waurá,7,362
waya1269,Wayana,2,182
waya1270,Wayampi,19,204
wayu1243,Wayuu,2,37
wich1262,Wichí Lhamtés Nocten,2,656
woun1238,Woun Meu,9,62
xava1240,Xavánte,4,323
xere1240,Xerénte,7,305
xeta1241,Xetá,8,690
xing1248,Xingú Asuriní,8,184
xipa1240,Xipaya,6,90
xiri1243,Xiriâna,3,263
xokl1240,Xokleng,12,794
yaba1248,Yabarana,3,808
yagu1244,Yagua,8,97
yama1264,Yámana,2,279
yame1242,Yameo,6,143
yami1256,Yaminahua,6,322
yane1238,Yanesha',4,2474
yano1261,Yanomamö,20,548
yano1262,Yanomámi,29,341
yavi1244,Yavitero,3,120
yawa1260,Yawanawa,2,261
yawa1261,Yawalapití,3,331
yine1238,Yine,3,355
yora1241,Yora,6,569
yucu1253,Yucuna,3,164
yuhu1238,Yuhup,6,109
yukp1241,Yukpa,5,1989
yuqu1240,Yuqui,13,208
yura1255,Yuracaré,3,209
yuwa1244,Hoti,7,848
zapa1253,Záparo,2,207
zoee1240,Zo'é,6,87
