,language,distributed,elevation
puri1262,Puri,3,1737
qawa1238,Qawasqar,4,80
resi1247,Resígaro,7,127
reye1240,Reyesano,3,254
rikb1245,Rikbaktsa,2,248
saki1248,Mekens,1,156
sala1272,Salasaca Highland Quichua,4,2483
sali1298,Sáliba,3,119
sanm1289,San Martín Quechua,4,950
sant1432,Santiago del Estero Quichua,4,138
saop1235,São Paulo Kaingáng,2,736
seco1241,Secoya,1,211
shal1242,Shall-Zwall,1,578
shar1245,Sharanahua,4,329
shua1257,Shuar,2,1256
sian1254,Siang,2,52
sion1247,Siona-Tetete,1,236
siri1273,Sirionó,3,182
suru1262,Suruí,4,204
suru1263,Suruahá,2,124
suya1243,Suyá,5,283
taca1256,Tacana,3,207
tapi1253,Tapieté,3,304
tapi1254,Tapirapé,1,181
tari1256,Tariana,3,114
tatu1247,Tatuyo,1,219
taus1253,Taushiro,2,212
tehu1242,Tehuelche,3,299
tena1240,Tena Lowland Quichua,5,978
tenh1241,Tenharim-Parintintin-Diahoi,2,96
tere1279,Terena-Kinikinao-Chane,1,233
ticu1245,Ticuna,3,150
tini1245,Tinigua,4,264
toba1269,Toba,10,139
trin1274,Trinitario,4,165
trum1247,Trumai,3,284
tupa1250,Tuparí,1,247
tupi1273,Tupinambá,2,70
ucay1237,Ucayali-Yurúa Ashéninka,4,324
umot1240,Umotína,2,135
urar1246,Urarina,3,125
urub1250,Urubú-Kaapor,1,95
urue1240,Uru-Eu-Wau-Wau,2,251
uruu1244,Uru,6,3822
vile1241,Vilela,2,54
waim1253,Waimiri-Atroari,4,83
waiw1244,Waiwai,3,409
waor1240,Waorani,1,259
wapi1253,Wapishana,3,130
wari1268,Wari',1,153
waur1244,Waurá,2,362
wayu1243,Wayuu,2,37
woun1238,Woun Meu,1,62
xeta1241,Xetá,2,690
xing1248,Xingú Asuriní,2,184
xipa1240,Xipaya,1,90
xiri1243,Xiriâna,3,263
xokl1240,Xokleng,4,794
yaba1248,Yabarana,1,808
yagu1244,Yagua,1,97
yama1264,Yámana,2,279
yame1242,Yameo,1,143
yami1256,Yaminahua,2,322
yane1238,Yanesha',4,2474
yano1261,Yanomamö,3,548
yano1262,Yanomámi,5,341
yavi1244,Yavitero,1,120
yawa1260,Yawanawa,2,261
yawa1261,Yawalapití,4,331
yine1238,Yine,4,355
yora1241,Yora,2,569
yucu1253,Yucuna,2,164
yuhu1238,Yuhup,5,109
yukp1241,Yukpa,5,1989
yuqu1240,Yuqui,3,208
yura1255,Yuracaré,4,209
yuwa1244,Hoti,4,848
zapa1253,Záparo,1,207
zoee1240,Zo'é,1,87
0,Lokono,0,7
1,Piapoco,0,126
2,Deni,0,144
3,Culina,0,224
4,Tsafiki,0,440
5,Galibi Carib,0,6
6,Akawaio,0,970
7,Macushi,0,387
8,Pemon,0,838
9,Trió,0,638
10,Wayana,0,182
11,Chimila,0,193
12,Guahibo,0,88
13,Macaguán,0,150
14,Amarakaeri,0,266
15,Olu'bo,0,721
16,Puinave,0,77
17,Warao,0,26
18,Krahô,0,231
19,Panará,0,309
20,Xavánte,0,323
21,Xerénte,0,305
22,Iyo'wujwa Chorote,0,269
23,Maca,0,70
24,Wichí Lhamtés Nocten,0,656
25,Pirahã,0,75
27,Latundê,0,480
28,Mamaindé,0,578
29,Sabanê,0,312
30,Nukuini,0,244
31,Piaroa,0,92
32,Desano,0,149
33,Carapana,0,126
34,Macuna,0,169
35,Wa'ikhana,0,143
36,Siriano,0,186
37,Tanimuca-Retuarã,0,128
38,Tucano,0,144
39,Tuyuca,0,182
40,Waimaha,0,167
41,Yurutí,0,176
42,Akuntsu,0,352
43,Apiaká,0,142
44,Tocantins Asurini,0,99
45,Awetí,0,297
46,Guajajára,0,308
47,Júma,0,68
48,Kamayurá,0,311
49,Kayabí,0,345
50,Sateré-Mawé,0,58
51,Tenetehara,0,54
52,Wayampi,0,204
53,Sanumá,0,121
54,Iquito,0,135
