,language,delayedRelease,elevation
ocai1244,Ocaina,11,114
ofay1240,Ofayé,4,344
olub1238,Olu'bo,4,721
omag1248,Omagua,4,71
onaa1245,Selk'nam,6,108
orej1242,Maijiki,4,144
orow1243,Oro Win,2,381
paca1246,Pacahuara,7,152
paez1247,Páez,12,3472
pait1247,Pai Tavytera,3,284
pali1279,Palikúr,4,42
pana1307,Panará,2,309
pano1254,Panoan Katukína,7,239
pano1255,Panobo,5,534
para1310,Pará Arára,1,181
para1311,Paraguayan Guaraní,6,184
para1312,Parakanã,3,177
para1315,Pará Gavião,3,128
para1316,Paraujano,3,65
pare1272,Parecís,4,384
paum1247,Paumari,7,41
pemo1245,Pémono,2,169
pemo1248,Pemon,2,838
piap1246,Piapoco,4,126
piar1243,Piaroa,4,92
pich1237,Pichis Ashéninka,5,1033
pila1245,Pilagá,4,119
pira1253,Pirahã,2,75
pira1254,Wa'ikhana,2,143
pisa1245,Pisamira,4,181
poya1241,Poyanáwa,6,215
puel1244,Puelche,11,121
puin1248,Puinave,2,77
pume1238,Pumé,6,53
puri1262,Puri,2,1737
qawa1238,Qawasqar,10,80
resi1247,Resígaro,13,127
reye1240,Reyesano,7,254
rikb1245,Rikbaktsa,3,248
saba1268,Sabanê,2,312
saki1248,Mekens,4,156
sala1272,Salasaca Highland Quichua,7,2483
sali1298,Sáliba,5,119
sanm1289,San Martín Quechua,5,950
sant1432,Santiago del Estero Quichua,7,138
sanu1240,Sanumá,5,121
saop1235,São Paulo Kaingáng,3,736
sate1243,Sateré-Mawé,2,58
seco1241,Secoya,4,211
shal1242,Shall-Zwall,6,578
shar1245,Sharanahua,13,329
shua1257,Shuar,5,1256
sian1254,Siang,5,52
sion1247,Siona-Tetete,5,236
siri1273,Sirionó,4,182
siri1274,Siriano,2,186
suru1262,Suruí,4,204
suru1263,Suruahá,5,124
suya1243,Suyá,7,283
taca1256,Tacana,6,207
tani1257,Tanimuca-Retuarã,2,128
tapi1253,Tapieté,5,304
tapi1254,Tapirapé,2,181
tari1256,Tariana,3,114
tatu1247,Tatuyo,1,219
taus1253,Taushiro,3,212
tehu1242,Tehuelche,6,299
temb1276,Tenetehara,2,54
tena1240,Tena Lowland Quichua,6,978
tenh1241,Tenharim-Parintintin-Diahoi,3,96
tere1279,Terena-Kinikinao-Chane,3,233
ticu1245,Ticuna,1,150
tini1245,Tinigua,6,264
toba1269,Toba,11,139
toca1235,Tocantins Asurini,2,99
trin1274,Trinitario,6,165
trio1238,Trió,2,638
trum1247,Trumai,8,284
tuca1252,Tucano,2,144
tupa1250,Tuparí,3,247
tupi1273,Tupinambá,2,70
tuyu1244,Tuyuca,2,182
ucay1237,Ucayali-Yurúa Ashéninka,9,324
umot1240,Umotína,3,135
urar1246,Urarina,6,125
urub1250,Urubú-Kaapor,3,95
urue1240,Uru-Eu-Wau-Wau,3,251
uruu1244,Uru,5,3822
vile1241,Vilela,5,54
waim1253,Waimiri-Atroari,5,83
waim1255,Waimaha,1,167
waiw1244,Waiwai,5,409
wapi1253,Wapishana,4,130
wara1303,Warao,2,26
wari1268,Wari',3,153
waur1244,Waurá,6,362
waya1269,Wayana,1,182
waya1270,Wayampi,4,204
wayu1243,Wayuu,4,37
wich1262,Wichí Lhamtés Nocten,7,656
woun1238,Woun Meu,3,62
xava1240,Xavánte,3,323
xere1240,Xerénte,3,305
xeta1241,Xetá,3,690
xing1248,Xingú Asuriní,5,184
xipa1240,Xipaya,4,90
xiri1243,Xiriâna,5,263
xokl1240,Xokleng,4,794
yaba1248,Yabarana,2,808
yagu1244,Yagua,3,97
yama1264,Yámana,6,279
yame1242,Yameo,2,143
yami1256,Yaminahua,8,322
yane1238,Yanesha',7,2474
yano1261,Yanomamö,9,548
yano1262,Yanomámi,14,341
yavi1244,Yavitero,4,120
yawa1260,Yawanawa,7,261
yawa1261,Yawalapití,5,331
yine1238,Yine,7,355
yora1241,Yora,7,569
yucu1253,Yucuna,3,164
yuhu1238,Yuhup,2,109
yukp1241,Yukpa,8,1989
yuqu1240,Yuqui,6,208
yura1255,Yuracaré,5,209
yuru1263,Yurutí,2,176
yuwa1244,Hoti,1,848
zapa1253,Záparo,4,207
zoee1240,Zo'é,3,87
0,Waorani,0,259
1,Akuntsu,0,352
