,language,approximant,elevation
nuku1263,Nukuini,9,244
ocai1244,Ocaina,10,114
ofay1240,Ofayé,13,344
olub1238,Olu'bo,8,721
omag1248,Omagua,8,71
onaa1245,Selk'nam,12,108
orej1242,Maijiki,8,144
orow1243,Oro Win,9,381
paca1246,Pacahuara,7,152
paez1247,Páez,20,3472
pait1247,Pai Tavytera,14,284
pali1279,Palikúr,12,42
pana1307,Panará,18,309
pano1254,Panoan Katukína,7,239
pano1255,Panobo,7,534
para1310,Pará Arára,10,181
para1311,Paraguayan Guaraní,15,184
para1312,Parakanã,6,177
para1315,Pará Gavião,32,128
para1316,Paraujano,16,65
pare1272,Parecís,8,384
paum1247,Paumari,8,41
pemo1245,Pémono,10,169
pemo1248,Pemon,24,838
piap1246,Piapoco,7,126
piar1243,Piaroa,10,92
pich1237,Pichis Ashéninka,14,1033
pila1245,Pilagá,8,119
pira1253,Pirahã,3,75
pira1254,Wa'ikhana,15,143
pisa1245,Pisamira,7,181
poya1241,Poyanáwa,10,215
puel1244,Puelche,13,121
puin1248,Puinave,11,77
pume1238,Pumé,18,53
puri1262,Puri,8,1737
qawa1238,Qawasqar,20,80
resi1247,Resígaro,6,127
reye1240,Reyesano,8,254
rikb1245,Rikbaktsa,18,248
saba1268,Sabanê,6,312
saki1248,Mekens,12,156
sala1272,Salasaca Highland Quichua,7,2483
sali1298,Sáliba,12,119
sanm1289,San Martín Quechua,7,950
sant1432,Santiago del Estero Quichua,9,138
sanu1240,Sanumá,38,121
saop1235,São Paulo Kaingáng,17,736
sate1243,Sateré-Mawé,18,58
seco1241,Secoya,14,211
shal1242,Shall-Zwall,7,578
shar1245,Sharanahua,20,329
shua1257,Shuar,11,1256
sian1254,Siang,6,52
sion1247,Siona-Tetete,14,236
siri1273,Sirionó,15,182
siri1274,Siriano,15,186
suru1262,Suruí,14,204
suru1263,Suruahá,8,124
suya1243,Suyá,36,283
taca1256,Tacana,7,207
tani1257,Tanimuca-Retuarã,13,128
tapi1253,Tapieté,14,304
tapi1254,Tapirapé,13,181
tari1256,Tariana,20,114
tatu1247,Tatuyo,9,219
taus1253,Taushiro,8,212
tehu1242,Tehuelche,10,299
temb1276,Tenetehara,9,54
