Glottocode,language,anterior,elevation
nuku1263,Nukuini,4,244
ocai1244,Ocaina,9,114
ofay1240,Ofayé,4,344
olub1238,Olu'bo,7,721
omag1248,Omagua,5,71
onaa1245,Selk'nam,6,108
orej1242,Maijiki,3,144
orow1243,Oro Win,5,381
paca1246,Pacahuara,5,152
paez1247,Páez,16,3472
pait1247,Pai Tavytera,4,284
pali1279,Palikúr,4,42
pana1307,Panará,4,309
pano1254,Panoan Katukína,5,239
pano1255,Panobo,5,534
para1310,Pará Arára,4,181
para1311,Paraguayan Guaraní,5,184
para1312,Parakanã,3,177
para1315,Pará Gavião,6,128
para1316,Paraujano,4,65
pare1272,Parecís,7,384
paum1247,Paumari,7,41
pemo1245,Pémono,4,169
pemo1248,Pemon,8,838
piap1246,Piapoco,7,126
piar1243,Piaroa,8,92
pich1237,Pichis Ashéninka,6,1033
pila1245,Pilagá,5,119
pira1253,Pirahã,2,75
pira1254,Wa'ikhana,4,143
pisa1245,Pisamira,2,181
poya1241,Poyanáwa,5,215
puel1244,Puelche,9,121
puin1248,Puinave,3,77
pume1238,Pumé,6,53
puri1262,Puri,3,1737
qawa1238,Qawasqar,13,80
resi1247,Resígaro,12,127
reye1240,Reyesano,6,254
rikb1245,Rikbaktsa,4,248
saba1268,Sabanê,5,312
saki1248,Mekens,5,156
sala1272,Salasaca Highland Quichua,9,2483
sali1298,Sáliba,6,119
sanm1289,San Martín Quechua,5,950
sant1432,Santiago del Estero Quichua,5,138
sanu1240,Sanumá,11,121
saop1235,São Paulo Kaingáng,3,736
sate1243,Sateré-Mawé,4,58
seco1241,Secoya,5,211
shal1242,Shall-Zwall,5,578
shar1245,Sharanahua,11,329
shua1257,Shuar,5,1256
sian1254,Siang,5,52
sion1247,Siona-Tetete,5,236
siri1273,Sirionó,5,182
siri1274,Siriano,4,186
suru1262,Suruí,6,204
suru1263,Suruahá,10,124
suya1243,Suyá,8,283
taca1256,Tacana,5,207
tani1257,Tanimuca-Retuarã,4,128
tapi1253,Tapieté,4,304
tapi1254,Tapirapé,3,181
tari1256,Tariana,9,114
tatu1247,Tatuyo,3,219
taus1253,Taushiro,3,212
tehu1242,Tehuelche,7,299
temb1276,Tenetehara,5,54
tena1240,Tena Lowland Quichua,8,978
tenh1241,Tenharim-Parintintin-Diahoi,3,96
tere1279,Terena-Kinikinao-Chane,5,233
ticu1245,Ticuna,4,150
tini1245,Tinigua,7,264
toba1269,Toba,10,139
toca1235,Tocantins Asurini,3,99
trin1274,Trinitario,6,165
trio1238,Trió,4,638
trum1247,Trumai,12,284
tuca1252,Tucano,5,144
tupa1250,Tuparí,4,247
tupi1273,Tupinambá,4,70
tuyu1244,Tuyuca,4,182
ucay1237,Ucayali-Yurúa Ashéninka,8,324
umot1240,Umotína,5,135
urar1246,Urarina,5,125
urub1250,Urubú-Kaapor,4,95
urue1240,Uru-Eu-Wau-Wau,3,251
uruu1244,Uru,5,3822
vile1241,Vilela,8,54
waim1253,Waimiri-Atroari,5,83
waim1255,Waimaha,3,167
waiw1244,Waiwai,5,409
waor1240,Waorani,3,259
wapi1253,Wapishana,4,130
wara1303,Warao,4,26
wari1268,Wari',4,153
waur1244,Waurá,7,362
waya1269,Wayana,2,182
waya1270,Wayampi,8,204
wayu1243,Wayuu,4,37
wich1262,Wichí Lhamtés Nocten,8,656
woun1238,Woun Meu,7,62
xava1240,Xavánte,5,323
xere1240,Xerénte,6,305
xeta1241,Xetá,3,690
xing1248,Xingú Asuriní,3,184
xipa1240,Xipaya,6,90
xiri1243,Xiriâna,6,263
xokl1240,Xokleng,5,794
yaba1248,Yabarana,4,808
yagu1244,Yagua,4,97
yama1264,Yámana,5,279
yame1242,Yameo,4,143
yami1256,Yaminahua,4,322
yane1238,Yanesha',6,2474
yano1261,Yanomamö,14,548
yano1262,Yanomámi,18,341
yavi1244,Yavitero,9,120
yawa1260,Yawanawa,5,261
yawa1261,Yawalapití,6,331
yine1238,Yine,6,355
yora1241,Yora,5,569
yucu1253,Yucuna,6,164
yuhu1238,Yuhup,3,109
yukp1241,Yukpa,8,1989
yuqu1240,Yuqui,5,208
yura1255,Yuracaré,5,209
yuru1263,Yurutí,4,176
yuwa1244,Hoti,6,848
zapa1253,Záparo,5,207
zoee1240,Zo'é,4,87
